RoughTEOS.dat
2025/08/22 14:36:21 - 14:46:16
É∆ : 34.8948 deg
2É∆ : 69.5822 deg
É‘ : 90.3515 deg
É” : 0.0000 deg
Sz : 11.612 mm
Rx : -0.0597 deg
Ry : 0.2728 deg
I0 slit H : 0.20 mm
I0 slit W : 1.00 mm
R1 slit H : 20.00 mm
R1 slit W : 20.00 mm
R2 slit H : 20.00 mm
R2 slit W : 20.00 mm
Scan axis : É∆
Start: 34.3948 deg, End: 35.3948 deg
Step: 0.0050 deg, Time: 1.0 sec
Axis (deg),       I (cts),        I0 (cts),         Atten.
   34.3948,         38077,       3938.7108,     1.00000E+0
   34.3998,         38958,       3937.2280,     1.00000E+0
   34.4048,         39682,       3941.2156,     1.00000E+0
   34.4098,         40618,       3939.1650,     1.00000E+0
   34.4148,         41734,       3942.8271,     1.00000E+0
   34.4198,         41683,       3941.6500,     1.00000E+0
   34.4248,         42730,       3941.5913,     1.00000E+0
   34.4298,         43336,       3940.0311,     1.00000E+0
   34.4348,         43629,       3939.8555,     1.00000E+0
   34.4398,         44653,       3938.1002,     1.00000E+0
   34.4448,         45370,       3934.7557,     1.00000E+0
   34.4498,         46140,       3934.4019,     1.00000E+0
   34.4548,         47015,       3938.9149,     1.00000E+0
   34.4598,         48429,       3936.8852,     1.00000E+0
   34.4648,         48732,       3928.7047,     1.00000E+0
   34.4698,         49923,       3925.2522,     1.00000E+0
   34.4748,         50396,       3926.8697,     1.00000E+0
   34.4798,         51906,       3926.4541,     1.00000E+0
   34.4848,         52750,       3924.4686,     1.00000E+0
   34.4898,         54229,       3926.0971,     1.00000E+0
   34.4948,         55725,       3930.4793,     1.00000E+0
   34.4998,         56524,       3931.0608,     1.00000E+0
   34.5048,         57819,       3932.3158,     1.00000E+0
   34.5098,         58856,       3933.5346,     1.00000E+0
   34.5148,         60493,       3936.4420,     1.00000E+0
   34.5198,         62141,       3935.7997,     1.00000E+0
   34.5248,         63291,       3935.8295,     1.00000E+0
   34.5298,         64661,       3932.5748,     1.00000E+0
   34.5348,         67050,       3935.7642,     1.00000E+0
   34.5398,         67899,       3934.4507,     1.00000E+0
   34.5448,         69357,       3935.7960,     1.00000E+0
   34.5498,         70236,       3936.7326,     1.00000E+0
   34.5548,         72767,       3937.6490,     1.00000E+0
   34.5598,         74915,       3938.1626,     1.00000E+0
   34.5648,         76721,       3938.5848,     1.00000E+0
   34.5698,         78860,       3937.5737,     1.00000E+0
   34.5748,         81336,       3933.5473,     1.00000E+0
   34.5798,         82731,       3933.0568,     1.00000E+0
   34.5848,         84627,       3930.0503,     1.00000E+0
   34.5898,         87091,       3930.8395,     1.00000E+0
   34.5948,         89217,       3931.5970,     1.00000E+0
   34.5998,         91978,       3926.7557,     1.00000E+0
   34.6048,         94450,       3926.4536,     1.00000E+0
   34.6098,         96968,       3925.1217,     1.00000E+0
   34.6148,        100233,       3924.1978,     1.00000E+0
   34.6198,        103656,       3917.3127,     1.00000E+0
   34.6248,        105964,       3920.8593,     1.00000E+0
   34.6298,        108921,       3919.1277,     1.00000E+0
   34.6348,        112896,       3919.7161,     1.00000E+0
   34.6398,        116702,       3917.2559,     1.00000E+0
   34.6448,        120553,       3916.1443,     1.00000E+0
   34.6498,        124436,       3914.4072,     1.00000E+0
   34.6548,        128700,       3913.1359,     1.00000E+0
   34.6598,        132917,       3911.5910,     1.00000E+0
   34.6648,        138013,       3909.2347,     1.00000E+0
   34.6698,        143408,       3908.6701,     1.00000E+0
   34.6748,        148609,       3907.8708,     1.00000E+0
   34.6798,        154384,       3905.8712,     1.00000E+0
   34.6848,        160633,       3908.6992,     1.00000E+0
   34.6898,        168312,       3909.0710,     1.00000E+0
   34.6948,        175385,       3907.7694,     1.00000E+0
   34.6998,        183741,       3906.1412,     1.00000E+0
   34.7048,        190761,       3904.7205,     1.00000E+0
   34.7098,        200336,       3901.6551,     1.00000E+0
   34.7148,        210243,       3904.0623,     1.00000E+0
   34.7198,        221106,       3899.9438,     1.00000E+0
   34.7248,        232241,       3900.3953,     1.00000E+0
   34.7298,        244240,       3902.7019,     1.00000E+0
   34.7348,        256236,       3904.2948,     1.00000E+0
   34.7398,        271148,       3903.2375,     1.00000E+0
   34.7448,        286752,       3907.4660,     1.00000E+0
   34.7498,        303204,       3907.7240,     1.00000E+0
   34.7548,        320962,       3910.2683,     1.00000E+0
   34.7598,        341336,       3908.7862,     1.00000E+0
   34.7648,        364511,       3912.2750,     1.00000E+0
   34.7698,        388788,       3908.6862,     1.00000E+0
   34.7748,        417545,       3910.0605,     1.00000E+0
   34.7798,        447437,       3909.1563,     1.00000E+0
   34.7848,        483275,       3907.7290,     1.00000E+0
   34.7898,        521919,       3907.1868,     1.00000E+0
   34.7948,        567118,       3907.9908,     1.00000E+0
   34.7998,        619250,       3907.7381,     1.00000E+0
   34.8048,        678796,       3908.3693,     1.00000E+0
   34.8098,        749257,       3907.3379,     1.00000E+0
   34.8148,        831361,       3905.9064,     1.00000E+0
   34.8198,        926544,       3901.0878,     1.00000E+0
   34.8248,       1041829,       3902.9610,     1.00000E+0
   34.8298,       1181082,       3902.7543,     1.00000E+0
   34.8348,       1344940,       3900.7948,     1.00000E+0
   34.8398,       1553997,       3899.6053,     1.00000E+0
   34.8448,       1817759,       3898.8673,     1.00000E+0
   34.8498,       2159108,       3899.6824,     1.00000E+0
   34.8548,       2612457,       3899.6425,     1.00000E+0
   34.8598,       3236690,       3901.9820,     1.00000E+0
   34.8648,       4155585,       3899.8144,     1.00000E+0
   34.8698,       5597037,       3900.5035,     1.00000E+0
   34.8748,       7869795,       3900.6258,     1.00000E+0
   34.8798,      11893839,       3898.9323,     1.00000E+0
   34.8848,      20606738,       3897.1888,     1.00000E+0
   34.8898,        802452,       3895.6828,     5.39842E+1
   34.8948,       1440724,       3895.2195,     5.39842E+1
   34.8998,        983679,       3893.7453,     5.39842E+1
   34.9048,      22928711,       3896.0201,     1.00000E+0
   34.9098,      12363627,       3889.6595,     1.00000E+0
   34.9148,       7814198,       3891.0003,     1.00000E+0
   34.9198,       5413351,       3888.9082,     1.00000E+0
   34.9248,       3963372,       3888.9025,     1.00000E+0
   34.9298,       3032467,       3889.6798,     1.00000E+0
   34.9348,       2396611,       3886.2132,     1.00000E+0
   34.9398,       1941471,       3882.0742,     1.00000E+0
   34.9448,       1601980,       3879.5743,     1.00000E+0
   34.9498,       1340847,       3880.5909,     1.00000E+0
   34.9548,       1132821,       3878.6095,     1.00000E+0
   34.9598,        966914,       3880.6994,     1.00000E+0
   34.9648,        837132,       3879.2679,     1.00000E+0
   34.9698,        729332,       3876.2592,     1.00000E+0
   34.9748,        641267,       3875.6834,     1.00000E+0
   34.9798,        569805,       3877.4469,     1.00000E+0
   34.9848,        509951,       3877.5964,     1.00000E+0
   34.9898,        457446,       3880.1799,     1.00000E+0
   34.9948,        410526,       3876.7177,     1.00000E+0
   34.9998,        373324,       3878.9819,     1.00000E+0
   35.0048,        340753,       3877.3444,     1.00000E+0
   35.0098,        309206,       3878.3346,     1.00000E+0
   35.0148,        285717,       3881.9811,     1.00000E+0
   35.0198,        265197,       3883.1467,     1.00000E+0
   35.0248,        244004,       3884.5858,     1.00000E+0
   35.0298,        227370,       3890.5556,     1.00000E+0
   35.0348,        211300,       3890.3630,     1.00000E+0
   35.0398,        195968,       3890.8559,     1.00000E+0
   35.0448,        184128,       3892.1400,     1.00000E+0
   35.0498,        172074,       3893.8772,     1.00000E+0
   35.0548,        161047,       3894.7891,     1.00000E+0
   35.0598,        152508,       3897.2973,     1.00000E+0
   35.0648,        143270,       3893.3447,     1.00000E+0
   35.0698,        134627,       3898.4381,     1.00000E+0
   35.0748,        128148,       3893.5227,     1.00000E+0
   35.0798,        120812,       3891.9192,     1.00000E+0
