Si_RoughTEOS_2thome_2.dat
2025/08/21 14:32:39 - 14:42:59
É∆ : 35.1681 deg
2É∆ : 69.5820 deg
É‘ : 89.4615 deg
É” : 0.0000 deg
Sz : 11.610 mm
Rx : 0.1609 deg
Ry : 0.0021 deg
I0 slit H : 0.20 mm
I0 slit W : 1.00 mm
R1 slit H : 0.20 mm
R1 slit W : 1.00 mm
R2 slit H : 0.20 mm
R2 slit W : 1.00 mm
Scan axis : 2É∆/É∆
Start: 68.5820 deg, End: 70.5820 deg
Step: 0.0100 deg, Time: 1.0 sec
Axis (deg),       I (cts),        I0 (cts),         Atten.
   68.5820,             0,       3976.1051,     1.00000E+0
   68.5920,             2,       3973.7773,     1.00000E+0
   68.6020,             3,       3974.7547,     1.00000E+0
   68.6120,             1,       3973.2234,     1.00000E+0
   68.6220,             1,       3972.5547,     1.00000E+0
   68.6320,             3,       3973.8368,     1.00000E+0
   68.6420,             2,       3973.7101,     1.00000E+0
   68.6520,             3,       3970.1935,     1.00000E+0
   68.6620,             4,       3973.5678,     1.00000E+0
   68.6720,             2,       3972.6204,     1.00000E+0
   68.6820,             0,       3968.5897,     1.00000E+0
   68.6920,             5,       3970.3461,     1.00000E+0
   68.7020,             0,       3971.2519,     1.00000E+0
   68.7120,             6,       3971.7990,     1.00000E+0
   68.7220,             5,       3970.7605,     1.00000E+0
   68.7320,             6,       3969.9808,     1.00000E+0
   68.7420,             4,       3970.7949,     1.00000E+0
   68.7520,             8,       3971.5994,     1.00000E+0
   68.7620,             8,       3970.3163,     1.00000E+0
   68.7720,             4,       3969.7904,     1.00000E+0
   68.7820,             3,       3970.3967,     1.00000E+0
   68.7920,             6,       3969.1270,     1.00000E+0
   68.8020,            12,       3969.2520,     1.00000E+0
   68.8120,             6,       3968.9666,     1.00000E+0
   68.8220,            11,       3968.0665,     1.00000E+0
   68.8320,            10,       3968.4267,     1.00000E+0
   68.8420,             3,       3969.2788,     1.00000E+0
   68.8520,             6,       3968.3169,     1.00000E+0
   68.8620,             7,       3967.5288,     1.00000E+0
   68.8720,            10,       3965.9029,     1.00000E+0
   68.8820,             7,       3966.7653,     1.00000E+0
   68.8920,            16,       3967.0679,     1.00000E+0
   68.9020,             7,       3966.9572,     1.00000E+0
   68.9120,            12,       3967.1431,     1.00000E+0
   68.9220,            12,       3968.1773,     1.00000E+0
   68.9320,            11,       3967.3691,     1.00000E+0
   68.9420,            18,       3968.2116,     1.00000E+0
   68.9520,            20,       3969.5508,     1.00000E+0
   68.9620,            23,       3969.5164,     1.00000E+0
   68.9720,            24,       3969.4607,     1.00000E+0
   68.9820,            32,       3968.2871,     1.00000E+0
   68.9920,            22,       3965.8936,     1.00000E+0
   69.0020,            35,       3965.4075,     1.00000E+0
   69.0120,            29,       3962.7528,     1.00000E+0
   69.0220,            26,       3962.8965,     1.00000E+0
   69.0320,            28,       3962.4043,     1.00000E+0
   69.0420,            57,       3960.2030,     1.00000E+0
   69.0520,            41,       3957.3213,     1.00000E+0
   69.0620,            40,       3957.9174,     1.00000E+0
   69.0720,            38,       3956.7530,     1.00000E+0
   69.0820,            70,       3953.4839,     1.00000E+0
   69.0920,            75,       3953.0590,     1.00000E+0
   69.1020,            73,       3950.6133,     1.00000E+0
   69.1120,            73,       3949.3120,     1.00000E+0
   69.1220,            93,       3926.0635,     1.00000E+0
   69.1320,            91,       3946.5651,     1.00000E+0
   69.1420,            90,       3943.7490,     1.00000E+0
   69.1520,           117,       3945.4705,     1.00000E+0
   69.1620,           116,       3945.0050,     1.00000E+0
   69.1720,           121,       3944.3188,     1.00000E+0
   69.1820,           133,       3944.1237,     1.00000E+0
   69.1920,           160,       3943.3900,     1.00000E+0
   69.2020,           198,       3944.7684,     1.00000E+0
   69.2120,           200,       3944.1282,     1.00000E+0
   69.2220,           208,       3945.6382,     1.00000E+0
   69.2320,           271,       3946.0280,     1.00000E+0
   69.2420,           297,       3947.9607,     1.00000E+0
   69.2520,           360,       3948.0003,     1.00000E+0
   69.2620,           426,       3928.2389,     1.00000E+0
   69.2720,           455,       3949.5275,     1.00000E+0
   69.2820,           505,       3949.1073,     1.00000E+0
   69.2920,           559,       3949.2336,     1.00000E+0
   69.3020,           647,       3946.8538,     1.00000E+0
   69.3120,           789,       3926.4570,     1.00000E+0
   69.3220,           933,       3947.7901,     1.00000E+0
   69.3320,          1055,       3946.0536,     1.00000E+0
   69.3420,          1260,       3946.4942,     1.00000E+0
   69.3520,          1413,       3945.6346,     1.00000E+0
   69.3620,          1695,       3944.3144,     1.00000E+0
   69.3720,          2011,       3943.9489,     1.00000E+0
   69.3820,          2479,       3942.1684,     1.00000E+0
   69.3920,          2841,       3941.8115,     1.00000E+0
   69.4020,          3515,       3939.8369,     1.00000E+0
   69.4120,          4558,       3940.3687,     1.00000E+0
   69.4220,          5692,       3938.5872,     1.00000E+0
   69.4320,          7098,       3940.2906,     1.00000E+0
   69.4420,          9051,       3939.4462,     1.00000E+0
   69.4520,         11915,       3938.8691,     1.00000E+0
   69.4620,         16155,       3939.2711,     1.00000E+0
   69.4720,         21977,       3940.1563,     1.00000E+0
   69.4820,         30876,       3941.1170,     1.00000E+0
   69.4920,         43904,       3943.2891,     1.00000E+0
   69.5020,         65487,       3942.9195,     1.00000E+0
   69.5120,        103510,       3943.0425,     1.00000E+0
   69.5220,        170417,       3945.5833,     1.00000E+0
   69.5320,        310247,       3944.8538,     1.00000E+0
   69.5420,        612974,       3944.0924,     1.00000E+0
   69.5520,       1420741,       3945.1004,     1.00000E+0
   69.5620,       5011676,       3945.5306,     1.00000E+0
   69.5720,        462627,       3943.3163,     5.39842E+1
   69.5820,        715040,       3943.7909,     5.39842E+1
   69.5920,        249629,       3942.3545,     5.39842E+1
   69.6020,       2883469,       3942.0041,     1.00000E+0
   69.6120,        878095,       3942.3165,     1.00000E+0
   69.6220,        326198,       3942.2701,     1.00000E+0
   69.6320,        140384,       3940.7579,     1.00000E+0
   69.6420,         70692,       3941.4694,     1.00000E+0
   69.6520,         39586,       3938.5546,     1.00000E+0
   69.6620,         23118,       3937.6018,     1.00000E+0
   69.6720,         14018,       3938.0308,     1.00000E+0
   69.6820,          8795,       3936.2234,     1.00000E+0
   69.6920,          5721,       3930.3284,     1.00000E+0
   69.7020,          3975,       3932.4073,     1.00000E+0
   69.7120,          2810,       3932.0252,     1.00000E+0
   69.7220,          1918,       3932.8321,     1.00000E+0
   69.7320,          1481,       3932.8807,     1.00000E+0
   69.7420,          1072,       3932.2832,     1.00000E+0
   69.7520,           907,       3934.1847,     1.00000E+0
   69.7620,           655,       3932.3858,     1.00000E+0
   69.7720,           542,       3934.2552,     1.00000E+0
   69.7820,           429,       3934.1846,     1.00000E+0
   69.7920,           356,       3934.2918,     1.00000E+0
   69.8020,           288,       3935.6430,     1.00000E+0
   69.8120,           220,       3937.2016,     1.00000E+0
   69.8220,           205,       3934.9925,     1.00000E+0
   69.8320,           155,       3935.6053,     1.00000E+0
   69.8420,           142,       3935.1431,     1.00000E+0
   69.8520,           126,       3935.6228,     1.00000E+0
   69.8620,           108,       3934.6425,     1.00000E+0
   69.8720,           104,       3934.1622,     1.00000E+0
   69.8820,            60,       3933.4181,     1.00000E+0
   69.8920,            53,       3932.5670,     1.00000E+0
   69.9020,            61,       3933.3446,     1.00000E+0
   69.9120,            43,       3935.7025,     1.00000E+0
   69.9220,            49,       3935.2965,     1.00000E+0
   69.9320,            36,       3932.9620,     1.00000E+0
   69.9420,            34,       3933.4823,     1.00000E+0
   69.9520,            35,       3934.9694,     1.00000E+0
   69.9620,            24,       3933.1796,     1.00000E+0
   69.9720,            40,       3932.9609,     1.00000E+0
   69.9820,            19,       3932.2373,     1.00000E+0
   69.9920,            19,       3931.5945,     1.00000E+0
   70.0020,            14,       3932.0315,     1.00000E+0
   70.0120,            15,       3931.3478,     1.00000E+0
   70.0220,            21,       3931.8433,     1.00000E+0
   70.0320,            21,       3932.9150,     1.00000E+0
   70.0420,             8,       3932.2769,     1.00000E+0
   70.0520,             8,       3932.2205,     1.00000E+0
   70.0620,            11,       3932.9489,     1.00000E+0
   70.0720,            10,       3933.1540,     1.00000E+0
   70.0820,             4,       3932.7698,     1.00000E+0
   70.0920,            11,       3919.4292,     1.00000E+0
   70.1020,             8,       3928.0005,     1.00000E+0
   70.1120,            13,       3934.3571,     1.00000E+0
   70.1220,             7,       3932.8606,     1.00000E+0
   70.1320,             5,       3933.1280,     1.00000E+0
   70.1420,             6,       3931.7123,     1.00000E+0
   70.1520,             5,       3931.6431,     1.00000E+0
   70.1620,             4,       3928.4320,     1.00000E+0
   70.1720,             6,       3926.5368,     1.00000E+0
   70.1820,            11,       3925.3202,     1.00000E+0
   70.1920,             7,       3923.5942,     1.00000E+0
   70.2020,             4,       3924.2852,     1.00000E+0
   70.2120,             5,       3923.0264,     1.00000E+0
   70.2220,             6,       3921.3244,     1.00000E+0
   70.2320,             6,       3902.2227,     1.00000E+0
   70.2420,             0,       3901.7047,     1.00000E+0
   70.2520,             6,       3922.5498,     1.00000E+0
   70.2620,             2,       3922.2720,     1.00000E+0
   70.2720,             4,       3921.9295,     1.00000E+0
   70.2820,             2,       3920.6157,     1.00000E+0
   70.2920,             1,       3921.3066,     1.00000E+0
   70.3020,             2,       3919.1215,     1.00000E+0
   70.3120,             3,       3918.3017,     1.00000E+0
   70.3220,             0,       3918.2946,     1.00000E+0
   70.3320,             2,       3917.2802,     1.00000E+0
   70.3420,             1,       3915.4030,     1.00000E+0
   70.3520,             1,       3917.0964,     1.00000E+0
   70.3620,             4,       3914.8743,     1.00000E+0
   70.3720,             3,       3914.9193,     1.00000E+0
   70.3820,             2,       3914.7682,     1.00000E+0
   70.3920,             3,       3913.0973,     1.00000E+0
   70.4020,             0,       3913.0972,     1.00000E+0
   70.4120,             1,       3912.4315,     1.00000E+0
   70.4220,             2,       3911.6867,     1.00000E+0
   70.4320,             3,       3913.6752,     1.00000E+0
   70.4420,             1,       3912.5687,     1.00000E+0
   70.4520,             3,       3910.6437,     1.00000E+0
   70.4620,             2,       3910.7074,     1.00000E+0
   70.4720,             2,       3911.7247,     1.00000E+0
   70.4820,             2,       3911.7564,     1.00000E+0
   70.4920,             0,       3912.3403,     1.00000E+0
   70.5020,             0,       3911.7885,     1.00000E+0
   70.5120,             0,       3911.0656,     1.00000E+0
   70.5220,             0,       3911.6104,     1.00000E+0
   70.5320,             0,       3913.1786,     1.00000E+0
   70.5420,             0,       3913.1368,     1.00000E+0
   70.5520,             2,       3913.2946,     1.00000E+0
   70.5620,             1,       3913.0609,     1.00000E+0
   70.5720,             1,       3911.9239,     1.00000E+0
   70.5820,             0,       3911.0078,     1.00000E+0
