Si_RoughTEOS_omega.dat
2025/08/21 12:29:03 - 12:38:53
É∆ : 34.8634 deg
2É∆ : 69.5822 deg
É‘ : 90.1731 deg
É” : 0.0000 deg
Sz : 11.606 mm
Rx : 0.1609 deg
Ry : 0.2883 deg
I0 slit H : 0.20 mm
I0 slit W : 1.00 mm
R1 slit H : 0.20 mm
R1 slit W : 1.00 mm
R2 slit H : 0.20 mm
R2 slit W : 1.00 mm
Scan axis : É∆
Start: 34.7634 deg, End: 34.9634 deg
Step: 0.0010 deg, Time: 1.0 sec
Axis (deg),       I (cts),        I0 (cts),         Atten.
   34.7634,          6519,       4884.4582,     1.00000E+0
   34.7644,          6502,       4885.9485,     1.00000E+0
   34.7654,          6793,       4887.5558,     1.00000E+0
   34.7664,          6962,       4887.4350,     1.00000E+0
   34.7674,          7281,       4886.1513,     1.00000E+0
   34.7684,          7536,       4886.0566,     1.00000E+0
   34.7694,          7972,       4887.5891,     1.00000E+0
   34.7704,          8195,       4890.4616,     1.00000E+0
   34.7714,          8604,       4890.3117,     1.00000E+0
   34.7724,          8963,       4894.3955,     1.00000E+0
   34.7734,          9161,       4897.2560,     1.00000E+0
   34.7744,          9685,       4898.0508,     1.00000E+0
   34.7754,         10175,       4899.6653,     1.00000E+0
   34.7764,         10351,       4900.7489,     1.00000E+0
   34.7774,         10916,       4900.6783,     1.00000E+0
   34.7784,         11306,       4899.8199,     1.00000E+0
   34.7794,         11878,       4898.5834,     1.00000E+0
   34.7804,         12458,       4894.5601,     1.00000E+0
   34.7814,         13069,       4894.9967,     1.00000E+0
   34.7824,         13617,       4890.9350,     1.00000E+0
   34.7834,         14310,       4890.2176,     1.00000E+0
   34.7844,         14984,       4886.2334,     1.00000E+0
   34.7854,         15616,       4884.0020,     1.00000E+0
   34.7864,         16714,       4880.9627,     1.00000E+0
   34.7874,         17371,       4882.1341,     1.00000E+0
   34.7884,         18141,       4883.4843,     1.00000E+0
   34.7894,         19267,       4883.2663,     1.00000E+0
   34.7904,         20379,       4887.1158,     1.00000E+0
   34.7914,         21316,       4886.8632,     1.00000E+0
   34.7924,         22655,       4890.0746,     1.00000E+0
   34.7934,         23795,       4894.1675,     1.00000E+0
   34.7944,         25305,       4897.1290,     1.00000E+0
   34.7954,         26376,       4897.5199,     1.00000E+0
   34.7964,         28200,       4897.2587,     1.00000E+0
   34.7974,         29894,       4895.1831,     1.00000E+0
   34.7984,         31539,       4892.5755,     1.00000E+0
   34.7994,         33633,       4891.0652,     1.00000E+0
   34.8004,         35026,       4887.7427,     1.00000E+0
   34.8014,         37148,       4886.9889,     1.00000E+0
   34.8024,         39634,       4884.5871,     1.00000E+0
   34.8034,         41914,       4882.7465,     1.00000E+0
   34.8044,         44568,       4882.8513,     1.00000E+0
   34.8054,         47234,       4880.1930,     1.00000E+0
   34.8064,         50868,       4876.5169,     1.00000E+0
   34.8074,         54108,       4876.7497,     1.00000E+0
   34.8084,         57784,       4873.5819,     1.00000E+0
   34.8094,         62549,       4872.8823,     1.00000E+0
   34.8104,         67139,       4873.5821,     1.00000E+0
   34.8114,         71631,       4871.7057,     1.00000E+0
   34.8124,         77086,       4869.7939,     1.00000E+0
   34.8134,         83401,       4869.9690,     1.00000E+0
   34.8144,         89726,       4867.9771,     1.00000E+0
   34.8154,         96912,       4869.3117,     1.00000E+0
   34.8164,        104813,       4869.3822,     1.00000E+0
   34.8174,        113981,       4870.8212,     1.00000E+0
   34.8184,        122343,       4866.0059,     1.00000E+0
   34.8194,        132471,       4865.3719,     1.00000E+0
   34.8204,        143356,       4865.1190,     1.00000E+0
   34.8214,        155227,       4861.2326,     1.00000E+0
   34.8224,        167084,       4858.7137,     1.00000E+0
   34.8234,        182732,       4857.8512,     1.00000E+0
   34.8244,        198026,       4850.9838,     1.00000E+0
   34.8254,        214903,       4848.1576,     1.00000E+0
   34.8264,        234407,       4842.7360,     1.00000E+0
   34.8274,        254933,       4840.2750,     1.00000E+0
   34.8284,        278372,       4832.1573,     1.00000E+0
   34.8294,        303415,       4826.0491,     1.00000E+0
   34.8304,        334129,       4828.0441,     1.00000E+0
   34.8314,        368253,       4829.0205,     1.00000E+0
   34.8324,        407060,       4828.2524,     1.00000E+0
   34.8334,        450475,       4832.6772,     1.00000E+0
   34.8344,        502160,       4832.4937,     1.00000E+0
   34.8354,        559216,       4839.5609,     1.00000E+0
   34.8364,        627847,       4843.3831,     1.00000E+0
   34.8374,        701216,       4843.4620,     1.00000E+0
   34.8384,        795292,       4848.5064,     1.00000E+0
   34.8394,        896819,       4849.5379,     1.00000E+0
   34.8404,       1010868,       4850.2807,     1.00000E+0
   34.8414,       1147119,       4853.7275,     1.00000E+0
   34.8424,       1303907,       4855.3247,     1.00000E+0
   34.8434,       1482468,       4857.2481,     1.00000E+0
   34.8444,       1694688,       4858.0923,     1.00000E+0
   34.8454,       1940094,       4854.6654,     1.00000E+0
   34.8464,       2234128,       4850.8950,     1.00000E+0
   34.8474,       2588818,       4848.2868,     1.00000E+0
   34.8484,       3028197,       4845.5437,     1.00000E+0
   34.8494,         68966,       4846.8043,     5.39842E+1
   34.8504,         82121,       4842.8798,     5.39842E+1
   34.8514,         97761,       4840.8720,     5.39842E+1
   34.8524,        118975,       4838.9492,     5.39842E+1
   34.8534,        146714,       4839.5176,     5.39842E+1
   34.8544,        182630,       4841.4079,     5.39842E+1
   34.8554,        229666,       4845.1420,     5.39842E+1
   34.8564,        292994,       4846.1952,     5.39842E+1
   34.8574,        381880,       4845.3309,     5.39842E+1
   34.8584,        502985,       4846.5853,     5.39842E+1
   34.8594,        663890,       4849.6895,     5.39842E+1
   34.8604,        862722,       4853.3002,     5.39842E+1
   34.8614,       1071355,       4859.8818,     5.39842E+1
   34.8624,       1232751,       4860.9528,     5.39842E+1
   34.8634,       1324860,       4859.0074,     5.39842E+1
   34.8644,       1316180,       4862.8525,     5.39842E+1
   34.8654,       1217135,       4863.1446,     5.39842E+1
   34.8664,       1031755,       4868.7684,     5.39842E+1
   34.8674,        835107,       4865.5607,     5.39842E+1
   34.8684,        646792,       4862.3876,     5.39842E+1
   34.8694,        490710,       4856.0405,     5.39842E+1
   34.8704,        366432,       4851.9636,     5.39842E+1
   34.8714,        277537,       4851.1864,     5.39842E+1
   34.8724,        216474,       4842.1928,     5.39842E+1
   34.8734,        169281,       4840.3864,     5.39842E+1
   34.8744,        134788,       4842.2986,     5.39842E+1
   34.8754,        108227,       4841.7778,     5.39842E+1
   34.8764,         87948,       4842.8302,     5.39842E+1
   34.8774,         71826,       4844.9615,     5.39842E+1
   34.8784,         60120,       4842.7225,     5.39842E+1
   34.8794,         49856,       4841.7049,     5.39842E+1
   34.8804,         41860,       4841.6167,     5.39842E+1
   34.8814,         36182,       4844.3083,     5.39842E+1
   34.8824,         30786,       4840.3318,     5.39842E+1
   34.8834,         27056,       4841.2030,     5.39842E+1
   34.8844,       1195553,       4836.5424,     1.00000E+0
   34.8854,       1047726,       4836.0680,     1.00000E+0
   34.8864,        917495,       4837.0231,     1.00000E+0
   34.8874,        806264,       4835.7028,     1.00000E+0
   34.8884,        711395,       4832.9470,     1.00000E+0
   34.8894,        630545,       4832.2825,     1.00000E+0
   34.8904,        559385,       4830.0458,     1.00000E+0
   34.8914,        499830,       4829.5136,     1.00000E+0
   34.8924,        446355,       4827.2741,     1.00000E+0
   34.8934,        401289,       4826.8069,     1.00000E+0
   34.8944,        362158,       4823.8732,     1.00000E+0
   34.8954,        325251,       4824.2357,     1.00000E+0
   34.8964,        293375,       4823.0535,     1.00000E+0
   34.8974,        265748,       4819.3079,     1.00000E+0
