Si_RoughTEOS_omega_2.dat
2025/08/21 14:22:05 - 14:31:54
É∆ : 35.1681 deg
2É∆ : 69.5820 deg
É‘ : 89.4615 deg
É” : 0.0000 deg
Sz : 11.610 mm
Rx : 0.1609 deg
Ry : 0.0021 deg
I0 slit H : 0.20 mm
I0 slit W : 1.00 mm
R1 slit H : 0.20 mm
R1 slit W : 1.00 mm
R2 slit H : 0.20 mm
R2 slit W : 1.00 mm
Scan axis : É∆
Start: 35.0681 deg, End: 35.2681 deg
Step: 0.0010 deg, Time: 1.0 sec
Axis (deg),       I (cts),        I0 (cts),         Atten.
   35.0681,         11175,       4056.9414,     1.00000E+0
   35.0691,         11416,       4058.5016,     1.00000E+0
   35.0701,         12082,       4056.9799,     1.00000E+0
   35.0711,         12439,       4058.4398,     1.00000E+0
   35.0721,         13104,       4056.5486,     1.00000E+0
   35.0731,         13524,       4056.8234,     1.00000E+0
   35.0741,         14293,       4057.0184,     1.00000E+0
   35.0751,         14742,       4034.8527,     1.00000E+0
   35.0761,         15533,       4033.9664,     1.00000E+0
   35.0771,         15990,       4054.4574,     1.00000E+0
   35.0781,         17039,       4053.9219,     1.00000E+0
   35.0791,         17555,       4052.5436,     1.00000E+0
   35.0801,         18632,       4052.9780,     1.00000E+0
   35.0811,         19569,       4051.2783,     1.00000E+0
   35.0821,         20259,       4049.4160,     1.00000E+0
   35.0831,         21472,       4052.8860,     1.00000E+0
   35.0841,         22230,       4051.3083,     1.00000E+0
   35.0851,         23437,       4050.0689,     1.00000E+0
   35.0861,         24690,       4048.8410,     1.00000E+0
   35.0871,         25928,       4048.4884,     1.00000E+0
   35.0881,         27241,       4047.4311,     1.00000E+0
   35.0891,         28581,       4046.8892,     1.00000E+0
   35.0901,         30232,       4046.1712,     1.00000E+0
   35.0911,         31884,       4046.2825,     1.00000E+0
   35.0921,         33400,       4046.5220,     1.00000E+0
   35.0931,         34861,       4046.2828,     1.00000E+0
   35.0941,         36980,       4043.7757,     1.00000E+0
   35.0951,         39237,       4043.9916,     1.00000E+0
   35.0961,         40831,       4041.9549,     1.00000E+0
   35.0971,         43705,       4042.1140,     1.00000E+0
   35.0981,         46095,       4038.2583,     1.00000E+0
   35.0991,         48873,       4040.7153,     1.00000E+0
   35.1001,         51397,       4039.4685,     1.00000E+0
   35.1011,         54738,       4039.5269,     1.00000E+0
   35.1021,         58257,       4040.8187,     1.00000E+0
   35.1031,         61501,       4039.9106,     1.00000E+0
   35.1041,         64979,       4041.3662,     1.00000E+0
   35.1051,         69049,       4040.1019,     1.00000E+0
   35.1061,         73496,       4040.0474,     1.00000E+0
   35.1071,         78336,       4038.0365,     1.00000E+0
   35.1081,         83188,       4038.5203,     1.00000E+0
   35.1091,         89620,       4037.6474,     1.00000E+0
   35.1101,         95142,       4039.3016,     1.00000E+0
   35.1111,        101443,       4037.0467,     1.00000E+0
   35.1121,        107872,       4027.0853,     1.00000E+0
   35.1131,        116703,       4035.1098,     1.00000E+0
   35.1141,        124705,       4035.1093,     1.00000E+0
   35.1151,        132826,       4036.2137,     1.00000E+0
   35.1161,        142664,       4033.5348,     1.00000E+0
   35.1171,        152889,       4035.5803,     1.00000E+0
   35.1181,        163834,       4035.5958,     1.00000E+0
   35.1191,        174362,       4012.7123,     1.00000E+0
   35.1201,        189385,       4037.0664,     1.00000E+0
   35.1211,        202292,       4035.1267,     1.00000E+0
   35.1221,        217533,       4034.7626,     1.00000E+0
   35.1231,        233634,       4033.8500,     1.00000E+0
   35.1241,        251485,       4036.0665,     1.00000E+0
   35.1251,        272204,       4034.7917,     1.00000E+0
   35.1261,        293971,       4029.0667,     1.00000E+0
   35.1271,        319187,       4035.6563,     1.00000E+0
   35.1281,        346753,       4034.8530,     1.00000E+0
   35.1291,        377598,       4035.1345,     1.00000E+0
   35.1301,        408774,       4033.8323,     1.00000E+0
   35.1311,        447678,       4032.8998,     1.00000E+0
   35.1321,        488102,       4031.6324,     1.00000E+0
   35.1331,        533763,       4029.4076,     1.00000E+0
   35.1341,        583404,       4028.0297,     1.00000E+0
   35.1351,        641177,       4025.3480,     1.00000E+0
   35.1361,        701349,       4023.2516,     1.00000E+0
   35.1371,        770794,       4024.0659,     1.00000E+0
   35.1381,        848722,       4022.2310,     1.00000E+0
   35.1391,        937144,       4022.0244,     1.00000E+0
   35.1401,       1036509,       4021.0213,     1.00000E+0
   35.1411,       1154514,       4020.6459,     1.00000E+0
   35.1421,       1285268,       4018.7147,     1.00000E+0
   35.1431,       1435480,       4005.3717,     1.00000E+0
   35.1441,       1621205,       4020.1032,     1.00000E+0
   35.1451,       1836652,       4021.4184,     1.00000E+0
   35.1461,       2088236,       4022.7140,     1.00000E+0
   35.1471,         46105,       4020.8198,     5.39842E+1
   35.1481,         52220,       4024.8298,     5.39842E+1
   35.1491,         60575,       4022.0058,     5.39842E+1
   35.1501,         70227,       4020.8842,     5.39842E+1
   35.1511,         83776,       4020.5927,     5.39842E+1
   35.1521,        100000,       4018.0516,     5.39842E+1
   35.1531,        124377,       4016.0257,     5.39842E+1
   35.1541,        155621,       4013.7376,     5.39842E+1
   35.1551,        196085,       4014.2607,     5.39842E+1
   35.1561,        244250,       4013.3839,     5.39842E+1
   35.1571,        301642,       4013.6282,     5.39842E+1
   35.1581,        361710,       4011.8898,     5.39842E+1
   35.1591,        422113,       4013.8313,     5.39842E+1
   35.1601,        481340,       4011.7230,     5.39842E+1
   35.1611,        537126,       4011.8178,     5.39842E+1
   35.1621,        593293,       4012.0933,     5.39842E+1
   35.1631,        646409,       4011.5453,     5.39842E+1
   35.1641,        698383,       4011.3668,     5.39842E+1
   35.1651,        743825,       4010.2166,     5.39842E+1
   35.1661,        776890,       4011.8513,     5.39842E+1
   35.1671,        787539,       4011.6527,     5.39842E+1
   35.1681,        781380,       4008.8795,     5.39842E+1
   35.1691,        757222,       4008.0215,     5.39842E+1
   35.1701,        720024,       4008.2526,     5.39842E+1
   35.1711,        669606,       4007.7665,     5.39842E+1
   35.1721,        610950,       4008.3261,     5.39842E+1
   35.1731,        538259,       4009.6685,     5.39842E+1
   35.1741,        459482,       4010.2404,     5.39842E+1
   35.1751,        380891,       4009.9473,     5.39842E+1
   35.1761,        309887,       4011.8898,     5.39842E+1
   35.1771,        250015,       4011.8938,     5.39842E+1
   35.1781,        201594,       4011.1703,     5.39842E+1
   35.1791,        164400,       4010.2253,     5.39842E+1
   35.1801,        134022,       4008.2062,     5.39842E+1
   35.1811,        112258,       4006.6915,     5.39842E+1
   35.1821,         93099,       4003.5021,     5.39842E+1
   35.1831,         78641,       4002.4186,     5.39842E+1
   35.1841,         66390,       3984.4913,     5.39842E+1
   35.1851,         57154,       4003.9605,     5.39842E+1
   35.1861,         49297,       4004.1716,     5.39842E+1
   35.1871,         42992,       4003.8599,     5.39842E+1
   35.1881,         38057,       4005.1971,     5.39842E+1
   35.1891,         33818,       4006.2426,     5.39842E+1
   35.1901,         29563,       4002.3057,     5.39842E+1
   35.1911,         26407,       4005.3954,     5.39842E+1
   35.1921,         23583,       4004.3369,     5.39842E+1
   35.1931,         21211,       4004.8018,     5.39842E+1
   35.1941,         18936,       4004.2941,     5.39842E+1
   35.1951,        895965,       4003.0023,     1.00000E+0
   35.1961,        810380,       4001.8057,     1.00000E+0
   35.1971,        735435,       4000.2959,     1.00000E+0
   35.1981,        669168,       3999.8693,     1.00000E+0
   35.1991,        612020,       3999.5601,     1.00000E+0
   35.2001,        560051,       3998.5220,     1.00000E+0
   35.2011,        515179,       3996.1522,     1.00000E+0
   35.2021,        473618,       3995.1831,     1.00000E+0
   35.2031,        436227,       3996.6458,     1.00000E+0
   35.2041,        403084,       3995.4244,     1.00000E+0
   35.2051,        367862,       3993.3057,     1.00000E+0
   35.2061,        337718,       3992.1098,     1.00000E+0
   35.2071,        309958,       3992.5183,     1.00000E+0
   35.2081,        283231,       3992.9510,     1.00000E+0
   35.2091,        261624,       3992.5531,     1.00000E+0
   35.2101,        240470,       3991.5994,     1.00000E+0
   35.2111,        223457,       3989.9240,     1.00000E+0
   35.2121,        205747,       3988.1391,     1.00000E+0
   35.2131,        192372,       3989.4375,     1.00000E+0
   35.2141,        178635,       3986.7983,     1.00000E+0
   35.2151,        166584,       3989.6525,     1.00000E+0
   35.2161,        154379,       3989.9040,     1.00000E+0
   35.2171,        144238,       3990.8019,     1.00000E+0
   35.2181,        134163,       3990.0650,     1.00000E+0
   35.2191,        124609,       3993.6603,     1.00000E+0
   35.2201,        115799,       3993.2335,     1.00000E+0
   35.2211,        108158,       3994.3117,     1.00000E+0
   35.2221,        101240,       3993.8333,     1.00000E+0
   35.2231,         94552,       3993.9975,     1.00000E+0
   35.2241,         88398,       3994.0393,     1.00000E+0
   35.2251,         82258,       3993.4165,     1.00000E+0
   35.2261,         77221,       3992.1735,     1.00000E+0
   35.2271,         71751,       3992.2673,     1.00000E+0
   35.2281,         68124,       3990.3616,     1.00000E+0
   35.2291,         63679,       3989.1944,     1.00000E+0
   35.2301,         59275,       3991.0065,     1.00000E+0
   35.2311,         56172,       3987.2072,     1.00000E+0
   35.2321,         52588,       3989.6144,     1.00000E+0
   35.2331,         49610,       3987.6679,     1.00000E+0
   35.2341,         46489,       3989.6813,     1.00000E+0
   35.2351,         44191,       3986.7716,     1.00000E+0
   35.2361,         42440,       3987.3523,     1.00000E+0
   35.2371,         39705,       3990.5019,     1.00000E+0
   35.2381,         37556,       3990.3712,     1.00000E+0
   35.2391,         35392,       3992.4102,     1.00000E+0
   35.2401,         33491,       3990.9077,     1.00000E+0
   35.2411,         31659,       3993.8298,     1.00000E+0
   35.2421,         29929,       3992.1960,     1.00000E+0
   35.2431,         28222,       3992.8707,     1.00000E+0
   35.2441,         26759,       3993.0254,     1.00000E+0
   35.2451,         25547,       3992.7627,     1.00000E+0
   35.2461,         24406,       3992.4945,     1.00000E+0
   35.2471,         22934,       3993.1862,     1.00000E+0
   35.2481,         21760,       3992.3863,     1.00000E+0
   35.2491,         20902,       3990.2919,     1.00000E+0
   35.2501,         20078,       3988.6114,     1.00000E+0
   35.2511,         18672,       3988.4458,     1.00000E+0
   35.2521,         17730,       3986.2802,     1.00000E+0
