Si_TEOS_omega.dat
2025/08/21 11:31:59 - 11:41:30
ƒÆ : 35.0306 deg
2ƒÆ : 69.5871 deg
ƒÔ : 89.6348 deg
ƒÓ : 0.0000 deg
Sz : 11.590 mm
Rx : 0.1609 deg
Ry : 0.1356 deg
I0 slit H : 0.20 mm
I0 slit W : 1.00 mm
R1 slit H : 0.20 mm
R1 slit W : 1.00 mm
R2 slit H : 0.20 mm
R2 slit W : 1.00 mm
Scan axis : ƒÆ
Start: 34.9306 deg, End: 35.1306 deg
Step: 0.0010 deg, Time: 1.0 sec
Axis (deg),       I (cts),        I0 (cts),         Atten.
   34.9306,           143,       5750.1853,     1.00000E+0
   34.9316,           127,       5749.0700,     1.00000E+0
   34.9326,           124,       5747.5570,     1.00000E+0
   34.9336,           158,       5747.9823,     1.00000E+0
   34.9346,           128,       5747.9839,     1.00000E+0
   34.9356,           156,       5743.8412,     1.00000E+0
   34.9366,           150,       5743.7670,     1.00000E+0
   34.9376,           151,       5742.3593,     1.00000E+0
   34.9386,           135,       5740.6717,     1.00000E+0
   34.9396,           152,       5740.0515,     1.00000E+0
   34.9406,           148,       5740.8097,     1.00000E+0
   34.9416,           184,       5741.6082,     1.00000E+0
   34.9426,           154,       5737.8490,     1.00000E+0
   34.9436,           151,       5736.5221,     1.00000E+0
   34.9446,           176,       5733.6861,     1.00000E+0
   34.9456,           204,       5732.4635,     1.00000E+0
   34.9466,           178,       5728.5911,     1.00000E+0
   34.9476,           186,       5724.6006,     1.00000E+0
   34.9486,           193,       5726.0938,     1.00000E+0
   34.9496,           181,       5725.9429,     1.00000E+0
   34.9506,           186,       5723.9923,     1.00000E+0
   34.9516,           222,       5729.1851,     1.00000E+0
   34.9526,           222,       5727.2919,     1.00000E+0
   34.9536,           210,       5723.6702,     1.00000E+0
   34.9546,           220,       5724.4319,     1.00000E+0
   34.9556,           211,       5722.7245,     1.00000E+0
   34.9566,           236,       5724.9972,     1.00000E+0
   34.9576,           204,       5724.1732,     1.00000E+0
   34.9586,           224,       5722.2180,     1.00000E+0
   34.9596,           219,       5719.8309,     1.00000E+0
   34.9606,           229,       5717.2360,     1.00000E+0
   34.9616,           256,       5717.1265,     1.00000E+0
   34.9626,           251,       5718.1652,     1.00000E+0
   34.9636,           279,       5716.9673,     1.00000E+0
   34.9646,           271,       5717.0845,     1.00000E+0
   34.9656,           274,       5721.0450,     1.00000E+0
   34.9666,           269,       5719.1394,     1.00000E+0
   34.9676,           287,       5719.7875,     1.00000E+0
   34.9686,           298,       5717.3174,     1.00000E+0
   34.9696,           314,       5717.7008,     1.00000E+0
   34.9706,           319,       5715.9558,     1.00000E+0
   34.9716,           340,       5712.1299,     1.00000E+0
   34.9726,           365,       5710.3614,     1.00000E+0
   34.9736,           346,       5706.7335,     1.00000E+0
   34.9746,           351,       5703.7505,     1.00000E+0
   34.9756,           362,       5700.7184,     1.00000E+0
   34.9766,           381,       5692.2471,     1.00000E+0
   34.9776,           411,       5691.6814,     1.00000E+0
   34.9786,           394,       5689.6739,     1.00000E+0
   34.9796,           455,       5695.6576,     1.00000E+0
   34.9806,           451,       5697.1588,     1.00000E+0
   34.9816,           449,       5693.7979,     1.00000E+0
   34.9826,           418,       5696.8760,     1.00000E+0
   34.9836,           489,       5698.1136,     1.00000E+0
   34.9846,           516,       5697.0025,     1.00000E+0
   34.9856,           545,       5697.9044,     1.00000E+0
   34.9866,           555,       5699.3978,     1.00000E+0
   34.9876,           509,       5697.6405,     1.00000E+0
   34.9886,           584,       5696.6706,     1.00000E+0
   34.9896,           620,       5695.8978,     1.00000E+0
   34.9906,           595,       5692.5583,     1.00000E+0
   34.9916,           645,       5696.2370,     1.00000E+0
   34.9926,           723,       5692.1072,     1.00000E+0
   34.9936,           728,       5693.0138,     1.00000E+0
   34.9946,           731,       5692.0409,     1.00000E+0
   34.9956,           793,       5693.1816,     1.00000E+0
   34.9966,           806,       5694.9523,     1.00000E+0
   34.9976,           850,       5691.7765,     1.00000E+0
   34.9986,           967,       5694.3024,     1.00000E+0
   34.9996,           934,       5694.3874,     1.00000E+0
   35.0006,           986,       5691.2265,     1.00000E+0
   35.0016,           997,       5690.5583,     1.00000E+0
   35.0026,          1078,       5691.1067,     1.00000E+0
   35.0036,          1130,       5689.1615,     1.00000E+0
   35.0046,          1195,       5685.0138,     1.00000E+0
   35.0056,          1241,       5683.7771,     1.00000E+0
   35.0066,          1440,       5683.4031,     1.00000E+0
   35.0076,          1517,       5680.3982,     1.00000E+0
   35.0086,          1769,       5681.1756,     1.00000E+0
   35.0096,          2035,       5680.0764,     1.00000E+0
   35.0106,          2492,       5683.7071,     1.00000E+0
   35.0116,          3095,       5683.1730,     1.00000E+0
   35.0126,          3628,       5680.9126,     1.00000E+0
   35.0136,          4569,       5680.1059,     1.00000E+0
   35.0146,          5463,       5679.2368,     1.00000E+0
   35.0156,          6590,       5681.6146,     1.00000E+0
   35.0166,          8114,       5679.0182,     1.00000E+0
   35.0176,          9865,       5675.0990,     1.00000E+0
   35.0186,         12165,       5669.0936,     1.00000E+0
   35.0196,         15832,       5667.4403,     1.00000E+0
   35.0206,         20385,       5662.4808,     1.00000E+0
   35.0216,         28496,       5660.2205,     1.00000E+0
   35.0226,         45201,       5656.3809,     1.00000E+0
   35.0236,        147112,       5655.7598,     1.00000E+0
   35.0246,       1088960,       5655.4176,     1.00000E+0
   35.0256,        130883,       5657.6409,     5.39842E+1
   35.0266,        444213,       5660.2750,     5.39842E+1
   35.0276,       1078068,       5661.6068,     5.39842E+1
   35.0286,       1899310,       5658.5169,     5.39842E+1
   35.0296,         50362,       5657.2018,     2.40044E+3
   35.0306,         49318,       5653.6284,     2.40044E+3
   35.0316,         36687,       5651.6077,     2.40044E+3
   35.0326,         17285,       5650.3108,     2.40044E+3
   35.0336,          4415,       5646.1186,     2.40044E+3
   35.0346,         48727,       5643.9632,     5.39842E+1
   35.0356,         15669,       5649.2101,     5.39842E+1
   35.0366,        224801,       5649.6930,     1.00000E+0
   35.0376,        128548,       5644.1415,     1.00000E+0
   35.0386,         94879,       5647.4071,     1.00000E+0
   35.0396,         73826,       5643.8865,     1.00000E+0
   35.0406,         59453,       5641.8099,     1.00000E+0
   35.0416,         49422,       5640.5326,     1.00000E+0
   35.0426,         41356,       5638.3078,     1.00000E+0
   35.0436,         34892,       5636.6691,     1.00000E+0
   35.0446,         29666,       5637.2017,     1.00000E+0
   35.0456,         25675,       5634.3068,     1.00000E+0
   35.0466,         22270,       5634.0978,     1.00000E+0
   35.0476,         19559,       5636.6281,     1.00000E+0
   35.0486,         17460,       5635.1377,     1.00000E+0
   35.0496,         15428,       5635.9588,     1.00000E+0
   35.0506,         13932,       5638.1771,     1.00000E+0
   35.0516,         12663,       5636.1909,     1.00000E+0
   35.0526,         11583,       5638.0861,     1.00000E+0
   35.0536,         10456,       5640.2000,     1.00000E+0
   35.0546,          9473,       5646.5097,     1.00000E+0
   35.0556,          8422,       5645.3064,     1.00000E+0
   35.0566,          7282,       5647.7200,     1.00000E+0
   35.0576,          6416,       5647.1271,     1.00000E+0
   35.0586,          5611,       5647.4497,     1.00000E+0
   35.0596,          4983,       5647.2308,     1.00000E+0
   35.0606,          4326,       5645.6358,     1.00000E+0
   35.0616,          3689,       5643.0014,     1.00000E+0
   35.0626,          3196,       5641.0254,     1.00000E+0
   35.0636,          2858,       5645.2324,     1.00000E+0
   35.0646,          2323,       5642.5188,     1.00000E+0
   35.0656,          1990,       5644.5155,     1.00000E+0
   35.0666,          1616,       5643.4924,     1.00000E+0
   35.0676,          1445,       5636.8047,     1.00000E+0
   35.0686,          1185,       5628.9268,     1.00000E+0
   35.0696,          1018,       5625.2253,     1.00000E+0
   35.0706,           916,       5623.4093,     1.00000E+0
   35.0716,           822,       5620.6412,     1.00000E+0
   35.0726,           717,       5620.7566,     1.00000E+0
   35.0736,           670,       5618.8595,     1.00000E+0
   35.0746,           602,       5614.5496,     1.00000E+0
   35.0756,           593,       5613.3930,     1.00000E+0
   35.0766,           538,       5614.0977,     1.00000E+0
   35.0776,           533,       5612.2921,     1.00000E+0
   35.0786,           511,       5611.3946,     1.00000E+0
   35.0796,           486,       5607.8519,     1.00000E+0
   35.0806,           459,       5608.3060,     1.00000E+0
   35.0816,           470,       5605.3624,     1.00000E+0
   35.0826,           430,       5604.5011,     1.00000E+0
   35.0836,           392,       5604.1856,     1.00000E+0
   35.0846,           449,       5604.3758,     1.00000E+0
   35.0856,           411,       5604.0748,     1.00000E+0
   35.0866,           368,       5606.0935,     1.00000E+0
   35.0876,           379,       5605.6813,     1.00000E+0
   35.0886,           394,       5604.9811,     1.00000E+0
   35.0896,           323,       5607.9112,     1.00000E+0
   35.0906,           332,       5607.3702,     1.00000E+0
   35.0916,           341,       5607.5702,     1.00000E+0
   35.0926,           304,       5606.8324,     1.00000E+0
   35.0936,           308,       5606.9306,     1.00000E+0
   35.0946,           311,       5600.8308,     1.00000E+0
   35.0956,           310,       5598.2409,     1.00000E+0
   35.0966,           324,       5596.1065,     1.00000E+0
   35.0976,           283,       5592.7285,     1.00000E+0
   35.0986,           243,       5589.6813,     1.00000E+0
   35.0996,           238,       5585.7614,     1.00000E+0
   35.1006,           250,       5583.8166,     1.00000E+0
   35.1016,           228,       5581.9712,     1.00000E+0
   35.1026,           234,       5582.3488,     1.00000E+0
   35.1036,           243,       5579.2366,     1.00000E+0
   35.1046,           237,       5575.4297,     1.00000E+0
   35.1056,           219,       5573.1118,     1.00000E+0
   35.1066,           187,       5572.8672,     1.00000E+0
   35.1076,           212,       5572.8972,     1.00000E+0
   35.1086,           213,       5570.2897,     1.00000E+0
   35.1096,           225,       5573.4015,     1.00000E+0
   35.1106,           206,       5573.4533,     1.00000E+0
   35.1116,           197,       5569.7166,     1.00000E+0
   35.1126,           202,       5573.2162,     1.00000E+0
   35.1136,           180,       5573.2113,     1.00000E+0
   35.1146,           207,       5570.2621,     1.00000E+0
   35.1156,           180,       5575.8248,     1.00000E+0
   35.1166,           166,       5578.0056,     1.00000E+0
   35.1176,           183,       5577.2516,     1.00000E+0
   35.1186,           131,       5576.7828,     1.00000E+0
   35.1196,           152,       5577.9865,     1.00000E+0
   35.1206,           141,       5577.4514,     1.00000E+0
   35.1216,           137,       5579.3940,     1.00000E+0
   35.1226,           143,       5577.9286,     1.00000E+0
   35.1236,           162,       5578.9342,     1.00000E+0
   35.1246,           159,       5578.0771,     1.00000E+0
