Si_TEOS_omega_BG.dat
2025/08/21 11:54:30 - 11:57:20
É∆ : 34.5298 deg
2É∆ : 68.5870 deg
É‘ : 89.6348 deg
É” : 0.0000 deg
Sz : 11.590 mm
Rx : 0.1609 deg
Ry : 0.1356 deg
I0 slit H : 0.20 mm
I0 slit W : 1.00 mm
R1 slit H : 0.20 mm
R1 slit W : 1.00 mm
R2 slit H : 0.20 mm
R2 slit W : 1.00 mm
Scan axis : É∆
Start: 34.5098 deg, End: 34.5498 deg
Step: 0.0005 deg, Time: 1.0 sec
Axis (deg),       I (cts),        I0 (cts),         Atten.
   34.5098,             0,       5392.0170,     1.00000E+0
   34.5103,             2,       5392.1824,     1.00000E+0
   34.5108,             0,       5390.8730,     1.00000E+0
   34.5113,             1,       5389.7306,     1.00000E+0
   34.5118,             3,       5386.7542,     1.00000E+0
   34.5123,             3,       5386.3943,     1.00000E+0
   34.5128,             1,       5387.7031,     1.00000E+0
   34.5133,             1,       5388.7426,     1.00000E+0
   34.5138,             1,       5388.1467,     1.00000E+0
   34.5143,             3,       5383.1651,     1.00000E+0
   34.5148,             1,       5379.6363,     1.00000E+0
   34.5153,             3,       5379.5293,     1.00000E+0
   34.5158,             2,       5379.2560,     1.00000E+0
   34.5163,             3,       5379.1163,     1.00000E+0
   34.5168,             1,       5378.2692,     1.00000E+0
   34.5173,             2,       5380.3499,     1.00000E+0
   34.5178,             0,       5378.6948,     1.00000E+0
   34.5183,             2,       5379.1735,     1.00000E+0
   34.5188,             0,       5380.1058,     1.00000E+0
   34.5193,             2,       5378.2861,     1.00000E+0
   34.5198,             2,       5382.8536,     1.00000E+0
   34.5203,             2,       5383.8218,     1.00000E+0
   34.5208,             2,       5383.1481,     1.00000E+0
   34.5213,             1,       5379.4376,     1.00000E+0
   34.5218,             2,       5382.1171,     1.00000E+0
   34.5223,             1,       5380.6136,     1.00000E+0
   34.5228,             3,       5374.9003,     1.00000E+0
   34.5233,             4,       5375.3061,     1.00000E+0
   34.5238,             3,       5374.2355,     1.00000E+0
   34.5243,            11,       5377.5364,     1.00000E+0
   34.5248,             8,       5375.2605,     1.00000E+0
   34.5253,            20,       5376.3740,     1.00000E+0
   34.5258,            26,       5374.7712,     1.00000E+0
   34.5263,            28,       5374.5349,     1.00000E+0
   34.5268,            35,       5377.6333,     1.00000E+0
   34.5273,            51,       5379.5317,     1.00000E+0
   34.5278,            75,       5381.2723,     1.00000E+0
   34.5283,            85,       5381.3836,     1.00000E+0
   34.5288,            98,       5383.0311,     1.00000E+0
   34.5293,           105,       5383.5748,     1.00000E+0
   34.5298,           111,       5383.9400,     1.00000E+0
   34.5303,           106,       5386.3164,     1.00000E+0
   34.5308,           109,       5382.1789,     1.00000E+0
   34.5313,           128,       5382.8804,     1.00000E+0
   34.5318,           107,       5383.4996,     1.00000E+0
   34.5323,           103,       5384.3075,     1.00000E+0
   34.5328,           109,       5381.2810,     1.00000E+0
   34.5333,            90,       5377.3544,     1.00000E+0
   34.5338,            71,       5377.5510,     1.00000E+0
   34.5343,            71,       5377.1681,     1.00000E+0
   34.5348,            38,       5375.0387,     1.00000E+0
   34.5353,            36,       5372.9305,     1.00000E+0
   34.5358,            30,       5369.4556,     1.00000E+0
   34.5363,            16,       5367.7395,     1.00000E+0
   34.5368,            22,       5366.5603,     1.00000E+0
   34.5373,             3,       5367.3881,     1.00000E+0
   34.5378,             3,       5364.1735,     1.00000E+0
   34.5383,             2,       5363.7429,     1.00000E+0
   34.5388,             3,       5361.6749,     1.00000E+0
   34.5393,             1,       5359.1935,     1.00000E+0
   34.5398,             1,       5360.2907,     1.00000E+0
   34.5403,             1,       5354.7681,     1.00000E+0
   34.5408,             2,       5350.9097,     1.00000E+0
   34.5413,             1,       5345.9565,     1.00000E+0
   34.5418,             2,       5343.2548,     1.00000E+0
   34.5423,             0,       5342.7332,     1.00000E+0
   34.5428,             2,       5340.7404,     1.00000E+0
   34.5433,             1,       5340.9062,     1.00000E+0
   34.5438,             0,       5344.0091,     1.00000E+0
   34.5443,             0,       5344.9980,     1.00000E+0
   34.5448,             1,       5345.0796,     1.00000E+0
   34.5453,             5,       5344.3282,     1.00000E+0
   34.5458,             1,       5342.3778,     1.00000E+0
   34.5463,             1,       5341.4169,     1.00000E+0
   34.5468,             0,       5339.2647,     1.00000E+0
   34.5473,             1,       5336.1656,     1.00000E+0
   34.5478,             2,       5335.6711,     1.00000E+0
   34.5483,             0,       5334.2099,     1.00000E+0
   34.5488,             1,       5333.8232,     1.00000E+0
   34.5493,             1,       5330.8429,     1.00000E+0
   34.5498,             0,       5334.3554,     1.00000E+0
