TEOS_220.dat
2025/08/22 12:44:33 - 12:54:24
ƒÆ : 23.7955 deg
2ƒÆ : 47.5883 deg
ƒÔ : 44.6415 deg
ƒÓ : -7.2494 deg
Sz : 11.596 mm
Rx : 0.1678 deg
Ry : 0.1328 deg
I0 slit H : 0.20 mm
I0 slit W : 1.00 mm
R1 slit H : 20.00 mm
R1 slit W : 20.00 mm
R2 slit H : 20.00 mm
R2 slit W : 20.00 mm
Scan axis : ƒÆ
Start: 23.2955 deg, End: 24.2955 deg
Step: 0.0050 deg, Time: 1.0 sec
Axis (deg),       I (cts),        I0 (cts),         Atten.
   23.2955,          5886,       4988.1376,     1.00000E+0
   23.3005,          5820,       4988.1012,     1.00000E+0
   23.3055,          5819,       4988.0820,     1.00000E+0
   23.3105,          6049,       4982.1750,     1.00000E+0
   23.3155,          6060,       4987.1705,     1.00000E+0
   23.3205,          6025,       4992.5324,     1.00000E+0
   23.3255,          6116,       4985.7508,     1.00000E+0
   23.3305,          6177,       4985.6325,     1.00000E+0
   23.3355,          6138,       4987.2972,     1.00000E+0
   23.3405,          6269,       4987.1287,     1.00000E+0
   23.3455,          6364,       4986.3693,     1.00000E+0
   23.3505,          6351,       4987.5187,     1.00000E+0
   23.3555,          6438,       4989.8016,     1.00000E+0
   23.3605,          6520,       4990.7842,     1.00000E+0
   23.3655,          6688,       4990.3434,     1.00000E+0
   23.3705,          6795,       4992.3147,     1.00000E+0
   23.3755,          6897,       4991.6801,     1.00000E+0
   23.3805,          6881,       4987.7247,     1.00000E+0
   23.3855,          7145,       4988.0799,     1.00000E+0
   23.3905,          7102,       4988.3666,     1.00000E+0
   23.3955,          7307,       4984.6894,     1.00000E+0
   23.4005,          7411,       4987.7493,     1.00000E+0
   23.4055,          7369,       4988.9673,     1.00000E+0
   23.4105,          7694,       4990.8630,     1.00000E+0
   23.4155,          7638,       4987.8152,     1.00000E+0
   23.4205,          7541,       4992.5725,     1.00000E+0
   23.4255,          7862,       4992.8512,     1.00000E+0
   23.4305,          7855,       4993.0849,     1.00000E+0
