Si_Thermo_omega_2.dat
2025/08/21 17:29:34 - 17:42:26
ƒÆ : 34.4588 deg
2ƒÆ : 69.5890 deg
ƒÔ : 89.6532 deg
ƒÓ : 0.0000 deg
Sz : 11.600 mm
Rx : 0.1609 deg
Ry : 0.0877 deg
I0 slit H : 0.20 mm
I0 slit W : 1.00 mm
R1 slit H : 0.20 mm
R1 slit W : 1.00 mm
R2 slit H : 0.20 mm
R2 slit W : 1.00 mm
Scan axis : ƒÆ
Start: 34.3588 deg, End: 34.5588 deg
Step: 0.0010 deg, Time: 2.0 sec
Axis (deg),       I (cts),        I0 (cts),         Atten.
   34.3588,           131,       5968.5012,     1.00000E+0
   34.3598,           126,       5967.3603,     1.00000E+0
   34.3608,           124,       5965.1673,     1.00000E+0
   34.3618,           132,       5964.9900,     1.00000E+0
   34.3628,           150,       5964.1278,     1.00000E+0
   34.3638,           122,       5963.6422,     1.00000E+0
   34.3648,           149,       5964.7196,     1.00000E+0
   34.3658,           119,       5961.0877,     1.00000E+0
   34.3668,           151,       5961.4187,     1.00000E+0
   34.3678,           151,       5960.9728,     1.00000E+0
   34.3688,           139,       5959.6329,     1.00000E+0
   34.3698,           164,       5960.0493,     1.00000E+0
   34.3708,           146,       5959.9010,     1.00000E+0
   34.3718,           173,       5959.7976,     1.00000E+0
   34.3728,           163,       5960.8847,     1.00000E+0
   34.3738,           148,       5962.3427,     1.00000E+0
   34.3748,           161,       5961.4044,     1.00000E+0
   34.3758,           177,       5961.9377,     1.00000E+0
   34.3768,           164,       5963.0002,     1.00000E+0
   34.3778,           178,       5963.0108,     1.00000E+0
   34.3788,           171,       5963.4978,     1.00000E+0
   34.3798,           168,       5961.7857,     1.00000E+0
   34.3808,           201,       5962.2367,     1.00000E+0
   34.3818,           193,       5959.1992,     1.00000E+0
   34.3828,           200,       5959.4172,     1.00000E+0
   34.3838,           213,       5957.7032,     1.00000E+0
   34.3848,           233,       5956.4812,     1.00000E+0
   34.3858,           221,       5955.8412,     1.00000E+0
   34.3868,           221,       5958.4673,     1.00000E+0
   34.3878,           206,       5957.0069,     1.00000E+0
   34.3888,           240,       5955.9970,     1.00000E+0
   34.3898,           230,       5956.5905,     1.00000E+0
   34.3908,           262,       5954.6178,     1.00000E+0
   34.3918,           246,       5954.0590,     1.00000E+0
   34.3928,           256,       5951.2879,     1.00000E+0
   34.3938,           264,       5949.4184,     1.00000E+0
   34.3948,           259,       5945.3141,     1.00000E+0
   34.3958,           273,       5942.3982,     1.00000E+0
   34.3968,           289,       5942.7085,     1.00000E+0
   34.3978,           336,       5942.8218,     1.00000E+0
   34.3988,           295,       5942.4903,     1.00000E+0
   34.3998,           316,       5942.1247,     1.00000E+0
   34.4008,           311,       5940.5338,     1.00000E+0
   34.4018,           333,       5938.3468,     1.00000E+0
