Si_Thermo_omega_2_BG.dat
2025/08/21 17:45:34 - 17:50:34
ƒÆ : 33.9588 deg
2ƒÆ : 68.5890 deg
ƒÔ : 89.6532 deg
ƒÓ : 0.0000 deg
Sz : 11.600 mm
Rx : 0.1609 deg
Ry : 0.0877 deg
I0 slit H : 0.20 mm
I0 slit W : 1.00 mm
R1 slit H : 0.20 mm
R1 slit W : 1.00 mm
R2 slit H : 0.20 mm
R2 slit W : 1.00 mm
Scan axis : ƒÆ
Start: 33.9388 deg, End: 33.9788 deg
Step: 0.0005 deg, Time: 2.0 sec
Axis (deg),       I (cts),        I0 (cts),         Atten.
   33.9388,             0,       5841.1217,     1.00000E+0
   33.9393,             1,       5841.0784,     1.00000E+0
   33.9398,             0,       5838.8684,     1.00000E+0
   33.9403,             2,       5837.8984,     1.00000E+0
   33.9408,             1,       5833.0674,     1.00000E+0
   33.9413,             3,       5832.5912,     1.00000E+0
   33.9418,             1,       5831.5609,     1.00000E+0
   33.9423,             1,       5830.5587,     1.00000E+0
   33.9428,             2,       5831.1614,     1.00000E+0
   33.9433,            14,       5830.1369,     1.00000E+0
   33.9438,             2,       5831.4293,     1.00000E+0
   33.9443,             1,       5833.6412,     1.00000E+0
   33.9448,             0,       5834.0538,     1.00000E+0
   33.9453,             1,       5834.5034,     1.00000E+0
   33.9458,            11,       5834.0127,     1.00000E+0
   33.9463,             0,       5835.1958,     1.00000E+0
   33.9468,             0,       5834.2867,     1.00000E+0
   33.9473,             0,       5835.0210,     1.00000E+0
   33.9478,             1,       5833.1659,     1.00000E+0
   33.9483,             4,       5831.5554,     1.00000E+0
   33.9488,             3,       5830.5026,     1.00000E+0
   33.9493,             1,       5828.1585,     1.00000E+0
   33.9498,             1,       5826.2555,     1.00000E+0
   33.9503,            10,       5822.9610,     1.00000E+0
   33.9508,            11,       5821.1913,     1.00000E+0
   33.9513,            12,       5819.3785,     1.00000E+0
   33.9518,            15,       5818.5772,     1.00000E+0
   33.9523,            20,       5817.2709,     1.00000E+0
   33.9528,            40,       5818.7175,     1.00000E+0
   33.9533,            53,       5818.3653,     1.00000E+0
   33.9538,            69,       5818.9093,     1.00000E+0
   33.9543,            94,       5818.6921,     1.00000E+0
   33.9548,           111,       5820.8678,     1.00000E+0
   33.9553,           120,       5818.9834,     1.00000E+0
   33.9558,           132,       5818.9119,     1.00000E+0
   33.9563,           117,       5817.1330,     1.00000E+0
   33.9568,           126,       5815.6618,     1.00000E+0
   33.9573,           125,       5813.5700,     1.00000E+0
   33.9578,           135,       5814.3725,     1.00000E+0
   33.9583,           105,       5810.6980,     1.00000E+0
   33.9588,           130,       5810.4669,     1.00000E+0
   33.9593,           102,       5807.6271,     1.00000E+0
   33.9598,            72,       5805.6089,     1.00000E+0
   33.9603,            79,       5803.0136,     1.00000E+0
   33.9608,            64,       5803.1534,     1.00000E+0
   33.9613,            66,       5800.1044,     1.00000E+0
   33.9618,            37,       5800.1907,     1.00000E+0
   33.9623,            14,       5799.9775,     1.00000E+0
   33.9628,            16,       5798.1883,     1.00000E+0
   33.9633,             5,       5796.6283,     1.00000E+0
   33.9638,             2,       5792.8924,     1.00000E+0
   33.9643,             5,       5792.8224,     1.00000E+0
   33.9648,             4,       5792.4586,     1.00000E+0
   33.9653,             1,       5791.9197,     1.00000E+0
   33.9658,             1,       5792.0874,     1.00000E+0
   33.9663,             3,       5791.2420,     1.00000E+0
   33.9668,             2,       5790.4593,     1.00000E+0
   33.9673,             1,       5789.3315,     1.00000E+0
   33.9678,             1,       5799.9041,     1.00000E+0
   33.9683,             2,       5799.3905,     1.00000E+0
   33.9688,            10,       5798.2246,     1.00000E+0
   33.9693,             5,       5801.4492,     1.00000E+0
   33.9698,             2,       5800.0921,     1.00000E+0
   33.9703,             1,       5798.5993,     1.00000E+0
   33.9708,             1,       5797.7908,     1.00000E+0
   33.9713,             0,       5797.2121,     1.00000E+0
   33.9718,             2,       5796.9923,     1.00000E+0
   33.9723,            18,       5796.4837,     1.00000E+0
   33.9728,             0,       5797.0563,     1.00000E+0
   33.9733,            12,       5797.0104,     1.00000E+0
   33.9738,             2,       5796.8900,     1.00000E+0
   33.9743,             3,       5798.8368,     1.00000E+0
   33.9748,             2,       5799.1806,     1.00000E+0
   33.9753,             0,       5800.1852,     1.00000E+0
   33.9758,             0,       5801.2907,     1.00000E+0
   33.9763,             1,       5802.1054,     1.00000E+0
   33.9768,             1,       5803.0287,     1.00000E+0
   33.9773,             2,       5801.6016,     1.00000E+0
   33.9778,             1,       5800.9130,     1.00000E+0
   33.9783,             2,       5798.8150,     1.00000E+0
   33.9788,             1,       5796.7386,     1.00000E+0
