Si_TEOS_2thome.dat
2025/08/21 11:42:18 - 11:52:43
É∆ : 35.0299 deg
2É∆ : 69.5871 deg
É‘ : 89.6348 deg
É” : 0.0000 deg
Sz : 11.590 mm
Rx : 0.1609 deg
Ry : 0.1356 deg
I0 slit H : 0.20 mm
I0 slit W : 1.00 mm
R1 slit H : 0.20 mm
R1 slit W : 1.00 mm
R2 slit H : 0.20 mm
R2 slit W : 1.00 mm
Scan axis : 2É∆/É∆
Start: 68.5871 deg, End: 70.5871 deg
Step: 0.0100 deg, Time: 1.0 sec
Axis (deg),       I (cts),        I0 (cts),         Atten.
   68.5871,            85,       5583.4984,     1.00000E+0
   68.5971,           104,       5574.6674,     1.00000E+0
   68.6071,            94,       5574.1265,     1.00000E+0
   68.6171,           104,       5570.9081,     1.00000E+0
   68.6271,            90,       5572.0936,     1.00000E+0
   68.6371,           101,       5571.7961,     1.00000E+0
   68.6471,           110,       5571.2918,     1.00000E+0
   68.6571,           126,       5573.3303,     1.00000E+0
   68.6671,           146,       5574.9112,     1.00000E+0
   68.6771,           132,       5576.8159,     1.00000E+0
   68.6871,           123,       5573.6067,     1.00000E+0
   68.6971,           112,       5575.9004,     1.00000E+0
   68.7071,           138,       5575.5150,     1.00000E+0
   68.7171,           133,       5576.5305,     1.00000E+0
   68.7271,           132,       5577.5382,     1.00000E+0
   68.7371,           150,       5578.8051,     1.00000E+0
   68.7471,           133,       5578.3321,     1.00000E+0
   68.7571,           144,       5567.8958,     1.00000E+0
   68.7671,           151,       5565.6805,     1.00000E+0
   68.7771,           147,       5563.4241,     1.00000E+0
   68.7871,           163,       5558.5524,     1.00000E+0
   68.7971,           174,       5557.1408,     1.00000E+0
   68.8071,           186,       5557.6554,     1.00000E+0
   68.8171,           153,       5556.2646,     1.00000E+0
   68.8271,           144,       5560.8040,     1.00000E+0
   68.8371,           155,       5556.2429,     1.00000E+0
   68.8471,           191,       5551.9113,     1.00000E+0
   68.8571,           186,       5548.0687,     1.00000E+0
   68.8671,           169,       5542.8179,     1.00000E+0
   68.8771,           206,       5541.3794,     1.00000E+0
   68.8871,           207,       5541.0013,     1.00000E+0
   68.8971,           236,       5539.7690,     1.00000E+0
   68.9071,           205,       5540.0942,     1.00000E+0
   68.9171,           201,       5540.8208,     1.00000E+0
   68.9271,           212,       5541.7995,     1.00000E+0
   68.9371,           221,       5538.7066,     1.00000E+0
   68.9471,           232,       5539.2861,     1.00000E+0
   68.9571,           250,       5540.6029,     1.00000E+0
   68.9671,           273,       5536.5770,     1.00000E+0
   68.9771,           273,       5535.4796,     1.00000E+0
   68.9871,           246,       5536.0328,     1.00000E+0
   68.9971,           269,       5535.3524,     1.00000E+0
   69.0071,           315,       5534.3812,     1.00000E+0
   69.0171,           287,       5537.0812,     1.00000E+0
   69.0271,           279,       5534.4847,     1.00000E+0
   69.0371,           340,       5536.8601,     1.00000E+0
   69.0471,           331,       5534.4087,     1.00000E+0
   69.0571,           394,       5534.8047,     1.00000E+0
   69.0671,           388,       5532.6114,     1.00000E+0
   69.0771,           380,       5533.1428,     1.00000E+0
   69.0871,           418,       5532.0079,     1.00000E+0
   69.0971,           437,       5535.4036,     1.00000E+0
   69.1071,           477,       5533.8114,     1.00000E+0
   69.1171,           472,       5530.9564,     1.00000E+0
   69.1271,           494,       5533.9148,     1.00000E+0
   69.1371,           536,       5533.7041,     1.00000E+0
   69.1471,           550,       5531.2155,     1.00000E+0
   69.1571,           654,       5531.0646,     1.00000E+0
   69.1671,           675,       5528.0092,     1.00000E+0
   69.1771,           722,       5528.5095,     1.00000E+0
   69.1871,           676,       5526.3038,     1.00000E+0
   69.1971,           807,       5524.6498,     1.00000E+0
   69.2071,           828,       5524.4273,     1.00000E+0
   69.2171,           868,       5524.0651,     1.00000E+0
   69.2271,           927,       5526.2197,     1.00000E+0
   69.2371,          1000,       5526.1679,     1.00000E+0
   69.2471,          1100,       5525.4963,     1.00000E+0
   69.2571,          1157,       5523.5742,     1.00000E+0
   69.2671,          1202,       5521.3586,     1.00000E+0
   69.2771,          1312,       5520.4033,     1.00000E+0
   69.2871,          1404,       5521.5358,     1.00000E+0
   69.2971,          1482,       5522.7721,     1.00000E+0
   69.3071,          1577,       5517.7999,     1.00000E+0
   69.3171,          1730,       5514.7144,     1.00000E+0
   69.3271,          1774,       5514.2863,     1.00000E+0
   69.3371,          1980,       5513.8643,     1.00000E+0
   69.3471,          2111,       5516.1994,     1.00000E+0
   69.3571,          2441,       5515.3398,     1.00000E+0
   69.3671,          2687,       5515.9369,     1.00000E+0
   69.3771,          2808,       5517.1302,     1.00000E+0
   69.3871,          3165,       5514.6492,     1.00000E+0
   69.3971,          3700,       5515.6155,     1.00000E+0
   69.4071,          4078,       5514.9423,     1.00000E+0
   69.4171,          4494,       5513.8226,     1.00000E+0
   69.4271,          5028,       5516.0875,     1.00000E+0
   69.4371,          5712,       5513.0814,     1.00000E+0
   69.4471,          6669,       5513.2682,     1.00000E+0
   69.4571,          7705,       5512.3704,     1.00000E+0
   69.4671,          9033,       5509.7342,     1.00000E+0
   69.4771,         11014,       5509.2522,     1.00000E+0
   69.4871,         13329,       5500.3365,     1.00000E+0
   69.4971,         16412,       5498.5729,     1.00000E+0
   69.5071,         21029,       5496.3877,     1.00000E+0
   69.5171,         27701,       5493.6901,     1.00000E+0
   69.5271,         39140,       5492.1454,     1.00000E+0
   69.5371,         58535,       5491.7681,     1.00000E+0
   69.5471,         96724,       5493.7947,     1.00000E+0
   69.5571,        195979,       5490.8712,     1.00000E+0
   69.5671,        667966,       5490.4169,     1.00000E+0
   69.5771,        753374,       5487.6761,     5.39842E+1
   69.5871,       1794074,       5486.2776,     5.39842E+1
   69.5971,         22532,       5489.4656,     5.39842E+1
   69.6071,        257541,       5491.5829,     1.00000E+0
