Si_Thermo_2thome.dat
2025/08/21 10:35:34 - 10:45:56
É∆ : 34.4591 deg
2É∆ : 69.5889 deg
É‘ : 89.6743 deg
É” : 0.0000 deg
Sz : 11.584 mm
Rx : 0.1609 deg
Ry : 0.1147 deg
I0 slit H : 0.20 mm
I0 slit W : 1.00 mm
R1 slit H : 0.20 mm
R1 slit W : 1.00 mm
R2 slit H : 0.20 mm
R2 slit W : 1.00 mm
Scan axis : 2É∆/É∆
Start: 68.5889 deg, End: 70.5889 deg
Step: 0.0100 deg, Time: 1.0 sec
Axis (deg),       I (cts),        I0 (cts),         Atten.
   68.5889,            23,       6775.2691,     1.00000E+0
   68.5989,            25,       6772.2003,     1.00000E+0
   68.6089,            28,       6774.1293,     1.00000E+0
   68.6189,            20,       6770.4475,     1.00000E+0
   68.6289,            39,       6770.6979,     1.00000E+0
   68.6389,            29,       6768.7585,     1.00000E+0
   68.6489,            32,       6766.7756,     1.00000E+0
   68.6589,            35,       6760.7655,     1.00000E+0
   68.6689,            39,       6760.0957,     1.00000E+0
   68.6789,            38,       6760.8928,     1.00000E+0
   68.6889,            58,       6755.4867,     1.00000E+0
   68.6989,            60,       6751.9170,     1.00000E+0
   68.7089,            40,       6749.5855,     1.00000E+0
   68.7189,            58,       6750.0200,     1.00000E+0
   68.7289,            51,       6749.8267,     1.00000E+0
   68.7389,            54,       6753.2942,     1.00000E+0
   68.7489,            45,       6755.9669,     1.00000E+0
   68.7589,            54,       6754.1772,     1.00000E+0
   68.7689,            69,       6753.1700,     1.00000E+0
   68.7789,            81,       6753.9866,     1.00000E+0
   68.7889,            79,       6750.6497,     1.00000E+0
   68.7989,            74,       6748.7957,     1.00000E+0
   68.8089,            92,       6746.6131,     1.00000E+0
   68.8189,            83,       6746.0385,     1.00000E+0
   68.8289,            78,       6743.6184,     1.00000E+0
   68.8389,            86,       6739.7847,     1.00000E+0
   68.8489,           102,       6742.3892,     1.00000E+0
   68.8589,           105,       6746.1281,     1.00000E+0
   68.8689,           106,       6746.8958,     1.00000E+0
   68.8789,           123,       6747.3063,     1.00000E+0
   68.8889,           131,       6748.8911,     1.00000E+0
   68.8989,           138,       6745.5887,     1.00000E+0
   68.9089,           121,       6743.4043,     1.00000E+0
   68.9189,           155,       6742.8794,     1.00000E+0
   68.9289,           163,       6743.6757,     1.00000E+0
   68.9389,           191,       6744.2346,     1.00000E+0
   68.9489,           177,       6740.1694,     1.00000E+0
   68.9589,           191,       6739.6040,     1.00000E+0
   68.9689,           205,       6737.4185,     1.00000E+0
   68.9789,           245,       6731.9729,     1.00000E+0
   68.9889,           268,       6730.3738,     1.00000E+0
   68.9989,           264,       6729.6234,     1.00000E+0
   69.0089,           265,       6726.7230,     1.00000E+0
   69.0189,           315,       6725.3601,     1.00000E+0
   69.0289,           328,       6725.0362,     1.00000E+0
   69.0389,           340,       6721.2256,     1.00000E+0
   69.0489,           343,       6716.7882,     1.00000E+0
   69.0589,           383,       6716.0190,     1.00000E+0
   69.0689,           406,       6713.8444,     1.00000E+0
   69.0789,           435,       6715.8568,     1.00000E+0
   69.0889,           425,       6715.0974,     1.00000E+0
   69.0989,           446,       6713.6777,     1.00000E+0
   69.1089,           492,       6717.8614,     1.00000E+0
   69.1189,           547,       6719.7843,     1.00000E+0
   69.1289,           518,       6720.2397,     1.00000E+0
   69.1389,           552,       6720.4273,     1.00000E+0
   69.1489,           545,       6723.6939,     1.00000E+0
   69.1589,           637,       6719.6076,     1.00000E+0
   69.1689,           667,       6721.6562,     1.00000E+0
   69.1789,           664,       6719.7410,     1.00000E+0
   69.1889,           736,       6719.3423,     1.00000E+0
   69.1989,           744,       6717.7024,     1.00000E+0
   69.2089,           834,       6710.4787,     1.00000E+0
   69.2189,           871,       6708.6189,     1.00000E+0
   69.2289,           897,       6711.1123,     1.00000E+0
   69.2389,          1028,       6706.8840,     1.00000E+0
   69.2489,          1104,       6701.5837,     1.00000E+0
   69.2589,          1167,       6699.9004,     1.00000E+0
   69.2689,          1299,       6697.2354,     1.00000E+0
   69.2789,          1376,       6694.7746,     1.00000E+0
   69.2889,          1522,       6693.7064,     1.00000E+0
   69.2989,          1568,       6692.4671,     1.00000E+0
   69.3089,          1767,       6691.7014,     1.00000E+0
   69.3189,          1871,       6689.4223,     1.00000E+0
   69.3289,          2028,       6692.0686,     1.00000E+0
   69.3389,          2191,       6692.5439,     1.00000E+0
   69.3489,          2484,       6690.3441,     1.00000E+0
   69.3589,          2698,       6687.7024,     1.00000E+0
   69.3689,          2890,       6688.0026,     1.00000E+0
   69.3789,          3384,       6689.6625,     1.00000E+0
   69.3889,          3609,       6690.1660,     1.00000E+0
   69.3989,          3887,       6686.4363,     1.00000E+0
   69.4089,          4510,       6688.9172,     1.00000E+0
   69.4189,          5104,       6685.4943,     1.00000E+0
   69.4289,          5771,       6685.9982,     1.00000E+0
   69.4389,          6544,       6686.4390,     1.00000E+0
   69.4489,          7555,       6685.5435,     1.00000E+0
   69.4589,          8827,       6685.1686,     1.00000E+0
   69.4689,         10584,       6684.2837,     1.00000E+0
   69.4789,         12781,       6680.5388,     1.00000E+0
   69.4889,         15307,       6682.3725,     1.00000E+0
   69.4989,         19246,       6682.1343,     1.00000E+0
   69.5089,         24825,       6682.9327,     1.00000E+0
   69.5189,         33268,       6685.1693,     1.00000E+0
   69.5289,         46746,       6681.7315,     1.00000E+0
   69.5389,         70446,       6680.3488,     1.00000E+0
   69.5489,        118833,       6679.4854,     1.00000E+0
   69.5589,        244939,       6679.0999,     1.00000E+0
   69.5689,        851508,       6677.2293,     1.00000E+0
   69.5789,       1019241,       6674.2305,     5.39842E+1
   69.5889,       1905465,       6672.3209,     5.39842E+1
   69.5989,         23759,       6667.6478,     5.39842E+1
   69.6089,        290326,       6666.7644,     1.00000E+0
   69.6189,        132317,       6671.2694,     1.00000E+0
   69.6289,         76808,       6670.7214,     1.00000E+0
   69.6389,         50601,       6669.9433,     1.00000E+0
   69.6489,         35621,       6670.4096,     1.00000E+0
   69.6589,         26968,       6666.4520,     1.00000E+0
   69.6689,         20757,       6666.5865,     1.00000E+0
   69.6789,         16552,       6664.6463,     1.00000E+0
   69.6889,         13609,       6662.2714,     1.00000E+0
   69.6989,         11100,       6659.4095,     1.00000E+0
   69.7089,          9389,       6658.7710,     1.00000E+0
   69.7189,          7961,       6656.5180,     1.00000E+0
   69.7289,          6731,       6649.3524,     1.00000E+0
   69.7389,          6138,       6649.3721,     1.00000E+0
   69.7489,          5388,       6645.9713,     1.00000E+0
   69.7589,          4780,       6645.7597,     1.00000E+0
   69.7689,          4265,       6641.8346,     1.00000E+0
   69.7789,          3889,       6640.5852,     1.00000E+0
   69.7889,          3419,       6642.2186,     1.00000E+0
   69.7989,          3074,       6644.9868,     1.00000E+0
   69.8089,          2801,       6644.3373,     1.00000E+0
   69.8189,          2638,       6646.3340,     1.00000E+0
   69.8289,          2388,       6651.2564,     1.00000E+0
   69.8389,          2151,       6647.8220,     1.00000E+0
   69.8489,          2009,       6645.8783,     1.00000E+0
   69.8589,          1910,       6648.0819,     1.00000E+0
   69.8689,          1789,       6645.8218,     1.00000E+0
   69.8789,          1663,       6648.1048,     1.00000E+0
   69.8889,          1591,       6645.6742,     1.00000E+0
   69.8989,          1463,       6644.2391,     1.00000E+0
   69.9089,          1422,       6644.1995,     1.00000E+0
   69.9189,          1300,       6642.9544,     1.00000E+0
   69.9289,          1294,       6642.1699,     1.00000E+0
   69.9389,          1216,       6638.2107,     1.00000E+0
   69.9489,          1165,       6635.5502,     1.00000E+0
   69.9589,          1124,       6633.6406,     1.00000E+0
   69.9689,          1047,       6633.2916,     1.00000E+0
   69.9789,           910,       6631.6325,     1.00000E+0
   69.9889,           874,       6628.8437,     1.00000E+0
   69.9989,           837,       6627.7644,     1.00000E+0
   70.0089,           810,       6628.4189,     1.00000E+0
   70.0189,           717,       6630.6078,     1.00000E+0
   70.0289,           778,       6629.0610,     1.00000E+0
   70.0389,           712,       6630.8235,     1.00000E+0
   70.0489,           682,       6628.3786,     1.00000E+0
   70.0589,           673,       6627.3505,     1.00000E+0
   70.0689,           616,       6625.9433,     1.00000E+0
   70.0789,           589,       6619.7173,     1.00000E+0
   70.0889,           587,       6615.1649,     1.00000E+0
   70.0989,           559,       6612.9980,     1.00000E+0
   70.1089,           537,       6612.4379,     1.00000E+0
   70.1189,           469,       6611.2178,     1.00000E+0
   70.1289,           437,       6611.2299,     1.00000E+0
   70.1389,           435,       6607.8999,     1.00000E+0
   70.1489,           444,       6607.2515,     1.00000E+0
   70.1589,           419,       6613.3170,     1.00000E+0
   70.1689,           370,       6612.3602,     1.00000E+0
   70.1789,           404,       6609.0042,     1.00000E+0
   70.1889,           398,       6606.3178,     1.00000E+0
   70.1989,           345,       6607.5306,     1.00000E+0
   70.2089,           344,       6605.8857,     1.00000E+0
   70.2189,           345,       6609.0301,     1.00000E+0
   70.2289,           323,       6606.8384,     1.00000E+0
   70.2389,           327,       6609.2752,     1.00000E+0
   70.2489,           314,       6605.9061,     1.00000E+0
   70.2589,           297,       6606.4311,     1.00000E+0
   70.2689,           275,       6603.6862,     1.00000E+0
   70.2789,           275,       6604.2198,     1.00000E+0
   70.2889,           259,       6604.6535,     1.00000E+0
   70.2989,           276,       6602.2906,     1.00000E+0
   70.3089,           256,       6601.5964,     1.00000E+0
   70.3189,           255,       6600.3668,     1.00000E+0
   70.3289,           247,       6597.6231,     1.00000E+0
   70.3389,           219,       6595.6286,     1.00000E+0
   70.3489,           208,       6595.2448,     1.00000E+0
   70.3589,           212,       6592.6217,     1.00000E+0
   70.3689,           193,       6590.7742,     1.00000E+0
   70.3789,           213,       6588.6504,     1.00000E+0
   70.3889,           175,       6586.6852,     1.00000E+0
   70.3989,           184,       6585.5843,     1.00000E+0
   70.4089,           177,       6585.4392,     1.00000E+0
   70.4189,           178,       6584.2473,     1.00000E+0
   70.4289,           158,       6580.8403,     1.00000E+0
   70.4389,           167,       6578.3925,     1.00000E+0
   70.4489,           181,       6580.4131,     1.00000E+0
   70.4589,           167,       6578.9444,     1.00000E+0
   70.4689,           146,       6577.3364,     1.00000E+0
   70.4789,           144,       6579.1491,     1.00000E+0
   70.4889,           129,       6579.5939,     1.00000E+0
