Si_Thermo_omega.dat
2025/08/21 10:24:53 - 10:34:20
ƒÆ : 34.4596 deg
2ƒÆ : 69.5889 deg
ƒÔ : 89.6743 deg
ƒÓ : 0.0000 deg
Sz : 11.584 mm
Rx : 0.1609 deg
Ry : 0.1147 deg
I0 slit H : 0.20 mm
I0 slit W : 1.00 mm
R1 slit H : 0.20 mm
R1 slit W : 1.00 mm
R2 slit H : 0.20 mm
R2 slit W : 1.00 mm
Scan axis : ƒÆ
Start: 34.3596 deg, End: 34.5596 deg
Step: 0.0010 deg, Time: 1.0 sec
Axis (deg),       I (cts),        I0 (cts),         Atten.
   34.3596,           171,       6987.0935,     1.00000E+0
   34.3606,           163,       6987.0079,     1.00000E+0
   34.3616,           142,       6985.1786,     1.00000E+0
   34.3626,           153,       6981.8534,     1.00000E+0
   34.3636,           164,       6982.3360,     1.00000E+0
   34.3646,           153,       6980.2144,     1.00000E+0
   34.3656,           171,       6982.5138,     1.00000E+0
   34.3666,           152,       6982.8645,     1.00000E+0
   34.3676,           184,       6985.7567,     1.00000E+0
   34.3686,           173,       6981.1059,     1.00000E+0
   34.3696,           202,       6978.6667,     1.00000E+0
   34.3706,           193,       6978.3063,     1.00000E+0
   34.3716,           199,       6979.6162,     1.00000E+0
   34.3726,           195,       6981.9465,     1.00000E+0
   34.3736,           206,       6979.0439,     1.00000E+0
   34.3746,           195,       6977.7481,     1.00000E+0
   34.3756,           208,       6976.2067,     1.00000E+0
   34.3766,           188,       6973.6458,     1.00000E+0
   34.3776,           209,       6975.2118,     1.00000E+0
   34.3786,           231,       6971.8549,     1.00000E+0
   34.3796,           196,       6971.8624,     1.00000E+0
   34.3806,           232,       6969.9705,     1.00000E+0
   34.3816,           227,       6968.4704,     1.00000E+0
   34.3826,           271,       6969.5742,     1.00000E+0
   34.3836,           237,       6970.2739,     1.00000E+0
   34.3846,           251,       6967.4826,     1.00000E+0
   34.3856,           272,       6969.2489,     1.00000E+0
   34.3866,           267,       6967.8354,     1.00000E+0
   34.3876,           280,       6966.7645,     1.00000E+0
   34.3886,           287,       6962.9679,     1.00000E+0
   34.3896,           324,       6965.2154,     1.00000E+0
   34.3906,           298,       6964.8088,     1.00000E+0
   34.3916,           316,       6964.8908,     1.00000E+0
   34.3926,           337,       6964.7166,     1.00000E+0
   34.3936,           336,       6965.9760,     1.00000E+0
   34.3946,           308,       6963.5169,     1.00000E+0
   34.3956,           347,       6961.1699,     1.00000E+0
   34.3966,           373,       6956.4661,     1.00000E+0
   34.3976,           323,       6958.1305,     1.00000E+0
   34.3986,           381,       6958.8428,     1.00000E+0
   34.3996,           379,       6954.1650,     1.00000E+0
   34.4006,           362,       6952.8556,     1.00000E+0
   34.4016,           365,       6950.0182,     1.00000E+0
   34.4026,           399,       6952.6751,     1.00000E+0
   34.4036,           454,       6949.5482,     1.00000E+0
   34.4046,           451,       6947.7666,     1.00000E+0
   34.4056,           438,       6947.7329,     1.00000E+0
   34.4066,           512,       6946.7943,     1.00000E+0
   34.4076,           516,       6948.7493,     1.00000E+0
   34.4086,           505,       6946.8609,     1.00000E+0
   34.4096,           541,       6944.4888,     1.00000E+0
   34.4106,           546,       6943.4590,     1.00000E+0
   34.4116,           596,       6940.4843,     1.00000E+0
   34.4126,           604,       6942.0645,     1.00000E+0
   34.4136,           608,       6941.4478,     1.00000E+0
   34.4146,           639,       6936.5765,     1.00000E+0
   34.4156,           664,       6935.5203,     1.00000E+0
   34.4166,           735,       6935.2064,     1.00000E+0
   34.4176,           697,       6934.9501,     1.00000E+0
   34.4186,           716,       6931.8018,     1.00000E+0
   34.4196,           732,       6929.0571,     1.00000E+0
   34.4206,           797,       6930.9288,     1.00000E+0
   34.4216,           838,       6929.9627,     1.00000E+0
   34.4226,           829,       6929.4712,     1.00000E+0
   34.4236,           934,       6927.7658,     1.00000E+0
   34.4246,           918,       6926.7022,     1.00000E+0
   34.4256,           984,       6924.2176,     1.00000E+0
   34.4266,          1011,       6923.4779,     1.00000E+0
   34.4276,          1122,       6920.6816,     1.00000E+0
   34.4286,          1076,       6922.0390,     1.00000E+0
   34.4296,          1189,       6920.5978,     1.00000E+0
   34.4306,          1243,       6916.5304,     1.00000E+0
   34.4316,          1304,       6918.8819,     1.00000E+0
   34.4326,          1401,       6921.1765,     1.00000E+0
   34.4336,          1376,       6920.7793,     1.00000E+0
   34.4346,          1522,       6920.2702,     1.00000E+0
   34.4356,          1663,       6922.7645,     1.00000E+0
   34.4366,          1883,       6921.5712,     1.00000E+0
   34.4376,          2095,       6919.7212,     1.00000E+0
   34.4386,          2592,       6919.6290,     1.00000E+0
   34.4396,          2854,       6917.1382,     1.00000E+0
   34.4406,          3590,       6916.7436,     1.00000E+0
   34.4416,          4283,       6915.1172,     1.00000E+0
   34.4426,          4836,       6912.7610,     1.00000E+0
   34.4436,          6185,       6911.5959,     1.00000E+0
   34.4446,          7052,       6908.3380,     1.00000E+0
   34.4456,          8733,       6908.4745,     1.00000E+0
   34.4466,         10976,       6904.0943,     1.00000E+0
   34.4476,         13497,       6902.7736,     1.00000E+0
   34.4486,         17018,       6902.9526,     1.00000E+0
   34.4496,         22571,       6903.0498,     1.00000E+0
   34.4506,         31629,       6903.5664,     1.00000E+0
   34.4516,         54881,       6903.7767,     1.00000E+0
   34.4526,        171138,       6899.6465,     1.00000E+0
   34.4536,       1008557,       6898.5286,     1.00000E+0
   34.4546,       5978135,       6899.2921,     1.00000E+0
   34.4556,        427921,       6898.4907,     5.39842E+1
   34.4566,       1147867,       6896.1039,     5.39842E+1
   34.4576,       2094728,       6894.6881,     5.39842E+1
   34.4586,         57897,       6892.9614,     2.40044E+3
   34.4596,         58901,       6891.7400,     2.40044E+3
   34.4606,         47006,       6895.0577,     2.40044E+3
   34.4616,         26095,       6896.4499,     2.40044E+3
   34.4626,          8283,       6894.1300,     2.40044E+3
   34.4636,         85000,       6890.8584,     5.39842E+1
   34.4646,         24549,       6892.2778,     5.39842E+1
   34.4656,        349646,       6893.3508,     1.00000E+0
   34.4666,        180507,       6889.8310,     1.00000E+0
   34.4676,        126712,       6885.3133,     1.00000E+0
   34.4686,         98095,       6883.2226,     1.00000E+0
   34.4696,         77863,       6881.7158,     1.00000E+0
   34.4706,         64445,       6873.9723,     1.00000E+0
   34.4716,         53640,       6875.0359,     1.00000E+0
   34.4726,         45482,       6870.1780,     1.00000E+0
   34.4736,         38606,       6871.3929,     1.00000E+0
   34.4746,         33873,       6871.4702,     1.00000E+0
   34.4756,         29443,       6866.4245,     1.00000E+0
   34.4766,         25787,       6863.7105,     1.00000E+0
   34.4776,         22738,       6868.7115,     1.00000E+0
   34.4786,         20210,       6870.7208,     1.00000E+0
   34.4796,         18149,       6868.2434,     1.00000E+0
   34.4806,         16283,       6868.9442,     1.00000E+0
   34.4816,         14845,       6873.1860,     1.00000E+0
   34.4826,         13542,       6870.5318,     1.00000E+0
   34.4836,         11981,       6871.4694,     1.00000E+0
   34.4846,         10607,       6870.0931,     1.00000E+0
   34.4856,          9343,       6873.7017,     1.00000E+0
   34.4866,          8093,       6872.0146,     1.00000E+0
   34.4876,          7041,       6870.9565,     1.00000E+0
   34.4886,          5920,       6868.8281,     1.00000E+0
