Si_Thermo_omega_BG.dat
2025/08/21 10:51:47 - 10:54:35
ƒÆ : 33.9592 deg
2ƒÆ : 68.5890 deg
ƒÔ : 89.6743 deg
ƒÓ : 0.0000 deg
Sz : 11.584 mm
Rx : 0.1609 deg
Ry : 0.1147 deg
I0 slit H : 0.20 mm
I0 slit W : 1.00 mm
R1 slit H : 0.20 mm
R1 slit W : 1.00 mm
R2 slit H : 0.20 mm
R2 slit W : 1.00 mm
Scan axis : ƒÆ
Start: 33.9392 deg, End: 33.9792 deg
Step: 0.0005 deg, Time: 1.0 sec
Axis (deg),       I (cts),        I0 (cts),         Atten.
   33.9392,             3,       6456.3683,     1.00000E+0
   33.9397,             4,       6452.4799,     1.00000E+0
   33.9402,             3,       6451.2799,     1.00000E+0
   33.9407,             4,       6450.7167,     1.00000E+0
   33.9412,             1,       6447.4008,     1.00000E+0
   33.9417,             3,       6446.1609,     1.00000E+0
   33.9422,             1,       6443.2007,     1.00000E+0
   33.9427,             0,       6445.8737,     1.00000E+0
   33.9432,             3,       6446.1139,     1.00000E+0
   33.9437,             3,       6442.1837,     1.00000E+0
   33.9442,             8,       6442.1740,     1.00000E+0
   33.9447,             6,       6443.2658,     1.00000E+0
   33.9452,            18,       6440.8718,     1.00000E+0
   33.9457,            22,       6442.8092,     1.00000E+0
   33.9462,            57,       6441.5611,     1.00000E+0
   33.9467,            57,       6441.2227,     1.00000E+0
   33.9472,            58,       6443.4986,     1.00000E+0
   33.9477,            93,       6441.2117,     1.00000E+0
   33.9482,           110,       6441.6015,     1.00000E+0
   33.9487,           125,       6440.6816,     1.00000E+0
   33.9492,           135,       6441.0518,     1.00000E+0
   33.9497,           160,       6441.7245,     1.00000E+0
   33.9502,           139,       6440.9154,     1.00000E+0
   33.9507,           133,       6441.9678,     1.00000E+0
   33.9512,           137,       6438.8173,     1.00000E+0
   33.9517,           140,       6436.4729,     1.00000E+0
   33.9522,           123,       6435.6459,     1.00000E+0
   33.9527,           122,       6434.2883,     1.00000E+0
   33.9532,           137,       6435.3343,     1.00000E+0
   33.9537,           106,       6429.3042,     1.00000E+0
   33.9542,            85,       6426.5602,     1.00000E+0
   33.9547,            85,       6425.5948,     1.00000E+0
   33.9552,            51,       6425.9900,     1.00000E+0
   33.9557,            40,       6422.8273,     1.00000E+0
   33.9562,            28,       6422.8824,     1.00000E+0
   33.9567,            42,       6423.0258,     1.00000E+0
   33.9572,             8,       6424.0538,     1.00000E+0
   33.9577,             3,       6422.5081,     1.00000E+0
   33.9582,             2,       6422.6570,     1.00000E+0
   33.9587,             4,       6427.3290,     1.00000E+0
   33.9592,             4,       6427.1769,     1.00000E+0
   33.9597,             5,       6428.2796,     1.00000E+0
   33.9602,             0,       6426.0293,     1.00000E+0
   33.9607,             3,       6426.8286,     1.00000E+0
   33.9612,            21,       6428.7910,     1.00000E+0
   33.9617,             1,       6426.7472,     1.00000E+0
   33.9622,             2,       6425.8588,     1.00000E+0
   33.9627,             3,       6426.3358,     1.00000E+0
   33.9632,             1,       6424.9045,     1.00000E+0
   33.9637,             1,       6422.5180,     1.00000E+0
   33.9642,             1,       6423.7958,     1.00000E+0
   33.9647,             1,       6423.7351,     1.00000E+0
   33.9652,             1,       6423.7146,     1.00000E+0
   33.9657,             1,       6423.3586,     1.00000E+0
   33.9662,             6,       6420.5275,     1.00000E+0
   33.9667,             2,       6418.6816,     1.00000E+0
   33.9672,             2,       6416.4314,     1.00000E+0
   33.9677,             0,       6414.3491,     1.00000E+0
   33.9682,             2,       6414.7028,     1.00000E+0
   33.9687,             1,       6408.3149,     1.00000E+0
   33.9692,             2,       6410.5141,     1.00000E+0
   33.9697,             2,       6408.6083,     1.00000E+0
   33.9702,             1,       6408.6423,     1.00000E+0
   33.9707,             3,       6407.0643,     1.00000E+0
   33.9712,             1,       6405.3360,     1.00000E+0
   33.9717,             1,       6403.1137,     1.00000E+0
   33.9722,             8,       6401.6452,     1.00000E+0
   33.9727,             2,       6402.0432,     1.00000E+0
   33.9732,             1,       6400.3084,     1.00000E+0
   33.9737,             1,       6400.9708,     1.00000E+0
   33.9742,             1,       6403.8605,     1.00000E+0
   33.9747,             4,       6401.0933,     1.00000E+0
   33.9752,             0,       6401.0156,     1.00000E+0
   33.9757,             5,       6401.3090,     1.00000E+0
   33.9762,             9,       6405.0055,     1.00000E+0
   33.9767,             1,       6402.1359,     1.00000E+0
   33.9772,             1,       6402.3763,     1.00000E+0
   33.9777,             3,       6401.6809,     1.00000E+0
   33.9782,             3,       6402.9425,     1.00000E+0
   33.9787,             2,       6399.6955,     1.00000E+0
   33.9792,             0,       6400.4179,     1.00000E+0
