TEOS.dat
2025/08/22 12:04:28 - 12:14:21
ƒÆ : 35.0340 deg
2ƒÆ : 69.5874 deg
ƒÔ : 89.6025 deg
ƒÓ : 0.0000 deg
Sz : 11.596 mm
Rx : 0.1678 deg
Ry : 0.1328 deg
I0 slit H : 0.20 mm
I0 slit W : 1.00 mm
R1 slit H : 20.00 mm
R1 slit W : 20.00 mm
R2 slit H : 20.00 mm
R2 slit W : 20.00 mm
Scan axis : ƒÆ
Start: 34.5340 deg, End: 35.5340 deg
Step: 0.0050 deg, Time: 1.0 sec
Axis (deg),       I (cts),        I0 (cts),         Atten.
   34.5340,          7013,       5515.5343,     1.00000E+0
   34.5390,          7049,       5512.1733,     1.00000E+0
   34.5440,          7146,       5505.9911,     1.00000E+0
   34.5490,          7076,       5505.6652,     1.00000E+0
   34.5540,          7121,       5502.3567,     1.00000E+0
   34.5590,          7184,       5502.6077,     1.00000E+0
   34.5640,          7423,       5501.4100,     1.00000E+0
   34.5690,          7311,       5500.1075,     1.00000E+0
   34.5740,          7599,       5499.0430,     1.00000E+0
   34.5790,          7529,       5504.0321,     1.00000E+0
   34.5840,          7627,       5504.6628,     1.00000E+0
   34.5890,          7603,       5508.9889,     1.00000E+0
   34.5940,          8013,       5508.4612,     1.00000E+0
   34.5990,          7870,       5507.1324,     1.00000E+0
   34.6040,          7994,       5508.1112,     1.00000E+0
   34.6090,          8105,       5503.7195,     1.00000E+0
   34.6140,          8292,       5499.0110,     1.00000E+0
   34.6190,          8605,       5495.2970,     1.00000E+0
   34.6240,          8480,       5490.5205,     1.00000E+0
   34.6290,          8611,       5487.0628,     1.00000E+0
   34.6340,          8803,       5482.1246,     1.00000E+0
   34.6390,          8868,       5479.2304,     1.00000E+0
   34.6440,          8817,       5481.2557,     1.00000E+0
   34.6490,          9009,       5478.7595,     1.00000E+0
   34.6540,          9015,       5489.2275,     1.00000E+0
   34.6590,          9108,       5487.8339,     1.00000E+0
   34.6640,          9392,       5486.9776,     1.00000E+0
   34.6690,          9589,       5496.5326,     1.00000E+0
   34.6740,          9592,       5497.4253,     1.00000E+0
   34.6790,          9652,       5497.2646,     1.00000E+0
   34.6840,          9802,       5496.2473,     1.00000E+0
   34.6890,          9879,       5497.5241,     1.00000E+0
   34.6940,         10109,       5497.3820,     1.00000E+0
   34.6990,         10284,       5492.5169,     1.00000E+0
   34.7040,         10435,       5489.1285,     1.00000E+0
   34.7090,         10602,       5487.3979,     1.00000E+0
   34.7140,         10774,       5483.3931,     1.00000E+0
   34.7190,         10982,       5483.1253,     1.00000E+0
   34.7240,         11027,       5480.9455,     1.00000E+0
   34.7290,         11415,       5477.7588,     1.00000E+0
   34.7340,         11262,       5478.1951,     1.00000E+0
   34.7390,         11665,       5479.4885,     1.00000E+0
   34.7440,         11855,       5480.6760,     1.00000E+0
   34.7490,         11957,       5478.1821,     1.00000E+0
   34.7540,         12188,       5476.6337,     1.00000E+0
   34.7590,         12467,       5481.5512,     1.00000E+0
   34.7640,         12713,       5485.7367,     1.00000E+0
   34.7690,         12862,       5481.8160,     1.00000E+0
   34.7740,         13092,       5483.2565,     1.00000E+0
   34.7790,         13341,       5482.0973,     1.00000E+0
   34.7840,         13343,       5477.7384,     1.00000E+0
   34.7890,         13615,       5482.2838,     1.00000E+0
   34.7940,         13835,       5478.6565,     1.00000E+0
   34.7990,         13940,       5474.8696,     1.00000E+0
   34.8040,         14438,       5483.4041,     1.00000E+0
   34.8090,         14555,       5482.2304,     1.00000E+0
   34.8140,         14721,       5482.3514,     1.00000E+0
   34.8190,         15251,       5483.5456,     1.00000E+0
   34.8240,         15604,       5481.0640,     1.00000E+0
   34.8290,         15661,       5474.7046,     1.00000E+0
   34.8340,         16030,       5473.5243,     1.00000E+0
   34.8390,         16267,       5461.3379,     1.00000E+0
   34.8440,         16520,       5454.4094,     1.00000E+0
   34.8490,         16969,       5449.9146,     1.00000E+0
   34.8540,         17308,       5450.3642,     1.00000E+0
   34.8590,         17495,       5453.0158,     1.00000E+0
   34.8640,         18079,       5456.8616,     1.00000E+0
   34.8690,         18314,       5452.4364,     1.00000E+0
   34.8740,         18875,       5463.5148,     1.00000E+0
   34.8790,         19331,       5456.3357,     1.00000E+0
   34.8840,         19973,       5457.4438,     1.00000E+0
   34.8890,         20386,       5455.2693,     1.00000E+0
   34.8940,         20874,       5452.8869,     1.00000E+0
   34.8990,         21215,       5453.9848,     1.00000E+0
   34.9040,         22070,       5451.9296,     1.00000E+0
   34.9090,         22327,       5454.7804,     1.00000E+0
   34.9140,         22962,       5460.9188,     1.00000E+0
   34.9190,         23412,       5463.4451,     1.00000E+0
   34.9240,         24281,       5466.3754,     1.00000E+0
   34.9290,         24976,       5463.4656,     1.00000E+0
   34.9340,         25534,       5461.7254,     1.00000E+0
   34.9390,         26516,       5462.2006,     1.00000E+0
   34.9440,         27488,       5463.4847,     1.00000E+0
   34.9490,         28727,       5465.2277,     1.00000E+0
   34.9540,         29409,       5462.7127,     1.00000E+0
   34.9590,         30975,       5463.3880,     1.00000E+0
   34.9640,         32446,       5467.9933,     1.00000E+0
   34.9690,         34400,       5467.3025,     1.00000E+0
   34.9740,         36555,       5465.5425,     1.00000E+0
   34.9790,         39019,       5461.4898,     1.00000E+0
   34.9840,         42518,       5462.0692,     1.00000E+0
   34.9890,         46517,       5461.6286,     1.00000E+0
   34.9940,         51484,       5457.6641,     1.00000E+0
   34.9990,         59947,       5452.1048,     1.00000E+0
   35.0040,         71843,       5449.7947,     1.00000E+0
   35.0090,         90489,       5451.5933,     1.00000E+0
   35.0140,        126067,       5449.3302,     1.00000E+0
   35.0190,        206926,       5444.6043,     1.00000E+0
   35.0240,        469003,       5440.7197,     1.00000E+0
   35.0290,        101053,       5440.2363,     5.39842E+1
   35.0340,       2425344,       5437.5643,     5.39842E+1
   35.0390,        101522,       5436.6040,     5.39842E+1
   35.0440,        583982,       5436.1604,     1.00000E+0
   35.0490,        243659,       5437.8877,     1.00000E+0
   35.0540,        141094,       5432.7417,     1.00000E+0
   35.0590,         97829,       5434.5607,     1.00000E+0
   35.0640,         75060,       5438.1798,     1.00000E+0
   35.0690,         61132,       5438.0413,     1.00000E+0
   35.0740,         52302,       5439.8976,     1.00000E+0
   35.0790,         46377,       5442.6967,     1.00000E+0
   35.0840,         42034,       5441.6854,     1.00000E+0
   35.0890,         38804,       5442.5492,     1.00000E+0
   35.0940,         36186,       5441.6155,     1.00000E+0
   35.0990,         33757,       5439.1477,     1.00000E+0
   35.1040,         32265,       5437.7074,     1.00000E+0
   35.1090,         30551,       5432.7085,     1.00000E+0
   35.1140,         29419,       5432.6240,     1.00000E+0
   35.1190,         28045,       5430.7771,     1.00000E+0
   35.1240,         26987,       5427.5831,     1.00000E+0
   35.1290,         26436,       5428.6836,     1.00000E+0
   35.1340,         25936,       5429.1547,     1.00000E+0
   35.1390,         24513,       5423.3456,     1.00000E+0
   35.1440,         24333,       5428.1236,     1.00000E+0
   35.1490,         23532,       5427.3610,     1.00000E+0
   35.1540,         23145,       5427.9387,     1.00000E+0
   35.1590,         22089,       5427.8503,     1.00000E+0
   35.1640,         21814,       5424.5753,     1.00000E+0
   35.1690,         21277,       5426.5514,     1.00000E+0
   35.1740,         20926,       5424.9520,     1.00000E+0
   35.1790,         20260,       5426.2339,     1.00000E+0
   35.1840,         19843,       5423.0620,     1.00000E+0
   35.1890,         19480,       5416.5766,     1.00000E+0
   35.1940,         18945,       5414.9546,     1.00000E+0
   35.1990,         18618,       5413.4310,     1.00000E+0
   35.2040,         18357,       5415.6639,     1.00000E+0
   35.2090,         17903,       5416.4391,     1.00000E+0
   35.2140,         17738,       5416.9081,     1.00000E+0
   35.2190,         17399,       5419.2542,     1.00000E+0
   35.2240,         16919,       5429.3455,     1.00000E+0
   35.2290,         16590,       5428.1713,     1.00000E+0
   35.2340,         16406,       5430.5340,     1.00000E+0
   35.2390,         15926,       5431.6193,     1.00000E+0
   35.2440,         15810,       5429.5487,     1.00000E+0
   35.2490,         15262,       5427.7061,     1.00000E+0
   35.2540,         15224,       5428.6283,     1.00000E+0
   35.2590,         15069,       5424.3486,     1.00000E+0
   35.2640,         14857,       5421.1253,     1.00000E+0
   35.2690,         14595,       5417.5323,     1.00000E+0
   35.2740,         14398,       5415.0995,     1.00000E+0
   35.2790,         14099,       5413.3039,     1.00000E+0
   35.2840,         13954,       5411.6450,     1.00000E+0
   35.2890,         13743,       5406.9396,     1.00000E+0
   35.2940,         13482,       5404.7922,     1.00000E+0
   35.2990,         13130,       5404.2239,     1.00000E+0
   35.3040,         12913,       5401.7823,     1.00000E+0
   35.3090,         12899,       5397.7153,     1.00000E+0
   35.3140,         12622,       5399.2280,     1.00000E+0
   35.3190,         12300,       5400.2022,     1.00000E+0
   35.3240,         12333,       5401.0370,     1.00000E+0
   35.3290,         12077,       5399.7709,     1.00000E+0
   35.3340,         12120,       5397.2658,     1.00000E+0
   35.3390,         11921,       5396.1451,     1.00000E+0
   35.3440,         11591,       5393.7570,     1.00000E+0
   35.3490,         11508,       5392.4827,     1.00000E+0
   35.3540,         11317,       5394.1474,     1.00000E+0
   35.3590,         10217,       5393.3365,     1.00000E+0
   35.3640,         10031,       5391.1062,     1.00000E+0
   35.3690,          9867,       5392.0407,     1.00000E+0
   35.3740,          9800,       5387.6566,     1.00000E+0
   35.3790,          9845,       5390.2337,     1.00000E+0
