Thermo_220.dat
2025/08/22 15:24:41 - 15:34:38
ƒÆ : 23.7999 deg
2ƒÆ : 47.5872 deg
ƒÔ : 44.6348 deg
ƒÓ : 4.0698 deg
Sz : 11.602 mm
Rx : 0.0679 deg
Ry : -0.1178 deg
I0 slit H : 0.20 mm
I0 slit W : 1.00 mm
R1 slit H : 20.00 mm
R1 slit W : 20.00 mm
R2 slit H : 20.00 mm
R2 slit W : 20.00 mm
Scan axis : ƒÆ
Start: 23.2999 deg, End: 24.2999 deg
Step: 0.0050 deg, Time: 1.0 sec
Axis (deg),       I (cts),        I0 (cts),         Atten.
   23.2999,          4077,       3589.4210,     1.00000E+0
   23.3049,          4360,       3586.0854,     1.00000E+0
   23.3099,          4283,       3578.2954,     1.00000E+0
   23.3149,          4300,       3577.0805,     1.00000E+0
   23.3199,          4306,       3578.0565,     1.00000E+0
   23.3249,          4389,       3577.1441,     1.00000E+0
   23.3299,          4372,       3574.6204,     1.00000E+0
   23.3349,          4309,       3576.2948,     1.00000E+0
   23.3399,          4399,       3576.0691,     1.00000E+0
   23.3449,          4568,       3574.0334,     1.00000E+0
   23.3499,          4585,       3570.6032,     1.00000E+0
   23.3549,          4625,       3571.6342,     1.00000E+0
   23.3599,          4656,       3568.7250,     1.00000E+0
   23.3649,          4586,       3568.6408,     1.00000E+0
   23.3699,          4721,       3572.4932,     1.00000E+0
   23.3749,          4911,       3572.4450,     1.00000E+0
   23.3799,          4815,       3572.0286,     1.00000E+0
   23.3849,          4968,       3572.3476,     1.00000E+0
   23.3899,          4974,       3573.7292,     1.00000E+0
   23.3949,          5059,       3575.2083,     1.00000E+0
   23.3999,          5346,       3573.1868,     1.00000E+0
   23.4049,          5271,       3568.2599,     1.00000E+0
   23.4099,          5349,       3568.5878,     1.00000E+0
   23.4149,          5361,       3566.9264,     1.00000E+0
   23.4199,          5312,       3563.6267,     1.00000E+0
   23.4249,          5558,       3562.6335,     1.00000E+0
   23.4299,          5500,       3560.8834,     1.00000E+0
   23.4349,          5652,       3559.7026,     1.00000E+0
   23.4399,          5507,       3558.7720,     1.00000E+0
   23.4449,          5737,       3558.8213,     1.00000E+0
   23.4499,          5664,       3562.9200,     1.00000E+0
   23.4549,          5825,       3563.4818,     1.00000E+0
   23.4599,          5884,       3569.0269,     1.00000E+0
   23.4649,          6021,       3571.5121,     1.00000E+0
   23.4699,          6076,       3571.9085,     1.00000E+0
   23.4749,          6251,       3570.9578,     1.00000E+0
   23.4799,          6260,       3570.6401,     1.00000E+0
   23.4849,          6270,       3568.0225,     1.00000E+0
   23.4899,          6288,       3567.4502,     1.00000E+0
   23.4949,          6527,       3564.8662,     1.00000E+0
