Thermo.dat
2025/08/22 10:50:03 - 10:59:50
ƒÆ : 35.1065 deg
2ƒÆ : 69.5878 deg
ƒÔ : 89.6475 deg
ƒÓ : 0.0000 deg
Sz : 11.592 mm
Rx : 0.0643 deg
Ry : -0.1234 deg
I0 slit H : 0.20 mm
I0 slit W : 1.00 mm
R1 slit H : 20.00 mm
R1 slit W : 20.00 mm
R2 slit H : 20.00 mm
R2 slit W : 20.00 mm
Scan axis : ƒÆ
Start: 34.6065 deg, End: 35.6065 deg
Step: 0.0050 deg, Time: 1.0 sec
Axis (deg),       I (cts),        I0 (cts),         Atten.
   34.6065,          8132,       6634.2177,     1.00000E+0
   34.6115,          8211,       6636.9084,     1.00000E+0
   34.6165,          8823,       6635.9562,     1.00000E+0
   34.6215,          8595,       6638.2330,     1.00000E+0
   34.6265,          8554,       6634.4981,     1.00000E+0
   34.6315,          8560,       6633.5423,     1.00000E+0
   34.6365,          8796,       6626.2285,     1.00000E+0
   34.6415,          8729,       6626.8969,     1.00000E+0
   34.6465,          8885,       6622.7178,     1.00000E+0
   34.6515,          8896,       6619.4835,     1.00000E+0
   34.6565,          8965,       6621.9110,     1.00000E+0
   34.6615,          9225,       6623.5078,     1.00000E+0
   34.6665,          9340,       6617.8152,     1.00000E+0
   34.6715,          9271,       6620.4630,     1.00000E+0
   34.6765,          9346,       6624.1016,     1.00000E+0
   34.6815,          9647,       6624.1789,     1.00000E+0
   34.6865,          9958,       6626.4656,     1.00000E+0
   34.6915,         10035,       6625.3827,     1.00000E+0
   34.6965,         10195,       6626.8251,     1.00000E+0
   34.7015,         10214,       6628.0516,     1.00000E+0
   34.7065,         10402,       6625.0519,     1.00000E+0
   34.7115,         10331,       6624.8191,     1.00000E+0
   34.7165,         10660,       6619.1188,     1.00000E+0
   34.7215,         10679,       6607.0760,     1.00000E+0
   34.7265,         10817,       6608.6349,     1.00000E+0
   34.7315,         10875,       6601.8408,     1.00000E+0
   34.7365,         11059,       6601.2840,     1.00000E+0
   34.7415,         11023,       6601.8460,     1.00000E+0
   34.7465,         11479,       6599.8498,     1.00000E+0
   34.7515,         11609,       6606.3711,     1.00000E+0
   34.7565,         11787,       6605.0139,     1.00000E+0
   34.7615,         12028,       6607.7945,     1.00000E+0
   34.7665,         12178,       6610.0004,     1.00000E+0
   34.7715,         12396,       6606.8003,     1.00000E+0
   34.7765,         12828,       6599.8405,     1.00000E+0
   34.7815,         12690,       6600.2065,     1.00000E+0
   34.7865,         12893,       6598.7610,     1.00000E+0
   34.7915,         13088,       6595.1666,     1.00000E+0
   34.7965,         13099,       6597.1379,     1.00000E+0
   34.8015,         13633,       6595.3645,     1.00000E+0
   34.8065,         13729,       6595.7557,     1.00000E+0
   34.8115,         14227,       6596.2964,     1.00000E+0
   34.8165,         14283,       6595.3648,     1.00000E+0
   34.8215,         14373,       6600.0981,     1.00000E+0
   34.8265,         14351,       6594.9912,     1.00000E+0
   34.8315,         14764,       6594.0273,     1.00000E+0
   34.8365,         15097,       6593.2579,     1.00000E+0
   34.8415,         15270,       6594.9686,     1.00000E+0
   34.8465,         15178,       6594.0901,     1.00000E+0
   34.8515,         15602,       6592.8161,     1.00000E+0
   34.8565,         15778,       6590.4102,     1.00000E+0
   34.8615,         16285,       6591.1923,     1.00000E+0
   34.8665,         16534,       6588.7535,     1.00000E+0
   34.8715,         16946,       6589.6855,     1.00000E+0
   34.8765,         16985,       6588.9345,     1.00000E+0
   34.8815,         17471,       6590.9545,     1.00000E+0
   34.8865,         17922,       6588.4375,     1.00000E+0
   34.8915,         17836,       6584.1280,     1.00000E+0
   34.8965,         18471,       6584.3297,     1.00000E+0
   34.9015,         18577,       6585.2956,     1.00000E+0
   34.9065,         19205,       6584.6046,     1.00000E+0
   34.9115,         19331,       6580.1276,     1.00000E+0
   34.9165,         19748,       6581.2233,     1.00000E+0
   34.9215,         20173,       6577.6876,     1.00000E+0
   34.9265,         20334,       6569.4896,     1.00000E+0
   34.9315,         20814,       6571.0017,     1.00000E+0
   34.9365,         21384,       6571.3199,     1.00000E+0
   34.9415,         22093,       6568.2249,     1.00000E+0
   34.9465,         22311,       6565.2376,     1.00000E+0
   34.9515,         22840,       6561.7756,     1.00000E+0
   34.9565,         23485,       6564.7322,     1.00000E+0
   34.9615,         23918,       6564.6830,     1.00000E+0
   34.9665,         24532,       6582.5885,     1.00000E+0
   34.9715,         25018,       6582.8343,     1.00000E+0
   34.9765,         25555,       6585.7931,     1.00000E+0
   34.9815,         26231,       6584.4726,     1.00000E+0
   34.9865,         27108,       6584.7192,     1.00000E+0
   34.9915,         27902,       6579.8816,     1.00000E+0
   34.9965,         28653,       6582.4517,     1.00000E+0
   35.0015,         29577,       6581.7461,     1.00000E+0
   35.0065,         30214,       6575.4869,     1.00000E+0
   35.0115,         31408,       6571.6661,     1.00000E+0
   35.0165,         32575,       6567.6342,     1.00000E+0
   35.0215,         33539,       6568.4986,     1.00000E+0
   35.0265,         35209,       6565.4854,     1.00000E+0
   35.0315,         36715,       6565.9117,     1.00000E+0
   35.0365,         38622,       6562.6326,     1.00000E+0
   35.0415,         40533,       6562.0560,     1.00000E+0
   35.0465,         43480,       6565.1954,     1.00000E+0
   35.0515,         46663,       6561.0391,     1.00000E+0
   35.0565,         50302,       6559.3314,     1.00000E+0
   35.0615,         55619,       6557.9972,     1.00000E+0
   35.0665,         62741,       6557.0025,     1.00000E+0
   35.0715,         72042,       6554.6369,     1.00000E+0
   35.0765,         87530,       6550.0442,     1.00000E+0
   35.0815,        111334,       6550.6084,     1.00000E+0
   35.0865,        157023,       6551.8306,     1.00000E+0
   35.0915,        261022,       6549.6533,     1.00000E+0
   35.0965,        615556,       6546.4001,     1.00000E+0
   35.1015,        158932,       6547.9620,     5.39842E+1
   35.1065,       2748709,       6549.9358,     5.39842E+1
   35.1115,        101981,       6547.7770,     5.39842E+1
   35.1165,        629962,       6547.7992,     1.00000E+0
   35.1215,        270827,       6551.4374,     1.00000E+0
   35.1265,        160865,       6551.0750,     1.00000E+0
   35.1315,        114128,       6547.7603,     1.00000E+0
   35.1365,         88130,       6551.1410,     1.00000E+0
   35.1415,         72783,       6552.6299,     1.00000E+0
   35.1465,         62490,       6548.8796,     1.00000E+0
   35.1515,         55393,       6549.8730,     1.00000E+0
   35.1565,         50158,       6545.5375,     1.00000E+0
   35.1615,         46022,       6545.9266,     1.00000E+0
   35.1665,         42782,       6540.8973,     1.00000E+0
   35.1715,         39798,       6542.0231,     1.00000E+0
   35.1765,         37971,       6540.9295,     1.00000E+0
   35.1815,         36084,       6542.4453,     1.00000E+0
   35.1865,         34728,       6541.5166,     1.00000E+0
   35.1915,         33589,       6535.9395,     1.00000E+0
   35.1965,         32290,       6535.5960,     1.00000E+0
   35.2015,         31228,       6535.3728,     1.00000E+0
   35.2065,         29911,       6534.8879,     1.00000E+0
   35.2115,         29544,       6534.8127,     1.00000E+0
   35.2165,         28685,       6531.2688,     1.00000E+0
   35.2215,         28073,       6530.6783,     1.00000E+0
   35.2265,         26898,       6529.2722,     1.00000E+0
   35.2315,         26443,       6529.2010,     1.00000E+0
   35.2365,         25594,       6528.2725,     1.00000E+0
   35.2415,         25131,       6525.1123,     1.00000E+0
   35.2465,         24405,       6524.7140,     1.00000E+0
   35.2515,         24323,       6518.6088,     1.00000E+0
   35.2565,         23620,       6518.6887,     1.00000E+0
   35.2615,         22950,       6516.2738,     1.00000E+0
   35.2665,         22484,       6515.6154,     1.00000E+0
   35.2715,         22172,       6518.3533,     1.00000E+0
   35.2765,         21768,       6515.1991,     1.00000E+0
   35.2815,         21229,       6509.8674,     1.00000E+0
   35.2865,         20776,       6510.9623,     1.00000E+0
   35.2915,         20416,       6510.1171,     1.00000E+0
   35.2965,         19917,       6508.0176,     1.00000E+0
   35.3015,         19817,       6507.1436,     1.00000E+0
   35.3065,         19441,       6508.0567,     1.00000E+0
   35.3115,         18873,       6509.2672,     1.00000E+0
   35.3165,         18752,       6509.4539,     1.00000E+0
   35.3215,         18534,       6508.5776,     1.00000E+0
   35.3265,         18241,       6508.8496,     1.00000E+0
   35.3315,         18095,       6514.7850,     1.00000E+0
   35.3365,         17445,       6516.4857,     1.00000E+0
   35.3415,         17276,       6516.1386,     1.00000E+0
   35.3465,         17024,       6515.2345,     1.00000E+0
   35.3515,         16604,       6516.1322,     1.00000E+0
   35.3565,         16436,       6511.2169,     1.00000E+0
