Si_RoughTEOS_2thome.dat
2025/08/21 12:40:00 - 12:50:27
É∆ : 34.8634 deg
2É∆ : 69.5822 deg
É‘ : 90.1731 deg
É” : 0.0000 deg
Sz : 11.606 mm
Rx : 0.1609 deg
Ry : 0.2883 deg
I0 slit H : 0.20 mm
I0 slit W : 1.00 mm
R1 slit H : 0.20 mm
R1 slit W : 1.00 mm
R2 slit H : 0.20 mm
R2 slit W : 1.00 mm
Scan axis : 2É∆/É∆
Start: 68.5822 deg, End: 70.5822 deg
Step: 0.0100 deg, Time: 1.0 sec
Axis (deg),       I (cts),        I0 (cts),         Atten.
   68.5822,             3,       4773.5352,     1.00000E+0
   68.5922,             5,       4772.4967,     1.00000E+0
   68.6022,             5,       4774.2549,     1.00000E+0
   68.6122,             4,       4775.8490,     1.00000E+0
   68.6222,             3,       4779.8267,     1.00000E+0
   68.6322,            12,       4784.8107,     1.00000E+0
   68.6422,             4,       4787.1364,     1.00000E+0
   68.6522,             9,       4787.8263,     1.00000E+0
   68.6622,             3,       4787.9528,     1.00000E+0
   68.6722,             6,       4786.1711,     1.00000E+0
   68.6822,             5,       4783.1416,     1.00000E+0
   68.6922,             4,       4782.7509,     1.00000E+0
   68.7022,             3,       4782.1459,     1.00000E+0
   68.7122,             3,       4777.5083,     1.00000E+0
   68.7222,             3,       4776.4531,     1.00000E+0
   68.7322,             7,       4774.0081,     1.00000E+0
   68.7422,            10,       4775.1752,     1.00000E+0
   68.7522,             5,       4775.1368,     1.00000E+0
   68.7622,             8,       4773.4851,     1.00000E+0
   68.7722,            14,       4773.5540,     1.00000E+0
   68.7822,             7,       4770.2710,     1.00000E+0
   68.7922,            10,       4767.9888,     1.00000E+0
   68.8022,            10,       4766.5257,     1.00000E+0
   68.8122,            10,       4762.8021,     1.00000E+0
   68.8222,             5,       4758.7525,     1.00000E+0
   68.8322,             7,       4757.5125,     1.00000E+0
   68.8422,            13,       4752.0922,     1.00000E+0
   68.8522,            13,       4748.4862,     1.00000E+0
   68.8622,            24,       4747.1379,     1.00000E+0
   68.8722,            15,       4748.3063,     1.00000E+0
   68.8822,            16,       4747.8388,     1.00000E+0
   68.8922,            12,       4746.6534,     1.00000E+0
   68.9022,            12,       4747.8181,     1.00000E+0
   68.9122,            17,       4752.7940,     1.00000E+0
   68.9222,            28,       4754.4272,     1.00000E+0
   68.9322,            27,       4758.3623,     1.00000E+0
   68.9422,            28,       4759.2845,     1.00000E+0
   68.9522,            21,       4761.2960,     1.00000E+0
   68.9622,            25,       4761.6230,     1.00000E+0
   68.9722,            18,       4760.8870,     1.00000E+0
   68.9822,            36,       4761.2859,     1.00000E+0
   68.9922,            33,       4759.4228,     1.00000E+0
   69.0022,            41,       4754.3210,     1.00000E+0
   69.0122,            43,       4755.6187,     1.00000E+0
   69.0222,            41,       4757.4182,     1.00000E+0
   69.0322,            33,       4754.3911,     1.00000E+0
   69.0422,            42,       4755.6688,     1.00000E+0
   69.0522,            68,       4757.2571,     1.00000E+0
   69.0622,            53,       4759.2333,     1.00000E+0
   69.0722,            64,       4758.6929,     1.00000E+0
   69.0822,            79,       4758.3221,     1.00000E+0
   69.0922,            69,       4755.9059,     1.00000E+0
   69.1022,            81,       4755.1994,     1.00000E+0
   69.1122,            82,       4750.8025,     1.00000E+0
   69.1222,           102,       4749.8684,     1.00000E+0
   69.1322,           108,       4748.0737,     1.00000E+0
   69.1422,           108,       4747.0684,     1.00000E+0
   69.1522,           134,       4741.9626,     1.00000E+0
   69.1622,           156,       4740.2238,     1.00000E+0
   69.1722,           169,       4738.1147,     1.00000E+0
   69.1822,           192,       4734.0785,     1.00000E+0
   69.1922,           231,       4729.7528,     1.00000E+0
   69.2022,           215,       4725.4547,     1.00000E+0
   69.2122,           266,       4723.2296,     1.00000E+0
   69.2222,           270,       4720.1430,     1.00000E+0
   69.2322,           299,       4720.4200,     1.00000E+0
   69.2422,           350,       4724.4111,     1.00000E+0
   69.2522,           400,       4726.8209,     1.00000E+0
   69.2622,           463,       4728.5627,     1.00000E+0
   69.2722,           550,       4734.1210,     1.00000E+0
   69.2822,           616,       4736.1705,     1.00000E+0
