Si_RoughTEOS_omega_2_BG.dat
2025/08/21 14:44:23 - 14:47:12
É∆ : 34.6681 deg
2É∆ : 68.5820 deg
É‘ : 89.4615 deg
É” : 0.0000 deg
Sz : 11.610 mm
Rx : 0.1609 deg
Ry : 0.0021 deg
I0 slit H : 0.20 mm
I0 slit W : 1.00 mm
R1 slit H : 0.20 mm
R1 slit W : 1.00 mm
R2 slit H : 0.20 mm
R2 slit W : 1.00 mm
Scan axis : É∆
Start: 34.6481 deg, End: 34.6881 deg
Step: 0.0005 deg, Time: 1.0 sec
Axis (deg),       I (cts),        I0 (cts),         Atten.
   34.6481,             1,       3904.5782,     1.00000E+0
   34.6486,             1,       3905.7280,     1.00000E+0
   34.6491,             5,       3905.2138,     1.00000E+0
   34.6496,             2,       3905.1802,     1.00000E+0
   34.6501,             3,       3904.6751,     1.00000E+0
   34.6506,            10,       3903.5148,     1.00000E+0
   34.6511,             4,       3903.8944,     1.00000E+0
   34.6516,            13,       3902.9111,     1.00000E+0
   34.6521,             2,       3903.0601,     1.00000E+0
   34.6526,             4,       3900.8418,     1.00000E+0
   34.6531,             0,       3901.1377,     1.00000E+0
   34.6536,             2,       3900.9127,     1.00000E+0
   34.6541,             6,       3900.1675,     1.00000E+0
   34.6546,             5,       3899.6998,     1.00000E+0
   34.6551,             3,       3896.4553,     1.00000E+0
   34.6556,             1,       3899.3979,     1.00000E+0
   34.6561,             2,       3899.0932,     1.00000E+0
   34.6566,             3,       3895.4485,     1.00000E+0
   34.6571,             1,       3896.1634,     1.00000E+0
   34.6576,             2,       3896.9447,     1.00000E+0
   34.6581,             0,       3896.4987,     1.00000E+0
   34.6586,             2,       3895.7465,     1.00000E+0
   34.6591,             1,       3895.5017,     1.00000E+0
   34.6596,             1,       3895.1820,     1.00000E+0
   34.6601,             8,       3892.5012,     1.00000E+0
   34.6606,             2,       3894.1711,     1.00000E+0
   34.6611,             1,       3891.6587,     1.00000E+0
   34.6616,             4,       3892.1089,     1.00000E+0
   34.6621,             4,       3890.6893,     1.00000E+0
   34.6626,             2,       3893.3452,     1.00000E+0
   34.6631,             5,       3893.6777,     1.00000E+0
   34.6636,             5,       3890.9937,     1.00000E+0
   34.6641,             1,       3892.0445,     1.00000E+0
   34.6646,             0,       3892.2629,     1.00000E+0
   34.6651,             3,       3892.2565,     1.00000E+0
   34.6656,             0,       3893.9940,     1.00000E+0
   34.6661,             1,       3892.3599,     1.00000E+0
   34.6666,             2,       3893.0018,     1.00000E+0
   34.6671,             6,       3891.3019,     1.00000E+0
   34.6676,             0,       3893.5088,     1.00000E+0
   34.6681,             4,       3892.3904,     1.00000E+0
   34.6686,             0,       3891.9407,     1.00000E+0
   34.6691,             4,       3894.6368,     1.00000E+0
   34.6696,             3,       3891.2131,     1.00000E+0
   34.6701,             2,       3892.2594,     1.00000E+0
   34.6706,            15,       3891.8102,     1.00000E+0
   34.6711,             9,       3891.3038,     1.00000E+0
   34.6716,             3,       3892.2894,     1.00000E+0
   34.6721,             0,       3891.4908,     1.00000E+0
   34.6726,             2,       3891.0057,     1.00000E+0
   34.6731,             2,       3889.9659,     1.00000E+0
   34.6736,             4,       3890.1606,     1.00000E+0
   34.6741,             3,       3888.3909,     1.00000E+0
   34.6746,             5,       3889.6208,     1.00000E+0
   34.6751,             0,       3887.8408,     1.00000E+0
   34.6756,             2,       3887.1197,     1.00000E+0
   34.6761,             4,       3886.6990,     1.00000E+0
   34.6766,             0,       3884.4550,     1.00000E+0
   34.6771,             1,       3884.6177,     1.00000E+0
   34.6776,             2,       3883.7609,     1.00000E+0
   34.6781,             2,       3882.7510,     1.00000E+0
   34.6786,             0,       3883.0355,     1.00000E+0
   34.6791,             1,       3883.3571,     1.00000E+0
   34.6796,             1,       3882.3471,     1.00000E+0
   34.6801,             6,       3882.3005,     1.00000E+0
   34.6806,             4,       3882.2868,     1.00000E+0
   34.6811,             4,       3880.0759,     1.00000E+0
   34.6816,             2,       3878.8240,     1.00000E+0
   34.6821,             3,       3880.3342,     1.00000E+0
   34.6826,             2,       3877.6285,     1.00000E+0
   34.6831,            12,       3878.6877,     1.00000E+0
   34.6836,             1,       3877.9905,     1.00000E+0
   34.6841,             2,       3876.9557,     1.00000E+0
   34.6846,             2,       3877.4337,     1.00000E+0
   34.6851,             4,       3877.3766,     1.00000E+0
   34.6856,             0,       3876.6429,     1.00000E+0
   34.6861,             1,       3877.9874,     1.00000E+0
   34.6866,             2,       3876.9960,     1.00000E+0
   34.6871,             9,       3876.3678,     1.00000E+0
   34.6876,            11,       3876.9321,     1.00000E+0
   34.6881,             8,       3877.2200,     1.00000E+0
