Si_RoughTEOS_omega_BG.dat
2025/08/21 12:59:23 - 13:04:57
É∆ : 34.3634 deg
2É∆ : 68.5822 deg
É‘ : 90.1731 deg
É” : 0.0000 deg
Sz : 11.606 mm
Rx : 0.1609 deg
Ry : 0.2883 deg
I0 slit H : 0.20 mm
I0 slit W : 1.00 mm
R1 slit H : 0.20 mm
R1 slit W : 1.00 mm
R2 slit H : 0.20 mm
R2 slit W : 1.00 mm
Scan axis : É∆
Start: 34.3234 deg, End: 34.4034 deg
Step: 0.0005 deg, Time: 1.0 sec
Axis (deg),       I (cts),        I0 (cts),         Atten.
   34.3234,             1,       4610.0805,     1.00000E+0
   34.3239,             6,       4610.4016,     1.00000E+0
   34.3244,             5,       4610.7960,     1.00000E+0
   34.3249,             2,       4613.7482,     1.00000E+0
   34.3254,             2,       4615.9840,     1.00000E+0
   34.3259,             4,       4614.6043,     1.00000E+0
   34.3264,             4,       4616.2523,     1.00000E+0
   34.3269,             0,       4619.1613,     1.00000E+0
   34.3274,             1,       4618.0225,     1.00000E+0
   34.3279,             0,       4617.0724,     1.00000E+0
   34.3284,             6,       4615.3791,     1.00000E+0
   34.3289,             3,       4617.0426,     1.00000E+0
   34.3294,             2,       4617.5322,     1.00000E+0
   34.3299,             3,       4617.6614,     1.00000E+0
   34.3304,             3,       4616.7046,     1.00000E+0
   34.3309,             2,       4614.1442,     1.00000E+0
   34.3314,             4,       4608.8704,     1.00000E+0
   34.3319,             1,       4611.5140,     1.00000E+0
   34.3324,             0,       4610.4451,     1.00000E+0
   34.3329,             6,       4612.1119,     1.00000E+0
   34.3334,             2,       4611.6986,     1.00000E+0
   34.3339,             2,       4607.9352,     1.00000E+0
   34.3344,             5,       4607.0898,     1.00000E+0
   34.3349,             3,       4606.5589,     1.00000E+0
   34.3354,             3,       4604.4944,     1.00000E+0
   34.3359,             3,       4606.2939,     1.00000E+0
   34.3364,             2,       4603.2985,     1.00000E+0
   34.3369,             6,       4604.8424,     1.00000E+0
   34.3374,             1,       4605.7977,     1.00000E+0
   34.3379,             4,       4606.4475,     1.00000E+0
   34.3384,             3,       4605.3865,     1.00000E+0
   34.3389,             2,       4606.3170,     1.00000E+0
   34.3394,             7,       4608.4690,     1.00000E+0
   34.3399,             2,       4607.5868,     1.00000E+0
   34.3404,             3,       4606.0824,     1.00000E+0
   34.3409,             6,       4607.9618,     1.00000E+0
   34.3414,             2,       4606.8702,     1.00000E+0
   34.3419,             0,       4605.7745,     1.00000E+0
   34.3424,             2,       4605.4616,     1.00000E+0
   34.3429,             1,       4602.4832,     1.00000E+0
   34.3434,             1,       4604.4782,     1.00000E+0
   34.3439,             3,       4601.2323,     1.00000E+0
   34.3444,             4,       4599.1439,     1.00000E+0
   34.3449,             3,       4600.7801,     1.00000E+0
   34.3454,             4,       4599.0320,     1.00000E+0
   34.3459,             2,       4595.3983,     1.00000E+0
   34.3464,             3,       4595.0821,     1.00000E+0
   34.3469,             1,       4594.2955,     1.00000E+0
   34.3474,             3,       4593.2566,     1.00000E+0
   34.3479,             2,       4589.3791,     1.00000E+0
