Si_TEOS_2thome_2.dat
2025/08/21 16:03:47 - 16:14:14
É∆ : 34.4348 deg
2É∆ : 69.5846 deg
É‘ : 89.5004 deg
É” : 0.0000 deg
Sz : 11.594 mm
Rx : 0.1609 deg
Ry : 0.2031 deg
I0 slit H : 0.20 mm
I0 slit W : 1.00 mm
R1 slit H : 0.20 mm
R1 slit W : 1.00 mm
R2 slit H : 0.20 mm
R2 slit W : 1.00 mm
Scan axis : 2É∆/É∆
Start: 68.5846 deg, End: 70.5846 deg
Step: 0.0100 deg, Time: 1.0 sec
Axis (deg),       I (cts),        I0 (cts),         Atten.
   68.5846,            35,       3446.6130,     1.00000E+0
   68.5946,            29,       3446.4414,     1.00000E+0
   68.6046,            61,       3447.1953,     1.00000E+0
   68.6146,            31,       3446.2619,     1.00000E+0
   68.6246,            33,       3446.5405,     1.00000E+0
   68.6346,            29,       3446.4833,     1.00000E+0
   68.6446,            31,       3445.7637,     1.00000E+0
   68.6546,            48,       3446.5602,     1.00000E+0
   68.6646,            36,       3444.7525,     1.00000E+0
   68.6746,            42,       3444.8428,     1.00000E+0
   68.6846,            41,       3445.2280,     1.00000E+0
   68.6946,            33,       3444.8924,     1.00000E+0
   68.7046,            38,       3443.7277,     1.00000E+0
   68.7146,            51,       3443.6675,     1.00000E+0
   68.7246,            50,       3442.9639,     1.00000E+0
   68.7346,            45,       3442.1879,     1.00000E+0
   68.7446,            45,       3444.1145,     1.00000E+0
   68.7546,            51,       3442.3150,     1.00000E+0
   68.7646,            42,       3441.6909,     1.00000E+0
   68.7746,            39,       3441.5354,     1.00000E+0
   68.7846,            50,       3442.2975,     1.00000E+0
   68.7946,            66,       3442.1288,     1.00000E+0
   68.8046,            43,       3439.1416,     1.00000E+0
   68.8146,            48,       3439.6749,     1.00000E+0
   68.8246,            51,       3438.1967,     1.00000E+0
   68.8346,            54,       3440.3676,     1.00000E+0
   68.8446,            62,       3438.2586,     1.00000E+0
   68.8546,            46,       3438.4614,     1.00000E+0
   68.8646,            54,       3436.8106,     1.00000E+0
   68.8746,            79,       3436.0760,     1.00000E+0
   68.8846,            57,       3435.2459,     1.00000E+0
   68.8946,            75,       3435.3396,     1.00000E+0
   68.9046,            74,       3434.8361,     1.00000E+0
   68.9146,            77,       3433.9061,     1.00000E+0
   68.9246,            77,       3434.0948,     1.00000E+0
   68.9346,            64,       3432.1421,     1.00000E+0
   68.9446,            71,       3431.2862,     1.00000E+0
   68.9546,            71,       3431.6173,     1.00000E+0
   68.9646,            81,       3430.8470,     1.00000E+0
   68.9746,            80,       3430.9893,     1.00000E+0
   68.9846,            71,       3430.4423,     1.00000E+0
   68.9946,            78,       3427.4162,     1.00000E+0
   69.0046,            99,       3428.6759,     1.00000E+0
   69.0146,            88,       3426.7321,     1.00000E+0
   69.0246,           107,       3428.2461,     1.00000E+0
   69.0346,            90,       3427.8249,     1.00000E+0
   69.0446,            93,       3428.8169,     1.00000E+0
   69.0546,            99,       3428.2838,     1.00000E+0
   69.0646,           108,       3427.7679,     1.00000E+0
   69.0746,            99,       3426.5818,     1.00000E+0
   69.0846,           127,       3425.7929,     1.00000E+0
   69.0946,           103,       3427.4141,     1.00000E+0
   69.1046,           137,       3425.3959,     1.00000E+0
   69.1146,           129,       3425.1963,     1.00000E+0
   69.1246,           134,       3423.5961,     1.00000E+0
   69.1346,           154,       3424.3171,     1.00000E+0
   69.1446,           162,       3424.4016,     1.00000E+0
   69.1546,           157,       3424.5822,     1.00000E+0
   69.1646,           159,       3423.8328,     1.00000E+0
   69.1746,           162,       3425.0040,     1.00000E+0
   69.1846,           172,       3423.0572,     1.00000E+0
   69.1946,           196,       3423.9308,     1.00000E+0
   69.2046,           181,       3423.9329,     1.00000E+0
   69.2146,           229,       3422.9796,     1.00000E+0
   69.2246,           223,       3423.3213,     1.00000E+0
   69.2346,           234,       3424.8093,     1.00000E+0
   69.2446,           255,       3424.2161,     1.00000E+0
   69.2546,           242,       3423.9511,     1.00000E+0
   69.2646,           279,       3422.9445,     1.00000E+0
   69.2746,           299,       3423.0614,     1.00000E+0
   69.2846,           307,       3423.6095,     1.00000E+0
   69.2946,           300,       3424.5040,     1.00000E+0
   69.3046,           367,       3424.5867,     1.00000E+0
   69.3146,           367,       3424.6987,     1.00000E+0
   69.3246,           394,       3425.7385,     1.00000E+0
   69.3346,           395,       3423.8894,     1.00000E+0
   69.3446,           454,       3424.5070,     1.00000E+0
   69.3546,           500,       3426.8845,     1.00000E+0
   69.3646,           551,       3424.6797,     1.00000E+0
   69.3746,           570,       3425.4696,     1.00000E+0
   69.3846,           580,       3423.3651,     1.00000E+0
   69.3946,           664,       3423.6631,     1.00000E+0
   69.4046,           790,       3423.1390,     1.00000E+0
   69.4146,           789,       3423.2109,     1.00000E+0
   69.4246,           927,       3422.0202,     1.00000E+0
   69.4346,          1118,       3422.5011,     1.00000E+0
   69.4446,          1319,       3419.6880,     1.00000E+0
   69.4546,          1315,       3419.3884,     1.00000E+0
   69.4646,          1730,       3419.2765,     1.00000E+0
   69.4746,          1928,       3419.6708,     1.00000E+0
   69.4846,          2380,       3418.4292,     1.00000E+0
   69.4946,          2777,       3418.3407,     1.00000E+0
