Si_TEOS_omega_2.dat
2025/08/21 15:52:48 - 16:02:31
ƒÆ : 34.4348 deg
2ƒÆ : 69.5846 deg
ƒÔ : 89.5004 deg
ƒÓ : 0.0000 deg
Sz : 11.594 mm
Rx : 0.1609 deg
Ry : 0.2031 deg
I0 slit H : 0.20 mm
I0 slit W : 1.00 mm
R1 slit H : 0.20 mm
R1 slit W : 1.00 mm
R2 slit H : 0.20 mm
R2 slit W : 1.00 mm
Scan axis : ƒÆ
Start: 34.3348 deg, End: 34.5348 deg
Step: 0.0010 deg, Time: 1.0 sec
Axis (deg),       I (cts),        I0 (cts),         Atten.
   34.3348,            74,       3502.4890,     1.00000E+0
   34.3358,            88,       3501.0000,     1.00000E+0
   34.3368,            85,       3500.2133,     1.00000E+0
   34.3378,            79,       3499.2729,     1.00000E+0
   34.3388,            71,       3501.7039,     1.00000E+0
   34.3398,            76,       3501.4844,     1.00000E+0
   34.3408,            59,       3501.4986,     1.00000E+0
   34.3418,            80,       3502.0741,     1.00000E+0
   34.3428,            71,       3502.6305,     1.00000E+0
   34.3438,            81,       3502.1713,     1.00000E+0
   34.3448,            98,       3503.0702,     1.00000E+0
   34.3458,            90,       3502.5198,     1.00000E+0
   34.3468,            91,       3502.4345,     1.00000E+0
   34.3478,            87,       3500.7291,     1.00000E+0
   34.3488,            89,       3499.9492,     1.00000E+0
   34.3498,            92,       3499.8040,     1.00000E+0
   34.3508,            88,       3500.1152,     1.00000E+0
   34.3518,            89,       3498.7303,     1.00000E+0
   34.3528,            98,       3497.8473,     1.00000E+0
   34.3538,           102,       3497.6951,     1.00000E+0
   34.3548,           115,       3497.3558,     1.00000E+0
   34.3558,           121,       3497.3769,     1.00000E+0
   34.3568,           105,       3497.0934,     1.00000E+0
   34.3578,           113,       3495.6541,     1.00000E+0
   34.3588,           106,       3497.7120,     1.00000E+0
   34.3598,           100,       3495.6588,     1.00000E+0
   34.3608,           133,       3497.4292,     1.00000E+0
   34.3618,           122,       3497.0384,     1.00000E+0
   34.3628,           134,       3495.5755,     1.00000E+0
   34.3638,           119,       3496.3705,     1.00000E+0
   34.3648,           133,       3495.9860,     1.00000E+0
   34.3658,           137,       3496.5196,     1.00000E+0
   34.3668,           150,       3495.3767,     1.00000E+0
   34.3678,           161,       3495.8816,     1.00000E+0
