Si_TEOS_omega_2_BG.dat
2025/08/21 16:15:30 - 16:18:21
É∆ : 33.9348 deg
2É∆ : 68.5846 deg
É‘ : 89.5004 deg
É” : 0.0000 deg
Sz : 11.594 mm
Rx : 0.1609 deg
Ry : 0.2031 deg
I0 slit H : 0.20 mm
I0 slit W : 1.00 mm
R1 slit H : 0.20 mm
R1 slit W : 1.00 mm
R2 slit H : 0.20 mm
R2 slit W : 1.00 mm
Scan axis : É∆
Start: 33.9148 deg, End: 33.9548 deg
Step: 0.0005 deg, Time: 1.0 sec
Axis (deg),       I (cts),        I0 (cts),         Atten.
   33.9148,             0,       3383.5193,     1.00000E+0
   33.9153,             0,       3383.3661,     1.00000E+0
   33.9158,             0,       3382.5062,     1.00000E+0
   33.9163,             0,       3382.1369,     1.00000E+0
   33.9168,             1,       3381.3551,     1.00000E+0
   33.9173,             1,       3381.7461,     1.00000E+0
   33.9178,             3,       3381.2847,     1.00000E+0
   33.9183,             1,       3381.7974,     1.00000E+0
   33.9188,             1,       3383.0956,     1.00000E+0
   33.9193,             2,       3381.5311,     1.00000E+0
   33.9198,             0,       3381.9101,     1.00000E+0
   33.9203,             1,       3380.5226,     1.00000E+0
   33.9208,             0,       3383.2346,     1.00000E+0
   33.9213,             1,       3383.8670,     1.00000E+0
   33.9218,             2,       3382.3891,     1.00000E+0
   33.9223,             1,       3383.4438,     1.00000E+0
   33.9228,             0,       3382.8923,     1.00000E+0
   33.9233,             0,       3383.7016,     1.00000E+0
   33.9238,             2,       3383.3178,     1.00000E+0
   33.9243,             3,       3381.8858,     1.00000E+0
   33.9248,             4,       3383.5929,     1.00000E+0
   33.9253,             3,       3383.3505,     1.00000E+0
   33.9258,             7,       3383.6538,     1.00000E+0
   33.9263,             8,       3382.5490,     1.00000E+0
   33.9268,            13,       3383.3773,     1.00000E+0
   33.9273,             9,       3381.6467,     1.00000E+0
   33.9278,            11,       3382.8092,     1.00000E+0
   33.9283,            16,       3381.3338,     1.00000E+0
   33.9288,            14,       3381.5485,     1.00000E+0
   33.9293,            24,       3381.2471,     1.00000E+0
   33.9298,            18,       3380.8850,     1.00000E+0
   33.9303,            15,       3379.8503,     1.00000E+0
   33.9308,            21,       3379.3820,     1.00000E+0
   33.9313,            20,       3380.4104,     1.00000E+0
   33.9318,            18,       3380.0031,     1.00000E+0
   33.9323,            27,       3378.2439,     1.00000E+0
   33.9328,            12,       3378.5014,     1.00000E+0
   33.9333,            26,       3377.2497,     1.00000E+0
   33.9338,            21,       3375.8432,     1.00000E+0
   33.9343,            38,       3378.6403,     1.00000E+0
   33.9348,            40,       3377.3819,     1.00000E+0
   33.9353,            27,       3377.0857,     1.00000E+0
   33.9358,            33,       3374.8279,     1.00000E+0
   33.9363,            41,       3374.4931,     1.00000E+0
   33.9368,            31,       3376.5738,     1.00000E+0
   33.9373,            30,       3375.5295,     1.00000E+0
   33.9378,            43,       3375.5729,     1.00000E+0
   33.9383,            31,       3375.7555,     1.00000E+0
   33.9388,            24,       3374.5631,     1.00000E+0
   33.9393,            26,       3374.2909,     1.00000E+0
   33.9398,            20,       3375.3396,     1.00000E+0
   33.9403,            33,       3374.8424,     1.00000E+0
   33.9408,            28,       3375.2303,     1.00000E+0
   33.9413,            77,       3374.1928,     1.00000E+0
   33.9418,            25,       3374.5835,     1.00000E+0
   33.9423,            27,       3374.9748,     1.00000E+0
   33.9428,            31,       3373.1806,     1.00000E+0
   33.9433,            24,       3374.5588,     1.00000E+0
   33.9438,            31,       3371.9483,     1.00000E+0
   33.9443,            37,       3373.0310,     1.00000E+0
   33.9448,            13,       3373.3719,     1.00000E+0
   33.9453,            28,       3369.8871,     1.00000E+0
   33.9458,            16,       3373.7125,     1.00000E+0
   33.9463,            25,       3373.5943,     1.00000E+0
   33.9468,            14,       3374.9965,     1.00000E+0
   33.9473,            13,       3373.5734,     1.00000E+0
   33.9478,            16,       3372.5739,     1.00000E+0
   33.9483,            12,       3375.1924,     1.00000E+0
   33.9488,             6,       3373.4531,     1.00000E+0
   33.9493,            10,       3372.9751,     1.00000E+0
   33.9498,             5,       3372.1394,     1.00000E+0
   33.9503,             8,       3374.3098,     1.00000E+0
   33.9508,             5,       3373.5274,     1.00000E+0
   33.9513,             3,       3374.1148,     1.00000E+0
   33.9518,             8,       3374.3651,     1.00000E+0
   33.9523,             4,       3376.1402,     1.00000E+0
   33.9528,             5,       3373.6921,     1.00000E+0
   33.9533,             2,       3374.9673,     1.00000E+0
   33.9538,             1,       3373.2750,     1.00000E+0
   33.9543,             1,       3372.2865,     1.00000E+0
   33.9548,             0,       3375.5128,     1.00000E+0
