Si_Thermo_2thome_2.dat
2025/08/21 17:14:48 - 17:28:30
É∆ : 34.4588 deg
2É∆ : 69.5890 deg
É‘ : 89.6532 deg
É” : 0.0000 deg
Sz : 11.600 mm
Rx : 0.1609 deg
Ry : 0.0877 deg
I0 slit H : 0.20 mm
I0 slit W : 1.00 mm
R1 slit H : 0.20 mm
R1 slit W : 1.00 mm
R2 slit H : 0.20 mm
R2 slit W : 1.00 mm
Scan axis : 2É∆/É∆
Start: 68.5890 deg, End: 70.5890 deg
Step: 0.0100 deg, Time: 2.0 sec
Axis (deg),       I (cts),        I0 (cts),         Atten.
   68.5890,            73,       6094.1574,     1.00000E+0
   68.5990,            61,       6094.6586,     1.00000E+0
   68.6090,            85,       6092.7295,     1.00000E+0
   68.6190,            97,       6093.0116,     1.00000E+0
   68.6290,            98,       6091.2644,     1.00000E+0
   68.6390,           108,       6089.6418,     1.00000E+0
   68.6490,           120,       6088.3094,     1.00000E+0
   68.6590,           110,       6088.5502,     1.00000E+0
   68.6690,           109,       6087.1127,     1.00000E+0
   68.6790,           115,       6086.8088,     1.00000E+0
   68.6890,           101,       6086.3246,     1.00000E+0
   68.6990,           125,       6083.4392,     1.00000E+0
   68.7090,           132,       6084.8059,     1.00000E+0
   68.7190,           117,       6082.0633,     1.00000E+0
   68.7290,           141,       6082.7097,     1.00000E+0
   68.7390,           136,       6081.1132,     1.00000E+0
   68.7490,           148,       6080.5246,     1.00000E+0
   68.7590,           144,       6079.0857,     1.00000E+0
   68.7690,           159,       6077.3609,     1.00000E+0
   68.7790,           159,       6077.3577,     1.00000E+0
   68.7890,           176,       6076.4671,     1.00000E+0
   68.7990,           165,       6076.5520,     1.00000E+0
   68.8090,           179,       6076.9780,     1.00000E+0
   68.8190,           187,       6075.7184,     1.00000E+0
   68.8290,           169,       6073.9060,     1.00000E+0
   68.8390,           209,       6073.6544,     1.00000E+0
   68.8490,           188,       6072.4590,     1.00000E+0
   68.8590,           215,       6072.7296,     1.00000E+0
   68.8690,           210,       6073.5990,     1.00000E+0
   68.8790,           256,       6072.2742,     1.00000E+0
   68.8890,           261,       6071.0856,     1.00000E+0
   68.8990,           233,       6069.1564,     1.00000E+0
   68.9090,           272,       6070.5551,     1.00000E+0
   68.9190,           255,       6068.6208,     1.00000E+0
   68.9290,           259,       6069.1150,     1.00000E+0
   68.9390,           309,       6066.3268,     1.00000E+0
   68.9490,           285,       6065.3677,     1.00000E+0
   68.9590,           296,       6065.0058,     1.00000E+0
   68.9690,           383,       6064.2025,     1.00000E+0
   68.9790,           339,       6064.5363,     1.00000E+0
   68.9890,           354,       6064.0093,     1.00000E+0
   68.9990,           342,       6065.4201,     1.00000E+0
   69.0090,           388,       6064.9467,     1.00000E+0
   69.0190,           404,       6065.0608,     1.00000E+0
   69.0290,           394,       6064.6255,     1.00000E+0
   69.0390,           432,       6062.5983,     1.00000E+0
   69.0490,           458,       6062.4493,     1.00000E+0
   69.0590,           454,       6062.6488,     1.00000E+0
   69.0690,           521,       6057.9475,     1.00000E+0
   69.0790,           526,       6054.8806,     1.00000E+0
   69.0890,           562,       6054.3870,     1.00000E+0
   69.0990,           584,       6049.4738,     1.00000E+0
   69.1090,           549,       6048.8780,     1.00000E+0
   69.1190,           573,       6043.9576,     1.00000E+0
   69.1290,           613,       6041.5813,     1.00000E+0
   69.1390,           659,       6038.7314,     1.00000E+0
   69.1490,           681,       6038.8190,     1.00000E+0
   69.1590,           698,       6039.9320,     1.00000E+0
   69.1690,           748,       6041.0534,     1.00000E+0
   69.1790,           750,       6043.1166,     1.00000E+0
   69.1890,           869,       6041.1118,     1.00000E+0
   69.1990,           927,       6042.8595,     1.00000E+0
   69.2090,           904,       6044.0070,     1.00000E+0
   69.2190,           947,       6043.4527,     1.00000E+0
   69.2290,          1072,       6044.4175,     1.00000E+0
   69.2390,          1101,       6041.8295,     1.00000E+0
   69.2490,          1167,       6041.6329,     1.00000E+0
   69.2590,          1193,       6040.9989,     1.00000E+0
