Axis (deg),       I (cts)
68.589,73
68.599,61
68.609,85
68.619,97
68.629,98
68.639,108
68.649,120
68.659,110
68.669,109
68.679,115
68.689,101
68.699,125
68.709,132
68.719,117
68.729,141
68.739,136
68.749,148
68.759,144
68.769,159
68.779,159
68.789,176
68.799,165
68.809,179
68.819,187
68.829,169
68.839,209
68.849,188
68.859,215
68.869,210
68.879,256
68.889,261
68.899,233
68.909,272
68.919,255
68.929,259
68.939,309
68.949,285
68.959,296
68.969,383
68.979,339
68.989,354
68.999,342
69.009,388
69.019,404
69.029,394
69.039,432
69.049,458
69.059,454
69.069,521
69.079,526
69.089,562
69.099,584
69.109,549
69.119,573
69.129,613
69.139,659
69.149,681
69.159,698
69.169,748
69.179,750
69.189,869
69.199,927
69.209,904
69.219,947
69.229,1072
69.239,1101
69.249,1167
69.259,1193
69.269,1350
69.279,1368
69.289,1443
69.299,1534
69.309,1749
69.319,1802
69.329,2067
69.339,2050
69.349,2360
69.359,2545
69.369,2667
69.379,2919
69.389,3256
69.399,3540
69.409,4030
69.419,4489
69.429,4987
69.439,5490
69.449,6308
69.459,7263
69.469,8347
69.479,9421
69.489,11440
69.499,14305
69.509,18103
69.519,22880
69.529,30680
69.539,42935
69.549,66655
69.559,113021
69.569,240981
69.579,1131138
69.589,70883316
69.599,35119278
69.609,628306
69.619,187279
69.629,88169
69.639,51278
69.649,34482
69.659,24232
69.669,17354
69.679,12968
69.689,10417
69.699,8882
69.709,7502
69.719,6241
69.729,5381
69.739,4626
69.749,3994
69.759,3596
69.769,3017
69.779,2618
69.789,2383
69.799,2238
69.809,2000
69.819,1753
69.829,1520
69.839,1396
69.849,1231
69.859,1073
69.869,933
69.879,839
69.889,745
69.899,741
69.909,677
69.919,583
69.929,527
69.939,469
69.949,398
69.959,327
69.969,318
69.979,277
69.989,289
69.999,251
70.009,204
70.019,172
70.029,164
70.039,152
70.049,139
70.059,102
70.069,79
70.079,90
70.089,90
70.099,82
70.109,71
70.119,79
70.129,62
70.139,42
70.149,62
70.159,46
70.169,33
70.179,26
70.189,40
70.199,28
70.209,25
70.219,24
70.229,25
70.239,18
70.249,19
70.259,21
70.269,13
70.279,16
70.289,38
70.299,17
70.309,12
70.319,14
70.329,17
70.339,10
70.349,9
70.359,11
70.369,7
70.379,4
70.389,10
70.399,5
70.409,8
70.419,6
70.429,10
70.439,11
70.449,17
70.459,11
70.469,6
70.479,4
70.489,9
70.499,6
70.509,5
70.519,4
70.529,15
70.539,6
70.549,3
70.559,8
70.569,7
70.579,5
70.589,4
