RoughTEOS_01_omega.dat
2025/06/06 15:33:37 - 15:48:23
É∆ : 34.5251 deg
2É∆ : 69.5884 deg
É‘ : 90.3040 deg
É” : 0.0000 deg
Sz : 13.300 mm
Rx : 0.0000 deg
Ry : -0.0233 deg
I0 slit H : 0.10 mm
I0 slit W : 5.00 mm
R1 slit H : 0.10 mm
R1 slit W : 5.00 mm
R2 slit H : 0.10 mm
R2 slit W : 5.00 mm
Scan axis : É∆
Start: 34.4851 deg, End: 34.5651 deg
Step: 0.0010 deg, Time:10.0 sec
Axis (deg),       I (cts),        I0 (cts),         Atten.
   34.4851,        153494,       3097.4824,     1.00000E+0
   34.4861,        162988,       3099.4932,     1.00000E+0
   34.4871,        173360,       3094.0476,     1.00000E+0
   34.4881,        183947,       3084.4323,     1.00000E+0
   34.4891,        196584,       3080.3404,     1.00000E+0
   34.4901,        211116,       3080.4994,     1.00000E+0
   34.4911,        226308,       3079.8106,     1.00000E+0
   34.4921,        243330,       3078.9078,     1.00000E+0
   34.4931,        263013,       3082.6704,     1.00000E+0
   34.4941,        284059,       3083.8568,     1.00000E+0
   34.4951,        307536,       3084.8811,     1.00000E+0
   34.4961,        333330,       3081.0101,     1.00000E+0
   34.4971,        360811,       3074.7800,     1.00000E+0
   34.4981,        392613,       3068.2523,     1.00000E+0
   34.4991,        429107,       3064.9898,     1.00000E+0
   34.5001,        473247,       3068.8605,     1.00000E+0
   34.5011,        521977,       3073.9146,     1.00000E+0
   34.5021,        578793,       3079.5398,     1.00000E+0
   34.5031,        642494,       3078.2955,     1.00000E+0
   34.5041,        715168,       3079.3538,     1.00000E+0
   34.5051,        801795,       3076.0016,     1.00000E+0
   34.5061,        900133,       3063.8344,     1.00000E+0
   34.5071,       1023483,       3058.4178,     1.00000E+0
   34.5081,       1175983,       3063.5899,     1.00000E+0
   34.5091,       1358975,       3069.1964,     1.00000E+0
   34.5101,       1575283,       3070.6345,     1.00000E+0
   34.5111,       1833967,       3065.9766,     1.00000E+0
   34.5121,       2150612,       3057.7126,     1.00000E+0
   34.5131,       2553985,       3057.2497,     1.00000E+0
   34.5141,       3066415,       3060.6220,     1.00000E+0
   34.5151,       3721108,       3065.0337,     1.00000E+0
   34.5161,       4527323,       3066.4523,     1.00000E+0
   34.5171,       5563866,       3063.7588,     1.00000E+0
   34.5181,       6962339,       3060.6505,     1.00000E+0
   34.5191,       8758212,       3057.5740,     1.00000E+0
   34.5201,      10933965,       3049.1725,     1.00000E+0
   34.5211,      13395715,       3047.0811,     1.00000E+0
   34.5221,      15940135,       3044.0814,     1.00000E+0
   34.5231,      18315083,       3048.1560,     1.00000E+0
   34.5241,      20057419,       3053.9400,     1.00000E+0
   34.5251,      18506638,       3050.7346,     1.00000E+0
   34.5261,      18630696,       3042.6678,     1.00000E+0
   34.5271,      17287436,       3042.4240,     1.00000E+0
   34.5281,      14015113,       3045.3795,     1.00000E+0
   34.5291,      10958447,       3047.9545,     1.00000E+0
   34.5301,       8438127,       3047.9585,     1.00000E+0
   34.5311,       6499369,       3044.5071,     1.00000E+0
   34.5321,       5060853,       3041.5316,     1.00000E+0
   34.5331,       4013995,       3038.7384,     1.00000E+0
   34.5341,       3260462,       3040.6501,     1.00000E+0
   34.5351,       2687433,       3039.2628,     1.00000E+0
   34.5361,       2242883,       3038.4612,     1.00000E+0
   34.5371,       1897024,       3037.4374,     1.00000E+0
   34.5381,       1621547,       3031.0562,     1.00000E+0
   34.5391,       1394619,       3028.9861,     1.00000E+0
   34.5401,       1207897,       3031.7820,     1.00000E+0
   34.5411,       1049502,       3031.6434,     1.00000E+0
   34.5421,        917261,       3028.9541,     1.00000E+0
   34.5431,        808018,       3023.8287,     1.00000E+0
   34.5441,        715435,       3027.3346,     1.00000E+0
   34.5451,        643015,       3032.2483,     1.00000E+0
   34.5461,        575692,       3027.8430,     1.00000E+0
   34.5471,        517570,       3026.8291,     1.00000E+0
   34.5481,        465681,       3020.8700,     1.00000E+0
   34.5491,        418632,       3007.3680,     1.00000E+0
   34.5501,        380491,       3005.3446,     1.00000E+0
   34.5511,        346849,       3005.9803,     1.00000E+0
   34.5521,        320097,       3008.7297,     1.00000E+0
   34.5531,        294825,       3018.4812,     1.00000E+0
   34.5541,        272243,       3023.6633,     1.00000E+0
   34.5551,        250717,       3021.1769,     1.00000E+0
   34.5561,        231186,       3016.0391,     1.00000E+0
   34.5571,        216219,       3018.0440,     1.00000E+0
   34.5581,        200281,       3013.1253,     1.00000E+0
   34.5591,        185496,       3003.0114,     1.00000E+0
   34.5601,        173471,       3000.1370,     1.00000E+0
   34.5611,        162631,       3004.2996,     1.00000E+0
   34.5621,        152838,       3010.1170,     1.00000E+0
   34.5631,        142891,       3009.3857,     1.00000E+0
   34.5641,        132907,       3001.7434,     1.00000E+0
   34.5651,        125595,       2998.6151,     1.00000E+0
