RoughTEOS_03.dat
2025/06/06 16:13:35 - 16:20:56
É∆ : 35.1641 deg
2É∆ : 69.5891 deg
É‘ : 90.3091 deg
É” : 90.0000 deg
Sz : 13.300 mm
Rx : 0.0000 deg
Ry : -0.0233 deg
I0 slit H : 0.10 mm
I0 slit W : 5.00 mm
R1 slit H : 0.10 mm
R1 slit W : 5.00 mm
R2 slit H : 0.10 mm
R2 slit W : 5.00 mm
Scan axis : 2É∆/É∆
Start: 68.5891 deg, End: 70.5891 deg
Step: 0.0100 deg, Time: 1.0 sec
Axis (deg),       I (cts),        I0 (cts),         Atten.
   68.5891,             0,        283.8609,     1.00000E+0
   68.5991,             0,        283.9549,     1.00000E+0
   68.6091,             0,        283.5484,     1.00000E+0
   68.6191,             1,        283.6106,     1.00000E+0
   68.6291,             0,        284.0907,     1.00000E+0
   68.6391,             2,        283.9416,     1.00000E+0
   68.6491,             0,        283.9437,     1.00000E+0
   68.6591,             0,        284.2728,     1.00000E+0
   68.6691,             0,        283.8797,     1.00000E+0
   68.6791,             0,        283.9379,     1.00000E+0
   68.6891,             0,        284.0387,     1.00000E+0
   68.6991,             0,        284.2465,     1.00000E+0
   68.7091,             1,        284.1302,     1.00000E+0
   68.7191,             0,        284.2231,     1.00000E+0
   68.7291,             0,        283.8682,     1.00000E+0
   68.7391,             0,        284.0445,     1.00000E+0
   68.7491,             0,        283.6219,     1.00000E+0
   68.7591,             1,        283.4977,     1.00000E+0
   68.7691,             0,        283.5730,     1.00000E+0
   68.7791,             0,        283.6138,     1.00000E+0
   68.7891,             0,        283.4381,     1.00000E+0
   68.7991,             0,        283.4394,     1.00000E+0
   68.8091,             2,        283.6148,     1.00000E+0
   68.8191,             1,        283.7521,     1.00000E+0
   68.8291,             1,        283.7372,     1.00000E+0
   68.8391,             2,        284.0256,     1.00000E+0
   68.8491,             0,        284.1398,     1.00000E+0
   68.8591,             1,        284.2435,     1.00000E+0
   68.8691,             1,        283.8843,     1.00000E+0
   68.8791,             3,        284.1235,     1.00000E+0
   68.8891,             0,        283.9603,     1.00000E+0
   68.8991,             1,        283.6899,     1.00000E+0
   68.9091,             2,        283.6959,     1.00000E+0
   68.9191,             0,        283.6918,     1.00000E+0
   68.9291,             5,        283.4932,     1.00000E+0
   68.9391,             3,        283.4508,     1.00000E+0
   68.9491,             4,        283.5032,     1.00000E+0
   68.9591,             3,        283.7646,     1.00000E+0
   68.9691,             0,        283.8850,     1.00000E+0
   68.9791,             3,        283.8113,     1.00000E+0
   68.9891,             2,        283.7284,     1.00000E+0
   68.9991,             3,        283.5895,     1.00000E+0
   69.0091,             3,        283.5582,     1.00000E+0
   69.0191,             3,        283.4594,     1.00000E+0
   69.0291,             3,        283.4828,     1.00000E+0
   69.0391,             6,        283.4442,     1.00000E+0
   69.0491,             5,        283.7703,     1.00000E+0
   69.0591,             3,        283.8839,     1.00000E+0
   69.0691,             7,        283.7213,     1.00000E+0
   69.0791,             7,        283.7496,     1.00000E+0
   69.0891,             2,        283.7257,     1.00000E+0
   69.0991,             4,        283.9661,     1.00000E+0
   69.1091,             7,        283.6236,     1.00000E+0
   69.1191,             8,        283.5393,     1.00000E+0
   69.1291,             6,        283.1540,     1.00000E+0
   69.1391,            11,        283.4425,     1.00000E+0
   69.1491,            14,        283.5109,     1.00000E+0
   69.1591,             8,        283.2684,     1.00000E+0
   69.1691,            16,        283.2456,     1.00000E+0
   69.1791,            15,        283.1728,     1.00000E+0
   69.1891,            16,        283.2092,     1.00000E+0
   69.1991,            19,        283.3621,     1.00000E+0
   69.2091,            25,        283.2147,     1.00000E+0
   69.2191,            22,        283.3067,     1.00000E+0
   69.2291,            37,        283.3870,     1.00000E+0
   69.2391,            27,        283.4188,     1.00000E+0
   69.2491,            33,        283.1687,     1.00000E+0
   69.2591,            28,        283.4390,     1.00000E+0
   69.2691,            37,        283.1959,     1.00000E+0
   69.2791,            36,        283.1671,     1.00000E+0
   69.2891,            43,        282.8314,     1.00000E+0
   69.2991,            68,        282.7053,     1.00000E+0
   69.3091,            70,        282.8389,     1.00000E+0
   69.3191,            78,        282.5389,     1.00000E+0
   69.3291,            94,        282.3925,     1.00000E+0
   69.3391,           109,        282.4197,     1.00000E+0
   69.3491,           110,        282.4791,     1.00000E+0
   69.3591,           145,        282.1384,     1.00000E+0
   69.3691,           158,        281.9063,     1.00000E+0
   69.3791,           163,        281.7254,     1.00000E+0
   69.3891,           209,        282.0555,     1.00000E+0
   69.3991,           264,        281.9670,     1.00000E+0
   69.4091,           318,        281.8494,     1.00000E+0
   69.4191,           355,        281.7027,     1.00000E+0
   69.4291,           437,        281.4439,     1.00000E+0
   69.4391,           570,        281.6621,     1.00000E+0
   69.4491,           664,        281.6204,     1.00000E+0
   69.4591,           847,        281.7293,     1.00000E+0
   69.4691,          1057,        281.6562,     1.00000E+0
   69.4791,          1386,        282.0953,     1.00000E+0
   69.4891,          1861,        281.8441,     1.00000E+0
   69.4991,          2474,        281.8449,     1.00000E+0
