RoughTEOS_04.dat
2025/06/06 16:21:23 - 16:58:51
É∆ : 35.1641 deg
2É∆ : 69.5891 deg
É‘ : 90.3091 deg
É” : 90.0000 deg
Sz : 13.300 mm
Rx : 0.0000 deg
Ry : -0.0233 deg
I0 slit H : 0.10 mm
I0 slit W : 5.00 mm
R1 slit H : 0.10 mm
R1 slit W : 5.00 mm
R2 slit H : 0.10 mm
R2 slit W : 5.00 mm
Scan axis : 2É∆/É∆
Start: 68.5891 deg, End: 70.5891 deg
Step: 0.0100 deg, Time:10.0 sec
Axis (deg),       I (cts),        I0 (cts),         Atten.
   68.5891,             4,       2800.5394,     1.00000E+0
   68.5991,             6,       2799.4765,     1.00000E+0
   68.6091,             3,       2797.0967,     1.00000E+0
   68.6191,             2,       2798.6446,     1.00000E+0
   68.6291,             2,       2798.8050,     1.00000E+0
   68.6391,            12,       2798.1275,     1.00000E+0
   68.6491,             3,       2799.3235,     1.00000E+0
   68.6591,             9,       2799.3782,     1.00000E+0
   68.6691,            19,       2797.1720,     1.00000E+0
   68.6791,             8,       2794.7163,     1.00000E+0
   68.6891,             6,       2794.3855,     1.00000E+0
   68.6991,            14,       2790.1361,     1.00000E+0
   68.7091,             8,       2788.3568,     1.00000E+0
   68.7191,             5,       2792.7703,     1.00000E+0
   68.7291,             5,       2792.0308,     1.00000E+0
   68.7391,             6,       2788.8292,     1.00000E+0
   68.7491,            10,       2788.1145,     1.00000E+0
   68.7591,             4,       2788.4035,     1.00000E+0
   68.7691,             5,       2783.2544,     1.00000E+0
   68.7791,             4,       2778.9115,     1.00000E+0
   68.7891,             7,       2777.9744,     1.00000E+0
   68.7991,             8,       2781.8518,     1.00000E+0
   68.8091,             6,       2785.5979,     1.00000E+0
   68.8191,            12,       2784.5843,     1.00000E+0
   68.8291,            17,       2782.2473,     1.00000E+0
   68.8391,            15,       2777.9991,     1.00000E+0
   68.8491,            17,       2775.4300,     1.00000E+0
   68.8591,            20,       2767.1843,     1.00000E+0
   68.8691,            20,       2768.5889,     1.00000E+0
   68.8791,            20,       2771.7846,     1.00000E+0
   68.8891,            13,       2774.3447,     1.00000E+0
   68.8991,            19,       2773.9944,     1.00000E+0
   68.9091,            21,       2773.7486,     1.00000E+0
   68.9191,            21,       2769.7176,     1.00000E+0
   68.9291,            16,       2763.2629,     1.00000E+0
   68.9391,            28,       2752.3150,     1.00000E+0
   68.9491,            22,       2751.6052,     1.00000E+0
   68.9591,            43,       2763.1771,     1.00000E+0
   68.9691,            36,       2770.7498,     1.00000E+0
   68.9791,            33,       2772.0935,     1.00000E+0
   68.9891,            33,       2773.6085,     1.00000E+0
   68.9991,            36,       2772.3281,     1.00000E+0
   69.0091,            31,       2763.6748,     1.00000E+0
   69.0191,            48,       2761.3990,     1.00000E+0
   69.0291,            57,       2762.8876,     1.00000E+0
   69.0391,            37,       2765.1681,     1.00000E+0
   69.0491,            41,       2759.6607,     1.00000E+0
   69.0591,            57,       2758.6230,     1.00000E+0
   69.0691,            61,       2758.6781,     1.00000E+0
   69.0791,            56,       2751.9520,     1.00000E+0
   69.0891,            57,       2751.4387,     1.00000E+0
   69.0991,            74,       2747.9973,     1.00000E+0
   69.1091,            89,       2745.0100,     1.00000E+0
   69.1191,            96,       2748.0453,     1.00000E+0
   69.1291,           130,       2753.3868,     1.00000E+0
   69.1391,           119,       2753.6234,     1.00000E+0
   69.1491,           106,       2750.1666,     1.00000E+0
   69.1591,           124,       2747.1106,     1.00000E+0
   69.1691,           157,       2747.6887,     1.00000E+0
   69.1791,           179,       2745.7406,     1.00000E+0
   69.1891,           196,       2738.7949,     1.00000E+0
   69.1991,           212,       2734.2875,     1.00000E+0
   69.2091,           197,       2737.5985,     1.00000E+0
   69.2191,           218,       2736.0594,     1.00000E+0
   69.2291,           278,       2739.0534,     1.00000E+0
   69.2391,           320,       2740.9854,     1.00000E+0
   69.2491,           351,       2736.0177,     1.00000E+0
   69.2591,           380,       2732.8340,     1.00000E+0
   69.2691,           427,       2730.9913,     1.00000E+0
   69.2791,           452,       2728.6220,     1.00000E+0
   69.2891,           514,       2728.6264,     1.00000E+0
   69.2991,           589,       2732.3208,     1.00000E+0
   69.3091,           675,       2734.0809,     1.00000E+0
   69.3191,           781,       2732.1892,     1.00000E+0
   69.3291,           954,       2724.7393,     1.00000E+0
   69.3391,          1006,       2717.6228,     1.00000E+0
   69.3491,          1090,       2716.4368,     1.00000E+0
   69.3591,          1350,       2717.9977,     1.00000E+0
   69.3691,          1529,       2715.2082,     1.00000E+0
   69.3791,          1738,       2716.5897,     1.00000E+0
   69.3891,          2124,       2720.3176,     1.00000E+0
   69.3991,          2421,       2724.0424,     1.00000E+0
   69.4091,          2834,       2721.3018,     1.00000E+0
   69.4191,          3534,       2717.2387,     1.00000E+0
   69.4291,          4213,       2711.9350,     1.00000E+0
   69.4391,          5294,       2709.4531,     1.00000E+0
   69.4491,          6198,       2714.4608,     1.00000E+0
   69.4591,          8059,       2721.4439,     1.00000E+0
   69.4691,         10475,       2722.7456,     1.00000E+0
   69.4791,         13359,       2717.2076,     1.00000E+0
   69.4891,         17432,       2710.6979,     1.00000E+0
   69.4991,         23643,       2707.6270,     1.00000E+0
   69.5091,         33615,       2703.1553,     1.00000E+0
   69.5191,         48830,       2702.0368,     1.00000E+0
   69.5291,         75737,       2704.5908,     1.00000E+0
   69.5391,        127715,       2711.6569,     1.00000E+0
   69.5491,        237487,       2711.2511,     1.00000E+0
   69.5591,        518688,       2705.0833,     1.00000E+0
   69.5691,       1479196,       2701.9753,     1.00000E+0
   69.5791,       6898958,       2699.7452,     1.00000E+0
   69.5891,      18171850,       2697.5126,     1.00000E+0
   69.5991,       6296920,       2692.9109,     1.00000E+0
   69.6091,       1401652,       2685.2560,     1.00000E+0
   69.6191,        444985,       2686.2755,     1.00000E+0
   69.6291,        179793,       2694.0971,     1.00000E+0
   69.6391,         82298,       2695.1537,     1.00000E+0
   69.6491,         43312,       2689.6904,     1.00000E+0
   69.6591,         25095,       2687.5283,     1.00000E+0
   69.6691,         15538,       2689.5315,     1.00000E+0
   69.6791,          9996,       2687.0393,     1.00000E+0
   69.6891,          6718,       2684.9573,     1.00000E+0
   69.6991,          4667,       2682.6588,     1.00000E+0
   69.7091,          3398,       2680.4958,     1.00000E+0
   69.7191,          2489,       2679.2525,     1.00000E+0
   69.7291,          1893,       2683.1852,     1.00000E+0
   69.7391,          1471,       2686.5347,     1.00000E+0
   69.7491,          1132,       2687.7150,     1.00000E+0
   69.7591,           920,       2689.9473,     1.00000E+0
   69.7691,           728,       2687.9373,     1.00000E+0
   69.7791,           575,       2687.9253,     1.00000E+0
   69.7891,           486,       2679.8057,     1.00000E+0
   69.7991,           374,       2678.2190,     1.00000E+0
   69.8091,           356,       2682.9069,     1.00000E+0
   69.8191,           257,       2688.4809,     1.00000E+0
   69.8291,           254,       2688.0220,     1.00000E+0
   69.8391,           209,       2684.7874,     1.00000E+0
   69.8491,           165,       2675.9336,     1.00000E+0
   69.8591,           127,       2670.5709,     1.00000E+0
   69.8691,           121,       2668.2427,     1.00000E+0
   69.8791,           109,       2672.7157,     1.00000E+0
   69.8891,            96,       2670.2560,     1.00000E+0
   69.8991,            98,       2672.8692,     1.00000E+0
   69.9091,            75,       2676.9257,     1.00000E+0
   69.9191,            51,       2678.8853,     1.00000E+0
   69.9291,            68,       2673.6035,     1.00000E+0
   69.9391,            61,       2669.2045,     1.00000E+0
   69.9491,            57,       2669.8375,     1.00000E+0
   69.9591,            39,       2668.9637,     1.00000E+0
   69.9691,            31,       2671.7855,     1.00000E+0
   69.9791,            35,       2671.2860,     1.00000E+0
   69.9891,            36,       2662.4747,     1.00000E+0
   69.9991,            31,       2657.5440,     1.00000E+0
   70.0091,            21,       2656.0708,     1.00000E+0
   70.0191,            30,       2655.2002,     1.00000E+0
   70.0291,            20,       2655.9101,     1.00000E+0
   70.0391,            22,       2656.2489,     1.00000E+0
   70.0491,            31,       2653.2626,     1.00000E+0
   70.0591,             8,       2652.3236,     1.00000E+0
   70.0691,            17,       2654.7278,     1.00000E+0
   70.0791,             6,       2653.7078,     1.00000E+0
   70.0891,            15,       2648.9649,     1.00000E+0
   70.0991,            16,       2647.7678,     1.00000E+0
   70.1091,            19,       2652.4874,     1.00000E+0
   70.1191,            14,       2650.2618,     1.00000E+0
   70.1291,            13,       2648.2446,     1.00000E+0
   70.1391,            10,       2648.3220,     1.00000E+0
   70.1491,             7,       2649.8253,     1.00000E+0
   70.1591,             7,       2648.1400,     1.00000E+0
   70.1691,            13,       2645.9119,     1.00000E+0
   70.1791,            12,       2644.4939,     1.00000E+0
   70.1891,             7,       2639.1708,     1.00000E+0
   70.1991,             4,       2640.1033,     1.00000E+0
   70.2091,             6,       2635.9301,     1.00000E+0
   70.2191,             6,       2631.0712,     1.00000E+0
   70.2291,             2,       2630.2019,     1.00000E+0
   70.2391,             7,       2634.8294,     1.00000E+0
   70.2491,            11,       2632.5603,     1.00000E+0
   70.2591,             5,       2633.0053,     1.00000E+0
   70.2691,             7,       2628.8353,     1.00000E+0
   70.2791,            11,       2629.6628,     1.00000E+0
   70.2891,             5,       2630.5201,     1.00000E+0
   70.2991,            15,       2628.1177,     1.00000E+0
   70.3091,             4,       2630.0331,     1.00000E+0
   70.3191,             2,       2631.6125,     1.00000E+0
   70.3291,             4,       2637.1491,     1.00000E+0
   70.3391,             4,       2633.7352,     1.00000E+0
   70.3491,             3,       2632.3000,     1.00000E+0
   70.3591,             2,       2629.4045,     1.00000E+0
   70.3691,             5,       2628.0368,     1.00000E+0
   70.3791,             0,       2627.8842,     1.00000E+0
   70.3891,             5,       2625.8902,     1.00000E+0
   70.3991,             1,       2623.2438,     1.00000E+0
