Si_Thermo_01_omega.dat
2025/06/06 12:14:13 - 12:29:00
ƒÆ : 35.1374 deg
2ƒÆ : 69.5929 deg
ƒÔ : 90.2177 deg
ƒÓ : 0.0000 deg
Sz : 13.266 mm
Rx : 0.0000 deg
Ry : 0.0087 deg
I0 slit H : 0.10 mm
I0 slit W : 5.00 mm
R1 slit H : 0.10 mm
R1 slit W : 5.00 mm
R2 slit H : 0.10 mm
R2 slit W : 5.00 mm
Scan axis : ƒÆ
Start: 35.0974 deg, End: 35.1774 deg
Step: 0.0010 deg, Time:10.0 sec
Axis (deg),       I (cts),        I0 (cts),         Atten.
   35.0974,           439,       5342.4464,     1.00000E+0
   35.0984,           426,       5333.7735,     1.00000E+0
   35.0994,           436,       5326.3680,     1.00000E+0
   35.1004,           458,       5320.9815,     1.00000E+0
   35.1014,           501,       5318.1611,     1.00000E+0
   35.1024,           501,       5302.3605,     1.00000E+0
   35.1034,           513,       5298.1138,     1.00000E+0
   35.1044,           525,       5297.6303,     1.00000E+0
   35.1054,           565,       5296.8791,     1.00000E+0
   35.1064,           580,       5286.0473,     1.00000E+0
   35.1074,           587,       5285.9317,     1.00000E+0
   35.1084,           567,       5277.3973,     1.00000E+0
   35.1094,           577,       5274.0669,     1.00000E+0
   35.1104,           663,       5273.2617,     1.00000E+0
   35.1114,           701,       5272.9380,     1.00000E+0
   35.1124,           648,       5271.9706,     1.00000E+0
   35.1134,           705,       5270.9687,     1.00000E+0
   35.1144,           691,       5261.5645,     1.00000E+0
   35.1154,           799,       5248.5775,     1.00000E+0
   35.1164,           822,       5244.9101,     1.00000E+0
   35.1174,           858,       5238.9524,     1.00000E+0
   35.1184,           890,       5233.4205,     1.00000E+0
   35.1194,           910,       5235.5761,     1.00000E+0
   35.1204,           950,       5234.4649,     1.00000E+0
   35.1214,           945,       5232.6146,     1.00000E+0
   35.1224,          1118,       5229.1680,     1.00000E+0
   35.1234,          1121,       5224.9257,     1.00000E+0
   35.1244,          1262,       5219.5294,     1.00000E+0
   35.1254,          1309,       5218.0963,     1.00000E+0
   35.1264,          1414,       5205.1374,     1.00000E+0
   35.1274,          1579,       5204.5855,     1.00000E+0
   35.1284,          1759,       5204.7570,     1.00000E+0
   35.1294,          2412,       5199.2985,     1.00000E+0
   35.1304,          3473,       5187.7709,     1.00000E+0
   35.1314,          6039,       5182.1781,     1.00000E+0
   35.1324,         13143,       5178.7514,     1.00000E+0
   35.1334,         33659,       5171.6870,     1.00000E+0
   35.1344,        405991,       5170.2655,     1.00000E+0
   35.1354,       2992774,       5171.0357,     1.00000E+0
   35.1364,       3244243,       5163.1414,     1.00000E+0
   35.1374,       4855873,       5160.0241,     1.00000E+0
   35.1384,       8005845,       5156.4603,     1.00000E+0
   35.1394,       9194438,       5155.4015,     1.00000E+0
   35.1404,       9686879,       5152.0743,     1.00000E+0
   35.1414,       7747027,       5143.6393,     1.00000E+0
   35.1424,       6368539,       5142.3602,     1.00000E+0
   35.1434,       4389144,       5138.8556,     1.00000E+0
   35.1444,       1633584,       5132.8011,     1.00000E+0
   35.1454,        525849,       5129.2681,     1.00000E+0
   35.1464,        261050,       5122.0995,     1.00000E+0
   35.1474,        175829,       5118.3759,     1.00000E+0
   35.1484,        133242,       5117.3218,     1.00000E+0
   35.1494,        103061,       5104.8743,     1.00000E+0
   35.1504,         81899,       5097.7780,     1.00000E+0
   35.1514,         63384,       5094.6132,     1.00000E+0
   35.1524,         48978,       5088.4512,     1.00000E+0
   35.1534,         38046,       5088.4769,     1.00000E+0
   35.1544,         29691,       5089.6369,     1.00000E+0
   35.1554,         23391,       5084.4523,     1.00000E+0
   35.1564,         18547,       5083.3998,     1.00000E+0
   35.1574,         14622,       5074.1227,     1.00000E+0
   35.1584,         11983,       5071.2488,     1.00000E+0
   35.1594,          9728,       5071.8771,     1.00000E+0
   35.1604,          8002,       5065.9079,     1.00000E+0
   35.1614,          6332,       5065.3033,     1.00000E+0
   35.1624,          5250,       5063.4239,     1.00000E+0
   35.1634,          4303,       5061.1795,     1.00000E+0
   35.1644,          3397,       5053.3322,     1.00000E+0
   35.1654,          2812,       5046.9286,     1.00000E+0
   35.1664,          2192,       5049.8939,     1.00000E+0
   35.1674,          1809,       5040.6520,     1.00000E+0
   35.1684,          1551,       5032.7864,     1.00000E+0
   35.1694,          1175,       5024.3376,     1.00000E+0
   35.1704,          1010,       5018.2366,     1.00000E+0
   35.1714,           842,       5011.3939,     1.00000E+0
   35.1724,           746,       5008.9227,     1.00000E+0
   35.1734,           675,       5002.7885,     1.00000E+0
   35.1744,           611,       4995.8359,     1.00000E+0
   35.1754,           565,       4986.3772,     1.00000E+0
   35.1764,           496,       4984.5022,     1.00000E+0
   35.1774,           527,       5076.2565,     1.00000E+0
