Si_Thermo_03.dat
2025/06/06 18:07:13 - 18:17:44
ƒÆ : 35.3261 deg
2ƒÆ : 69.5915 deg
ƒÔ : 89.6755 deg
ƒÓ : 90.0000 deg
Sz : 13.264 mm
Rx : 0.0000 deg
Ry : 0.0321 deg
I0 slit H : 0.10 mm
I0 slit W : 5.00 mm
R1 slit H : 0.10 mm
R1 slit W : 5.00 mm
R2 slit H : 0.10 mm
R2 slit W : 5.00 mm
Scan axis : 2ƒÆ/ƒÆ
Start: 68.5915 deg, End: 70.5915 deg
Step: 0.0100 deg, Time:10.0 sec
Axis (deg),       I (cts),        I0 (cts),         Atten.
   68.5915,            19,       2311.2613,     1.00000E+0
   68.6015,            27,       2311.1710,     1.00000E+0
   68.6115,            24,       2311.6635,     1.00000E+0
   68.6215,            22,       2310.1348,     1.00000E+0
   68.6315,            17,       2309.1023,     1.00000E+0
   68.6415,            17,       2304.3336,     1.00000E+0
   68.6515,            26,       2300.5345,     1.00000E+0
   68.6615,            15,       2302.1279,     1.00000E+0
   68.6715,            31,       2301.9525,     1.00000E+0
   68.6815,            23,       2299.7141,     1.00000E+0
   68.6915,            15,       2303.9385,     1.00000E+0
   68.7015,            18,       2305.1250,     1.00000E+0
   68.7115,            21,       2300.1279,     1.00000E+0
   68.7215,            17,       2296.1785,     1.00000E+0
   68.7315,            15,       2296.2973,     1.00000E+0
   68.7415,            17,       2296.2104,     1.00000E+0
   68.7515,            19,       2297.4685,     1.00000E+0
   68.7615,            17,       2294.1790,     1.00000E+0
   68.7715,            14,       2294.8740,     1.00000E+0
   68.7815,            24,       2296.6750,     1.00000E+0
   68.7915,            15,       2294.0285,     1.00000E+0
   68.8015,            17,       2294.9440,     1.00000E+0
   68.8115,             9,       2294.2980,     1.00000E+0
   68.8215,             8,       2291.9978,     1.00000E+0
   68.8315,            12,       2286.1999,     1.00000E+0
   68.8415,             9,       2284.6857,     1.00000E+0
   68.8515,            10,       2288.4339,     1.00000E+0
   68.8615,             9,       2287.8828,     1.00000E+0
   68.8715,             5,       2291.6378,     1.00000E+0
   68.8815,             6,       2292.4122,     1.00000E+0
   68.8915,             4,       2291.7515,     1.00000E+0
   68.9015,             7,       2287.3514,     1.00000E+0
   68.9115,             3,       2285.8050,     1.00000E+0
   68.9215,             6,       2282.9331,     1.00000E+0
   68.9315,             3,       2282.8250,     1.00000E+0
   68.9415,            10,       2280.8293,     1.00000E+0
   68.9515,             3,       2282.7834,     1.00000E+0
   68.9615,             5,       2287.7911,     1.00000E+0
   68.9715,            10,       2292.2500,     1.00000E+0
   68.9815,             1,       2292.1147,     1.00000E+0
   68.9915,             6,       2287.5795,     1.00000E+0
   69.0015,             6,       2285.1855,     1.00000E+0
   69.0115,            10,       2280.7202,     1.00000E+0
   69.0215,             6,       2278.7401,     1.00000E+0
   69.0315,             3,       2279.5873,     1.00000E+0
   69.0415,             4,       2279.6917,     1.00000E+0
   69.0515,             5,       2275.6415,     1.00000E+0
   69.0615,             6,       2276.3085,     1.00000E+0
   69.0715,             2,       2270.8283,     1.00000E+0
   69.0815,             7,       2266.6398,     1.00000E+0
   69.0915,             8,       2270.0311,     1.00000E+0
   69.1015,            10,       2277.9327,     1.00000E+0
   69.1115,             9,       2276.9178,     1.00000E+0
   69.1215,             6,       2270.3807,     1.00000E+0
   69.1315,             9,       2264.3590,     1.00000E+0
   69.1415,            11,       2266.3774,     1.00000E+0
   69.1515,             0,          0.0000,     0.00000E+0
   69.1615,             0,          0.0000,     0.00000E+0
   69.1715,             0,          0.0000,     0.00000E+0
   69.1815,             0,          0.0000,     0.00000E+0
   69.1915,             0,          0.0000,     0.00000E+0
   69.2015,             0,          0.0000,     0.00000E+0
   69.2115,             0,          0.0000,     0.00000E+0
   69.2215,             0,          0.0000,     0.00000E+0
   69.2315,             0,          0.0000,     0.00000E+0
