Si_Thermo_05.dat
2025/06/06 18:37:58 - 18:45:17
ƒÆ : 35.3109 deg
2ƒÆ : 69.5910 deg
ƒÔ : 89.6158 deg
ƒÓ : 90.0000 deg
Sz : 13.264 mm
Rx : 0.0000 deg
Ry : 0.0321 deg
I0 slit H : 0.10 mm
I0 slit W : 5.00 mm
R1 slit H : 0.10 mm
R1 slit W : 5.00 mm
R2 slit H : 0.10 mm
R2 slit W : 5.00 mm
Scan axis : 2ƒÆ/ƒÆ
Start: 68.5910 deg, End: 70.5910 deg
Step: 0.0100 deg, Time: 1.0 sec
Axis (deg),       I (cts),        I0 (cts),         Atten.
   68.5910,             2,        220.1540,     1.00000E+0
   68.6010,             2,        220.0900,     1.00000E+0
   68.6110,             0,        219.6955,     1.00000E+0
   68.6210,             0,        219.7116,     1.00000E+0
   68.6310,             0,        219.5466,     1.00000E+0
   68.6410,             3,        219.3601,     1.00000E+0
   68.6510,             2,        219.2405,     1.00000E+0
   68.6610,             2,        218.9118,     1.00000E+0
   68.6710,             3,        219.1214,     1.00000E+0
   68.6810,             4,        219.0822,     1.00000E+0
   68.6910,             2,        218.9344,     1.00000E+0
   68.7010,             2,        219.1014,     1.00000E+0
   68.7110,             0,        219.0793,     1.00000E+0
   68.7210,             2,        219.1292,     1.00000E+0
   68.7310,             1,        218.9477,     1.00000E+0
   68.7410,             2,        219.0529,     1.00000E+0
   68.7510,             5,        219.3402,     1.00000E+0
   68.7610,             3,        219.2750,     1.00000E+0
   68.7710,             3,        219.1068,     1.00000E+0
   68.7810,             0,        219.1197,     1.00000E+0
   68.7910,             5,        219.0684,     1.00000E+0
   68.8010,             3,        219.2359,     1.00000E+0
   68.8110,             2,        219.2445,     1.00000E+0
   68.8210,             2,        219.1245,     1.00000E+0
   68.8310,             3,        219.1468,     1.00000E+0
   68.8410,             2,        219.2251,     1.00000E+0
   68.8510,             1,        219.2367,     1.00000E+0
   68.8610,             3,        219.3641,     1.00000E+0
   68.8710,             0,        219.2350,     1.00000E+0
   68.8810,             8,        219.1755,     1.00000E+0
   68.8910,             6,        219.1869,     1.00000E+0
   68.9010,             5,        219.0560,     1.00000E+0
   68.9110,             3,        219.1519,     1.00000E+0
   68.9210,             7,        219.1229,     1.00000E+0
   68.9310,             4,        218.9457,     1.00000E+0
   68.9410,             8,        218.9774,     1.00000E+0
   68.9510,             6,        219.2611,     1.00000E+0
   68.9610,             5,        219.4497,     1.00000E+0
   68.9710,             3,        219.3575,     1.00000E+0
   68.9810,             9,        219.1652,     1.00000E+0
   68.9910,             3,        219.1534,     1.00000E+0
   69.0010,             7,        219.3001,     1.00000E+0
   69.0110,             4,        219.4251,     1.00000E+0
   69.0210,             9,        219.2743,     1.00000E+0
   69.0310,             7,        219.1661,     1.00000E+0
   69.0410,             9,        219.3312,     1.00000E+0
   69.0510,             6,        219.2046,     1.00000E+0
   69.0610,            11,        218.9869,     1.00000E+0
   69.0710,            16,        218.9363,     1.00000E+0
   69.0810,             9,        218.7094,     1.00000E+0
   69.0910,            20,        218.6411,     1.00000E+0
   69.1010,            17,        218.7521,     1.00000E+0
   69.1110,            12,        218.7715,     1.00000E+0
   69.1210,            13,        218.3798,     1.00000E+0
   69.1310,            15,        218.5767,     1.00000E+0
   69.1410,            17,        218.6092,     1.00000E+0
   69.1510,            16,        218.3203,     1.00000E+0
   69.1610,            20,        218.4289,     1.00000E+0
   69.1710,            15,        218.4214,     1.00000E+0
   69.1810,            23,        218.4023,     1.00000E+0
   69.1910,            22,        218.4339,     1.00000E+0
   69.2010,            19,        218.3627,     1.00000E+0
   69.2110,            19,        218.4400,     1.00000E+0
   69.2210,            29,        218.5171,     1.00000E+0
   69.2310,            23,        218.4494,     1.00000E+0
   69.2410,            31,        218.6110,     1.00000E+0
   69.2510,            21,        218.4465,     1.00000E+0
   69.2610,            20,        218.8615,     1.00000E+0
   69.2710,            35,        218.6447,     1.00000E+0
   69.2810,            39,        218.5714,     1.00000E+0
   69.2910,            44,        218.5334,     1.00000E+0
   69.3010,            32,        218.6848,     1.00000E+0
   69.3110,            42,        218.8282,     1.00000E+0
   69.3210,            42,        219.0027,     1.00000E+0
   69.3310,            61,        219.0581,     1.00000E+0
   69.3410,            49,        219.1246,     1.00000E+0
   69.3510,            74,        218.9749,     1.00000E+0
   69.3610,            67,        218.9526,     1.00000E+0
   69.3710,            62,        218.9268,     1.00000E+0
   69.3810,            74,        218.6962,     1.00000E+0
   69.3910,            87,        218.8874,     1.00000E+0
   69.4010,            83,        218.5915,     1.00000E+0
   69.4110,           112,        218.4122,     1.00000E+0
   69.4210,           125,        218.6567,     1.00000E+0
   69.4310,           144,        218.4561,     1.00000E+0
   69.4410,           168,        218.2423,     1.00000E+0
   69.4510,           164,        218.0543,     1.00000E+0
   69.4610,           198,        218.1210,     1.00000E+0
   69.4710,           276,        218.0841,     1.00000E+0
   69.4810,           302,        217.7963,     1.00000E+0
   69.4910,           406,        217.8883,     1.00000E+0
   69.5010,           414,        217.6929,     1.00000E+0
   69.5110,           563,        217.6891,     1.00000E+0
   69.5210,           733,        217.5564,     1.00000E+0
   69.5310,          1013,        217.7174,     1.00000E+0
   69.5410,          1591,        217.8987,     1.00000E+0
   69.5510,          2619,        218.1239,     1.00000E+0
   69.5610,          5217,        218.0188,     1.00000E+0
   69.5710,         17933,        218.0123,     1.00000E+0
   69.5810,       1050450,        217.9545,     1.00000E+0
   69.5910,       2199939,        218.5165,     1.00000E+0
   69.6010,         33746,        218.5900,     1.00000E+0
   69.6110,          5776,        218.4572,     1.00000E+0
   69.6210,          2539,        218.8145,     1.00000E+0
   69.6310,          1484,        219.1563,     1.00000E+0
   69.6410,           921,        219.1778,     1.00000E+0
   69.6510,           698,        219.2067,     1.00000E+0
   69.6610,           485,        219.2998,     1.00000E+0
   69.6710,           314,        219.1614,     1.00000E+0
   69.6810,           255,        219.1472,     1.00000E+0
   69.6910,           220,        218.9170,     1.00000E+0
   69.7010,           195,        218.7671,     1.00000E+0
   69.7110,           148,        218.8564,     1.00000E+0
   69.7210,           140,        218.6514,     1.00000E+0
   69.7310,           114,        217.9598,     1.00000E+0
   69.7410,           103,        217.8087,     1.00000E+0
   69.7510,            74,        217.9533,     1.00000E+0
   69.7610,            58,        218.2031,     1.00000E+0
   69.7710,            65,        217.6459,     1.00000E+0
   69.7810,            64,        217.7808,     1.00000E+0
   69.7910,            49,        218.1283,     1.00000E+0
   69.8010,            60,        217.8700,     1.00000E+0
   69.8110,            47,        217.8318,     1.00000E+0
   69.8210,            47,        218.1288,     1.00000E+0
   69.8310,            33,        217.9145,     1.00000E+0
   69.8410,            37,        218.0492,     1.00000E+0
   69.8510,            30,        217.7484,     1.00000E+0
   69.8610,            29,        217.7799,     1.00000E+0
   69.8710,            16,        217.6357,     1.00000E+0
   69.8810,            16,        217.6403,     1.00000E+0
   69.8910,            23,        217.6963,     1.00000E+0
   69.9010,            21,        217.5832,     1.00000E+0
   69.9110,            17,        217.9774,     1.00000E+0
   69.9210,            24,        218.0178,     1.00000E+0
   69.9310,             9,        217.8987,     1.00000E+0
   69.9410,            17,        217.7908,     1.00000E+0
   69.9510,            13,        217.8666,     1.00000E+0
   69.9610,             5,        218.2099,     1.00000E+0
   69.9710,            10,        218.1107,     1.00000E+0
   69.9810,             7,        218.2995,     1.00000E+0
   69.9910,            10,        218.3007,     1.00000E+0
   70.0010,             4,        218.7677,     1.00000E+0
   70.0110,             8,        218.6543,     1.00000E+0
   70.0210,             8,        218.6534,     1.00000E+0
   70.0310,            14,        218.9013,     1.00000E+0
   70.0410,             9,        218.6594,     1.00000E+0
   70.0510,             4,        218.6663,     1.00000E+0
   70.0610,             2,        218.6382,     1.00000E+0
   70.0710,             5,        218.6509,     1.00000E+0
   70.0810,             8,        218.4010,     1.00000E+0
   70.0910,             2,        218.7199,     1.00000E+0
   70.1010,             7,        218.2742,     1.00000E+0
   70.1110,             6,        218.3671,     1.00000E+0
   70.1210,             1,        218.3077,     1.00000E+0
   70.1310,             2,        218.0998,     1.00000E+0
   70.1410,             2,        218.1627,     1.00000E+0
   70.1510,             2,        217.8288,     1.00000E+0
   70.1610,             2,        217.8207,     1.00000E+0
   70.1710,             3,        217.9730,     1.00000E+0
