TEOS_01.dat
2025/06/06 13:11:40 - 13:49:10
ƒÆ : 35.1217 deg
2ƒÆ : 69.5899 deg
ƒÔ : 90.3604 deg
ƒÓ : 0.0000 deg
Sz : 13.278 mm
Rx : 0.0000 deg
Ry : 0.0821 deg
I0 slit H : 0.10 mm
I0 slit W : 5.00 mm
R1 slit H : 0.10 mm
R1 slit W : 5.00 mm
R2 slit H : 0.10 mm
R2 slit W : 5.00 mm
Scan axis : 2ƒÆ/ƒÆ
Start: 68.5899 deg, End: 70.5899 deg
Step: 0.0100 deg, Time:10.0 sec
Axis (deg),       I (cts),        I0 (cts),         Atten.
   68.5899,            29,       4452.1619,     1.00000E+0
   68.5999,            31,       4444.5617,     1.00000E+0
   68.6099,            26,       4440.2878,     1.00000E+0
   68.6199,            43,       4438.4538,     1.00000E+0
   68.6299,            34,       4435.3496,     1.00000E+0
   68.6399,            40,       4427.3839,     1.00000E+0
   68.6499,            32,       4424.3471,     1.00000E+0
   68.6599,            36,       4426.4521,     1.00000E+0
   68.6699,            33,       4426.8292,     1.00000E+0
   68.6799,            23,       4419.9339,     1.00000E+0
   68.6899,            26,       4412.9780,     1.00000E+0
   68.6999,            41,       4408.1557,     1.00000E+0
   68.7099,            38,       4401.3269,     1.00000E+0
   68.7199,            47,       4401.8051,     1.00000E+0
   68.7299,            36,       4404.4907,     1.00000E+0
   68.7399,            60,       4403.1887,     1.00000E+0
   68.7499,            50,       4399.4240,     1.00000E+0
   68.7599,            42,       4403.4016,     1.00000E+0
   68.7699,            43,       4412.3292,     1.00000E+0
   68.7799,            57,       4405.8809,     1.00000E+0
   68.7899,            50,       4395.6695,     1.00000E+0
   68.7999,            41,       4390.2276,     1.00000E+0
   68.8099,            53,       4382.6221,     1.00000E+0
   68.8199,            44,       4381.3804,     1.00000E+0
   68.8299,            50,       4383.8992,     1.00000E+0
   68.8399,            55,       4381.4502,     1.00000E+0
   68.8499,            56,       4374.9338,     1.00000E+0
   68.8599,            46,       4371.8143,     1.00000E+0
   68.8699,            53,       4371.2687,     1.00000E+0
   68.8799,            56,       4367.1734,     1.00000E+0
   68.8899,            61,       4362.4759,     1.00000E+0
   68.8999,            72,       4362.3833,     1.00000E+0
   68.9099,            56,       4364.0164,     1.00000E+0
   68.9199,            65,       4369.0825,     1.00000E+0
   68.9299,            68,       4360.8784,     1.00000E+0
   68.9399,            69,       4351.6192,     1.00000E+0
   68.9499,            75,       4345.9862,     1.00000E+0
   68.9599,            83,       4349.7584,     1.00000E+0
   68.9699,            78,       4346.2770,     1.00000E+0
   68.9799,            78,       4346.3547,     1.00000E+0
   68.9899,            78,       4344.1652,     1.00000E+0
   68.9999,            91,       4335.2220,     1.00000E+0
   69.0099,            89,       4329.9730,     1.00000E+0
   69.0199,            85,       4333.5100,     1.00000E+0
   69.0299,            99,       4336.7520,     1.00000E+0
   69.0399,           109,       4335.4566,     1.00000E+0
   69.0499,            82,       4336.2881,     1.00000E+0
   69.0599,           105,       4332.2803,     1.00000E+0
   69.0699,           114,       4327.1389,     1.00000E+0
   69.0799,           103,       4322.4179,     1.00000E+0
   69.0899,           127,       4314.0469,     1.00000E+0
   69.0999,           111,       4316.8556,     1.00000E+0
   69.1099,           110,       4320.7562,     1.00000E+0
   69.1199,           139,       4317.9898,     1.00000E+0
   69.1299,           153,       4306.9028,     1.00000E+0
   69.1399,           156,       4303.7384,     1.00000E+0
   69.1499,           156,       4311.7624,     1.00000E+0
   69.1599,           157,       4312.0774,     1.00000E+0
   69.1699,           178,       4305.6300,     1.00000E+0
   69.1799,           201,       4307.6034,     1.00000E+0
   69.1899,           156,       4303.5474,     1.00000E+0
   69.1999,           180,       4294.3671,     1.00000E+0
   69.2099,           207,       4283.5434,     1.00000E+0
   69.2199,           212,       4285.2431,     1.00000E+0
   69.2299,           237,       4292.2441,     1.00000E+0
   69.2399,           239,       4297.9613,     1.00000E+0
   69.2499,           245,       4285.9363,     1.00000E+0
   69.2599,           243,       4276.6007,     1.00000E+0
   69.2699,           286,       4276.1884,     1.00000E+0
   69.2799,           316,       4280.7554,     1.00000E+0
   69.2899,           304,       4281.2275,     1.00000E+0
   69.2999,           357,       4273.3569,     1.00000E+0
   69.3099,           380,       4266.6709,     1.00000E+0
   69.3199,           334,       4259.4081,     1.00000E+0
   69.3299,           425,       4259.4466,     1.00000E+0
   69.3399,           437,       4263.0923,     1.00000E+0
   69.3499,           504,       4266.6047,     1.00000E+0
   69.3599,           538,       4262.5236,     1.00000E+0
   69.3699,           581,       4259.5060,     1.00000E+0
   69.3799,           624,       4253.4058,     1.00000E+0
   69.3899,           671,       4248.3436,     1.00000E+0
   69.3999,           817,       4250.1986,     1.00000E+0
   69.4099,           867,       4255.3184,     1.00000E+0
   69.4199,           944,       4257.9675,     1.00000E+0
   69.4299,          1075,       4259.5964,     1.00000E+0
   69.4399,          1199,       4250.2524,     1.00000E+0
   69.4499,          1390,       4236.4849,     1.00000E+0
   69.4599,          1644,       4233.7496,     1.00000E+0
   69.4699,          1962,       4235.3953,     1.00000E+0
   69.4799,          2341,       4236.2604,     1.00000E+0
   69.4899,          2673,       4232.0178,     1.00000E+0
   69.4999,          3472,       4229.7715,     1.00000E+0
   69.5099,          4273,       4232.6468,     1.00000E+0
   69.5199,          5717,       4229.4559,     1.00000E+0
   69.5299,          7652,       4228.8801,     1.00000E+0
   69.5399,         11055,       4223.1024,     1.00000E+0
   69.5499,         18253,       4215.5908,     1.00000E+0
   69.5599,         34915,       4209.8237,     1.00000E+0
   69.5699,        105981,       4211.4193,     1.00000E+0
   69.5799,       3081582,       4211.0248,     1.00000E+0
   69.5899,       8159042,       4212.8850,     1.00000E+0
   69.5999,       3458639,       4216.3909,     1.00000E+0
   69.6099,         93991,       4207.6456,     1.00000E+0
   69.6199,         32339,       4195.9714,     1.00000E+0
   69.6299,         16829,       4188.4438,     1.00000E+0
   69.6399,         10404,       4185.9044,     1.00000E+0
   69.6499,          6994,       4191.9592,     1.00000E+0
   69.6599,          5389,       4202.7502,     1.00000E+0
   69.6699,          4075,       4206.8354,     1.00000E+0
   69.6799,          3055,       4208.5265,     1.00000E+0
   69.6899,          2543,       4205.6830,     1.00000E+0
   69.6999,          2139,       4196.5859,     1.00000E+0
   69.7099,          1774,       4181.3459,     1.00000E+0
   69.7199,          1495,       4173.1615,     1.00000E+0
   69.7299,          1222,       4168.9895,     1.00000E+0
   69.7399,          1046,       4177.7450,     1.00000E+0
   69.7499,           930,       4182.8168,     1.00000E+0
   69.7599,           820,       4177.8154,     1.00000E+0
   69.7699,           711,       4181.3851,     1.00000E+0
   69.7799,           666,       4176.1774,     1.00000E+0
   69.7899,           612,       4166.7450,     1.00000E+0
   69.7999,           556,       4156.0846,     1.00000E+0
   69.8099,           546,       4152.0214,     1.00000E+0
   69.8199,           424,       4151.7306,     1.00000E+0
   69.8299,           436,       4155.1686,     1.00000E+0
   69.8399,           379,       4159.4011,     1.00000E+0
   69.8499,           361,       4159.1216,     1.00000E+0
   69.8599,           329,       4154.8542,     1.00000E+0
   69.8699,           288,       4146.3826,     1.00000E+0
   69.8799,           263,       4146.5441,     1.00000E+0
   69.8899,           255,       4148.5242,     1.00000E+0
   69.8999,           224,       4141.1936,     1.00000E+0
   69.9099,           215,       4136.2207,     1.00000E+0
   69.9199,           199,       4134.3120,     1.00000E+0
   69.9299,           180,       4132.6542,     1.00000E+0
   69.9399,           174,       4130.3562,     1.00000E+0
   69.9499,           164,       4124.5910,     1.00000E+0
   69.9599,           172,       4125.0528,     1.00000E+0
   69.9699,           110,       4133.3375,     1.00000E+0
   69.9799,           148,       4135.3684,     1.00000E+0
   69.9899,           126,       4124.2097,     1.00000E+0
   69.9999,           122,       4115.6321,     1.00000E+0
   70.0099,           127,       4115.2107,     1.00000E+0
   70.0199,            99,       4123.9296,     1.00000E+0
   70.0299,            92,       4128.3062,     1.00000E+0
   70.0399,            92,       4124.9013,     1.00000E+0
   70.0499,            86,       4118.4684,     1.00000E+0
   70.0599,            79,       4105.9325,     1.00000E+0
   70.0699,            86,       4094.0986,     1.00000E+0
   70.0799,            72,       4096.0378,     1.00000E+0
   70.0899,            70,       4103.5392,     1.00000E+0
