TEOS_01_omega.dat
2025/06/06 13:50:48 - 14:05:37
É∆ : 35.1217 deg
2É∆ : 69.5899 deg
É‘ : 90.3604 deg
É” : 0.0000 deg
Sz : 13.278 mm
Rx : 0.0000 deg
Ry : 0.0821 deg
I0 slit H : 0.10 mm
I0 slit W : 5.00 mm
R1 slit H : 0.10 mm
R1 slit W : 5.00 mm
R2 slit H : 0.10 mm
R2 slit W : 5.00 mm
Scan axis : É∆
Start: 35.0817 deg, End: 35.1617 deg
Step: 0.0010 deg, Time:10.0 sec
Axis (deg),       I (cts),        I0 (cts),         Atten.
   35.0817,           465,       3973.9345,     1.00000E+0
   35.0827,           439,       3965.5668,     1.00000E+0
   35.0837,           475,       3970.9703,     1.00000E+0
   35.0847,           479,       3973.5748,     1.00000E+0
   35.0857,           535,       3976.7527,     1.00000E+0
   35.0867,           534,       3973.6571,     1.00000E+0
   35.0877,           542,       3973.5817,     1.00000E+0
   35.0887,           537,       3970.6162,     1.00000E+0
   35.0897,           557,       3964.4275,     1.00000E+0
   35.0907,           595,       3963.5534,     1.00000E+0
   35.0917,           668,       3970.3749,     1.00000E+0
   35.0927,           646,       3978.5939,     1.00000E+0
   35.0937,           682,       3974.2744,     1.00000E+0
   35.0947,           710,       3962.7379,     1.00000E+0
   35.0957,           776,       3959.3370,     1.00000E+0
   35.0967,           792,       3962.5261,     1.00000E+0
   35.0977,           815,       3962.1493,     1.00000E+0
   35.0987,           908,       3957.5057,     1.00000E+0
   35.0997,           959,       3954.3786,     1.00000E+0
   35.1007,          1076,       3951.8009,     1.00000E+0
   35.1017,          1082,       3941.4445,     1.00000E+0
   35.1027,          1372,       3933.9626,     1.00000E+0
   35.1037,          1683,       3929.4428,     1.00000E+0
   35.1047,          2247,       3935.5436,     1.00000E+0
   35.1057,          3656,       3935.6337,     1.00000E+0
   35.1067,          6559,       3931.7624,     1.00000E+0
   35.1077,         14665,       3930.1437,     1.00000E+0
   35.1087,        121030,       3927.3899,     1.00000E+0
   35.1097,       1230570,       3924.1824,     1.00000E+0
   35.1107,       3073225,       3926.5686,     1.00000E+0
   35.1117,       3835678,       3925.2279,     1.00000E+0
   35.1127,       4720193,       3925.7766,     1.00000E+0
   35.1137,       6821654,       3929.2061,     1.00000E+0
   35.1147,       6865207,       3936.3085,     1.00000E+0
   35.1157,       6752344,       3936.9642,     1.00000E+0
   35.1167,       7507274,       3931.0508,     1.00000E+0
   35.1177,       6136118,       3920.1361,     1.00000E+0
   35.1187,       5821341,       3914.6076,     1.00000E+0
   35.1197,       6159287,       3910.5449,     1.00000E+0
   35.1207,       7313005,       3905.8518,     1.00000E+0
   35.1217,       8543725,       3904.8746,     1.00000E+0
   35.1227,       6754812,       3908.0602,     1.00000E+0
   35.1237,       4306439,       3911.1779,     1.00000E+0
   35.1247,       2452656,       3909.8924,     1.00000E+0
   35.1257,       3134895,       3910.2595,     1.00000E+0
   35.1267,        766361,       3901.9819,     1.00000E+0
   35.1277,        129044,       3894.6983,     1.00000E+0
   35.1287,         69271,       3894.1454,     1.00000E+0
   35.1297,         49132,       3890.2492,     1.00000E+0
   35.1307,         36750,       3885.8563,     1.00000E+0
   35.1317,         28075,       3884.4386,     1.00000E+0
   35.1327,         21189,       3887.4268,     1.00000E+0
   35.1337,         16441,       3882.5689,     1.00000E+0
   35.1347,         13123,       3887.5592,     1.00000E+0
   35.1357,         10103,       3889.8032,     1.00000E+0
   35.1367,          7764,       3880.3695,     1.00000E+0
   35.1377,          6071,       3869.2111,     1.00000E+0
   35.1387,          4755,       3877.5931,     1.00000E+0
   35.1397,          3795,       3881.2218,     1.00000E+0
   35.1407,          3038,       3879.3014,     1.00000E+0
   35.1417,          2403,       3873.4006,     1.00000E+0
   35.1427,          2031,       3875.3048,     1.00000E+0
   35.1437,          1664,       3871.5190,     1.00000E+0
   35.1447,          1396,       3866.7112,     1.00000E+0
   35.1457,          1251,       3862.1908,     1.00000E+0
   35.1467,          1079,       3860.8883,     1.00000E+0
   35.1477,           954,       3864.0520,     1.00000E+0
   35.1487,           867,       3870.9372,     1.00000E+0
   35.1497,           694,       3871.2136,     1.00000E+0
   35.1507,           635,       3862.5231,     1.00000E+0
   35.1517,           622,       3851.6402,     1.00000E+0
   35.1527,           578,       3844.7046,     1.00000E+0
   35.1537,           534,       3839.0519,     1.00000E+0
   35.1547,           489,       3844.8173,     1.00000E+0
   35.1557,           458,       3842.5654,     1.00000E+0
   35.1567,           478,       3831.8998,     1.00000E+0
   35.1577,           440,       3828.5831,     1.00000E+0
   35.1587,           379,       3826.6068,     1.00000E+0
   35.1597,           435,       3841.8855,     1.00000E+0
   35.1607,           373,       3851.8141,     1.00000E+0
   35.1617,           327,       3843.0762,     1.00000E+0
