q(1/Å),I0 (cts)
2.2842996705097773,3389.084
2.284591950911198,3385.8774
2.284884213914456,3381.0929
2.285176459517325,3376.6467
2.285468687717581,3381.9034
2.285760898512997,3379.3638
2.2860530919013486,3376.3232
2.2863452678804106,3373.837
2.2866374264479576,3365.5712
2.286929567601764,3364.7998
2.287221691339606,3369.0717
2.28751379765926,3367.437
2.287805886558499,3362.5
2.2880979580351006,3366.8665
2.2883900120868392,3371.7247
2.2886820487114914,3378.1573
2.2889740679068336,3375.6638
2.289266069670641,3367.8252
2.2895580540006906,3361.2066
2.2898500208947583,3352.6262
2.2901419703506205,3355.0337
2.290433902366055,3355.7264
2.2907258169388376,3361.4123
2.2910177140667454,3368.152
2.2913095937475556,3360.4626
2.291601455979045,3355.9085
2.291893300758993,3355.4949
2.2921851280851735,3352.9556
2.292476937955367,3356.9282
2.29276873036735,3359.1981
2.293060505318901,3353.2578
2.293352262807797,3352.3252
2.293644002831817,3347.0045
2.2939357253887396,3348.011
2.294227430476342,3352.5042
2.2945191180924036,3358.0482
2.2948107882347033,3354.1433
2.295102440901019,3343.4433
2.29539407608913,3337.0545
2.2956856937968158,3338.9746
2.2959772940218555,3337.4587
2.2962688767620274,3336.3871
2.2965604420151124,3331.6042
2.2968519897788893,3321.9567
2.2971435200511383,3321.5187
2.297435032829639,3335.1102
2.2977265281121713,3341.3425
2.2980180058965156,3336.019
2.2983094661804517,3328.3077
2.2986009089617605,3326.2375
2.2988923342382224,3330.8904
2.2991837420076178,3330.2582
2.2994751322677285,3325.7884
2.2997665050163336,3317.4505
2.300057860251216,3307.9997
2.3003491979701565,3307.7791
2.300640518170935,3311.4752
2.3009318208513347,3310.0461
2.3012231060091364,3305.2813
2.3015143736421213,3307.2978
2.301805623748073,3311.4269
2.302096856324772,3315.0125
2.302388071370001,3311.1958
2.3026792688815423,3307.3675
2.302970448857178,3300.4046
2.303261611294691,3290.5533
2.3035527561918636,3283.823
2.3038438835464783,3284.4126
2.3041349933563193,3296.4769
2.3044260856191685,3297.0678
2.3047171603328094,3296.4467
2.305008217495026,3294.3561
2.3052992571036013,3289.8074
2.305590279156318,3285.6749
2.305881283650961,3283.0125
2.306172270585314,3292.8248
2.3064632399571607,3290.3468
2.306754191764286,3283.582
2.307045126004472,3277.0579
2.3073360426755065,3276.3438
2.3076269417751716,3280.9864
2.307917823301252,3277.9808
2.3082086872515335,3275.1224
2.3084995336238006,3273.17
2.308790362415839,3277.8557
2.309081173625432,3276.6901
2.3093719672503674,3267.7925
2.309662743288429,3256.9201
2.3099535017374033,3252.0145
2.3102442425950755,3261.0512
2.310534965859232,3260.7592
2.3108256715276583,3256.9263
2.3111163595981408,3253.9942
2.3114070300684655,3255.0207
2.31169768293642,3259.6769
2.3119883181997887,3261.721
2.3122789358563605,3256.4035
2.3125695359039207,3248.5316
2.312860118340257,3248.9336
2.3131506831631565,3252.8674
2.313441230370405,3248.641
2.3137317599597926,3242.4235
2.314022271929104,3239.0908
2.3143127662761285,3240.5878
2.314603242998654,3240.6166
2.3148937020944675,3238.9574
2.3151841435613574,3234.8892
2.3154745673971115,3233.3514
2.315764973599518,3233.0673
2.3160553621663666,3234.6752
2.3163457330954444,3241.6024
2.316636086384541,3240.2675
2.316926422031445,3232.6092
2.317216740033945,3225.5078
2.3175070403898306,3224.3374
2.3177973230968907,3226.2034
2.318087588152915,3231.9525
2.3183778355556925,3240.9645
2.3186680653030134,3240.5555
2.318958277392668,3231.3609
2.3192484718224438,3219.2494
2.3195386485901337,3209.0266
2.3198288076935265,3207.9418
2.320118949130412,3219.7352
2.320409072898582,3227.8694
2.320699178995826,3229.3181
2.3209892674199355,3224.0192
2.3212793381687007,3219.3145
2.321569391239913,3213.7988
2.3218594266313635,3210.9788
2.322149444340843,3210.4988
2.322439444366143,3208.7612
2.3227294267050556,3206.223
2.3230193913553725,3204.0025
2.323309338314884,3207.1362
2.323599267581384,3206.1037
2.3238891791526637,3204.7103
2.324179073026514,3203.0555
2.32446894920073,3202.7885
2.324758807673102,3201.9251
2.325048648441423,3198.8155
2.325338471503487,3200.3365
2.325628276857085,3198.612
2.3259180645000113,3194.9377
2.326207834430058,3195.4796
2.3264975866450195,3197.6432
2.3267873211426893,3192.2291
2.3270770379208594,3184.9641
